X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,1.0,29.0,0.15,8.0,,61.85,57.8,847.605723450984,5.935525,20,0.0,,66.27605723450984
Mn,0.9,29.0,0.15,8.0,,61.95,57.8,834.7765479636124,5.935395,20,0.0,,66.14776547963612
Mn,0.8,29.0,0.15,8.0,,62.05,57.8,821.212521200963,5.935265,20,0.0,,66.01212521200962
Mn,0.7,29.0,0.15,8.0,,62.150000000000006,57.8,806.7707300845029,5.935135000000001,20,0.0,,65.86770730084503
Mn,0.5,29.0,0.15,8.0,,62.35,57.8,774.3824187476209,5.934875,20,0.0,,65.5438241874762
Mn,1.0,29.0,0.1,8.0,,61.9,57.0,834.8130211022813,5.93545,20,0.0,,65.3481302110228
Mn,0.9,29.0,0.1,8.0,,62.0,57.0,821.9838456149098,5.935320000000001,20,0.0,,65.21983845614909
Mn,0.3,29.0,0.15,8.0,,62.55,57.8,734.5363628272755,5.934615,20,0.0,,65.14536362827275
Mn,0.8,29.0,0.1,8.0,,62.099999999999994,57.0,808.4198188522603,5.93519,20,0.0,,65.0841981885226
Mn,0.7,29.0,0.1,8.0,,62.2,57.0,793.9780277358002,5.93506,20,0.0,,64.939780277358
Mn,0.5,29.0,0.1,8.0,,62.4,57.0,761.5897163989182,5.9348,20,0.0,,64.61589716398919
Mn,0.1,29.0,0.15,8.0,,62.75,57.8,676.6626649551935,5.934355,20,0.0,,64.56662664955194
Mn,0.09,29.0,0.15,8.0,,62.760000000000005,57.8,672.605723450984,5.934342,20,0.0,,64.52605723450984
Mn,0.08,29.0,0.15,8.0,,62.77,57.8,668.3164015696387,5.934329,20,0.0,,64.48316401569639
Mn,0.07,29.0,0.15,8.0,,62.78,57.8,663.7495062275988,5.934316,20,0.0,,64.43749506227599
Mn,0.06,29.0,0.15,8.0,,62.790000000000006,57.8,658.8429670205635,5.934303,20,0.0,,64.38842967020562
Mn,1.0,29.0,0.05,8.0,,61.95,56.199999999999996,818.1412468142466,5.9353750000000005,20,0.0,,64.38141246814246
Mn,0.05,29.0,0.15,8.0,,62.8,57.8,653.5074228884787,5.934290000000001,20,0.0,,64.33507422888478
Mn,0.04,29.0,0.15,8.0,,62.81,57.8,647.605723450984,5.934277,20,0.0,,64.27605723450984
