X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,0.9,29.0,0.0,10.0,,50.1,62.0,884.181853486751,6.9171700000000005,20,10.0,,70.84181853486751
Mn,0.9,29.0,0.0,9.5,,50.6,60.349999999999994,874.5733744446841,6.716670000000001,20,10.0,,69.09573374444683
Mn,0.9,29.0,0.0,9.0,,51.1,58.7,864.7085342665456,6.51617,20,10.0,,67.34708534266545
Mn,0.9,29.0,0.0,8.5,,51.6,57.05,854.5656479572636,6.315670000000001,20,10.0,,65.59565647957264
Mn,0.9,29.0,0.0,8.0,,52.1,55.4,844.1197892360884,6.11517,20,10.0,,63.84119789236088
Mn,0.9,29.0,0.0,7.5,,52.6,53.75,833.3420687696452,5.914669999999999,20,10.0,,62.08342068769645
Mn,0.9,29.0,0.0,7.0,,53.1,52.099999999999994,822.1986915942964,5.71417,20,10.0,,60.32198691594296
Mn,0.9,29.0,0.0,6.5,,53.6,50.45,810.6497050821126,5.513669999999999,20,10.0,,58.55649705082113
Mn,0.9,29.0,0.0,6.0,,54.1,48.8,798.6473034005269,5.3131699999999995,20,10.0,,56.78647303400527
Mn,0.9,29.0,0.0,5.5,,54.6,47.15,786.1334798559514,5.11267,20,10.0,,55.01133479855951
Mn,0.9,29.0,0.0,5.0,,55.1,45.5,773.0366915665203,4.91217,20,10.0,,53.2303669156652
Mn,0.9,29.0,0.0,4.5,,55.6,43.85,759.2669754937026,4.71167,20,10.0,,51.44266975493703
Mn,0.9,29.0,0.0,4.0,,56.1,42.2,744.7085342665456,4.51117,20,10.0,,49.64708534266546
Mn,0.9,29.0,0.0,3.5,,56.6,40.55,729.207977472982,4.31067,20,10.0,,47.84207977472982
Mn,0.9,29.0,0.0,3.0,,57.1,38.9,712.5546311748108,4.11017,20,10.0,,46.02554631174811
Mn,0.9,29.0,0.0,2.5,,57.6,37.25,694.4451938766483,3.9096700000000006,20,10.0,,44.194451938766484
Mn,0.9,29.0,0.0,2.0,,58.1,35.6,674.414161751317,3.7091700000000003,20,10.0,,42.34414161751317
Mn,0.9,29.0,0.0,1.5,,58.6,33.95,651.6779188335362,3.5086700000000004,20,10.0,,40.466779188335366
Mn,0.9,29.0,0.0,1.0,,59.1,32.3,624.7085342665456,3.30817,20,10.0,,38.547085342665454
Mn,0.9,29.0,0.0,0.5,,59.6,30.65,589.5613480089313,3.10767,20,10.0,,36.545613480089315
Mn,0.9,29.0,0.0,0.0,,60.1,29.0,504.70853426654554,2.9071700000000003,20,10.0,,34.047085342665454
