X_element,C_wt%,Cr_wt%,N_wt%,Si_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Mo_wt%
Ni,0.01,27.0,0.0,9.5,0.0,63.489999999999995,27.0,268.5094748244219,2.6995130000000005,20,,
Ni,0.01,27.0,0.0,9.5,0.5,62.989999999999995,27.0,282.65161044815284,2.7690130000000006,20,,
Ni,0.01,27.0,0.0,9.5,1.0,62.489999999999995,27.0,288.5094748244219,2.8385130000000007,20,,
Ni,0.01,27.0,0.0,9.5,1.5,61.989999999999995,27.0,293.0043722522537,2.9080130000000004,20,,
Ni,0.01,27.0,0.0,9.5,2.0,61.489999999999995,27.0,296.7937460718838,2.9775130000000005,20,,
Ni,0.01,27.0,0.0,9.5,2.5,60.989999999999995,27.0,300.13225142610565,3.0470130000000006,20,,
Ni,0.01,27.0,0.0,9.5,3.0,60.489999999999995,27.0,303.1504909757994,3.1165130000000003,20,,
Ni,0.01,27.0,0.0,9.5,3.5,59.989999999999995,27.0,305.9260486921613,3.1860130000000004,20,,
Ni,0.01,27.0,0.0,9.5,4.0,59.489999999999995,27.0,308.5094748244219,3.2555130000000005,20,,
Ni,0.01,27.0,0.0,9.5,4.5,58.989999999999995,27.0,310.93588169561474,3.325013,20,,
Ni,0.01,27.0,0.0,9.5,5.0,58.489999999999995,27.0,313.23083437441767,3.394513000000001,20,,
Ni,0.01,27.0,0.0,9.5,5.5,57.989999999999995,27.0,315.4136324226562,3.4640130000000005,20,,
Ni,0.01,27.0,0.0,9.5,6.0,57.489999999999995,27.0,317.49926968008543,3.5335130000000006,20,,
Ni,0.01,27.0,0.0,9.5,6.5,56.989999999999995,27.0,319.4996699603497,3.6030130000000007,20,,
Ni,0.01,27.0,0.0,9.5,7.0,56.489999999999995,27.0,321.42450104571367,3.6725130000000004,20,,
Ni,0.01,27.0,0.0,9.5,7.5,55.989999999999995,27.0,323.2817305749385,3.7420130000000005,20,,
Ni,0.01,27.0,0.0,9.5,8.0,55.489999999999995,27.0,325.0780173193457,3.8115130000000006,20,,
Ni,0.01,27.0,0.0,9.5,8.5,54.989999999999995,27.0,326.8189937728749,3.8810130000000007,20,,
Ni,0.01,27.0,0.0,9.5,9.0,54.489999999999995,27.0,328.5094748244219,3.9505130000000004,20,,
Ni,0.01,27.0,0.0,9.5,9.5,53.989999999999995,27.0,330.15361485411165,4.0200130000000005,20,,
Ni,0.01,27.0,0.0,9.5,10.0,53.489999999999995,27.0,331.7550280277895,4.089513,20,,
Ni,0.01,27.0,0.0,10.0,0.0,62.989999999999995,27.0,270.1108879980997,2.7080130000000002,20,,
Ni,0.01,27.0,0.0,10.0,0.5,62.489999999999995,27.0,284.25302362183066,2.7775130000000003,20,,
Ni,0.01,27.0,0.0,10.0,1.0,61.989999999999995,27.0,290.1108879980997,2.8470130000000005,20,,
Ni,0.01,27.0,0.0,10.0,1.5,61.489999999999995,27.0,294.6057854259315,2.916513,20,,
Ni,0.01,27.0,0.0,10.0,2.0,60.989999999999995,27.0,298.3951592455616,2.9860130000000003,20,,
Ni,0.01,27.0,0.0,10.0,2.5,60.489999999999995,27.0,301.73366459978354,3.0555130000000004,20,,
Ni,0.01,27.0,0.0,10.0,3.0,59.989999999999995,27.0,304.75190414947724,3.125013,20,,
Ni,0.01,27.0,0.0,10.0,3.5,59.489999999999995,27.0,307.52746186583914,3.194513,20,,
Ni,0.01,27.0,0.0,10.0,4.0,58.989999999999995,27.0,310.1108879980997,3.2640130000000003,20,,
Ni,0.01,27.0,0.0,10.0,4.5,58.489999999999995,27.0,312.53729486929257,3.333513,20,,
Ni,0.01,27.0,0.0,10.0,5.0,57.989999999999995,27.0,314.8322475480955,3.4030130000000005,20,,
Ni,0.01,27.0,0.0,10.0,5.5,57.489999999999995,27.0,317.015045596334,3.472513,20,,
Ni,0.01,27.0,0.0,10.0,6.0,56.989999999999995,27.0,319.10068285376326,3.5420130000000003,20,,
Ni,0.01,27.0,0.0,10.0,6.5,56.489999999999995,27.0,321.1010831340276,3.6115130000000004,20,,
Ni,0.01,27.0,0.0,10.0,7.0,55.989999999999995,27.0,323.02591421939155,3.681013,20,,
Ni,0.01,27.0,0.0,10.0,7.5,55.489999999999995,27.0,324.8831437486163,3.750513,20,,
Ni,0.01,27.0,0.0,10.0,8.0,54.989999999999995,27.0,326.6794304930235,3.8200130000000003,20,,
Ni,0.01,27.0,0.0,10.0,8.5,54.489999999999995,27.0,328.4204069465527,3.8895130000000004,20,,
Ni,0.01,27.0,0.0,10.0,9.0,53.989999999999995,27.0,330.1108879980997,3.959013,20,,
Ni,0.01,27.0,0.0,10.0,9.5,53.489999999999995,27.0,331.7550280277895,4.028513,20,,
Ni,0.01,27.0,0.0,10.0,10.0,52.989999999999995,27.0,333.3564412014673,4.098013,20,,
Ni,0.01,27.0,0.0,10.5,0.0,62.489999999999995,27.0,271.67274177881075,2.7165130000000004,20,,
Ni,0.01,27.0,0.0,10.5,0.5,61.989999999999995,27.0,285.8148774025417,2.7860130000000005,20,,
Ni,0.01,27.0,0.0,10.5,1.0,61.489999999999995,27.0,291.67274177881075,2.855513,20,,
Ni,0.01,27.0,0.0,10.5,1.5,60.989999999999995,27.0,296.16763920664255,2.9250130000000003,20,,
Ni,0.01,27.0,0.0,10.5,2.0,60.489999999999995,27.0,299.95701302627265,2.9945130000000004,20,,
Ni,0.01,27.0,0.0,10.5,2.5,59.989999999999995,27.0,303.2955183804945,3.0640130000000005,20,,
Ni,0.01,27.0,0.0,10.5,3.0,59.489999999999995,27.0,306.3137579301883,3.133513,20,,
Ni,0.01,27.0,0.0,10.5,3.5,58.989999999999995,27.0,309.0893156465502,3.2030130000000003,20,,
Ni,0.01,27.0,0.0,10.5,4.0,58.489999999999995,27.0,311.67274177881075,3.2725130000000004,20,,
Ni,0.01,27.0,0.0,10.5,4.5,57.989999999999995,27.0,314.0991486500036,3.3420130000000006,20,,
Ni,0.01,27.0,0.0,10.5,5.0,57.489999999999995,27.0,316.3941013288065,3.4115130000000002,20,,
Ni,0.01,27.0,0.0,10.5,5.5,56.989999999999995,27.0,318.57689937704504,3.4810130000000004,20,,
Ni,0.01,27.0,0.0,10.5,6.0,56.489999999999995,27.0,320.6625366344743,3.5505130000000005,20,,
Ni,0.01,27.0,0.0,10.5,6.5,55.989999999999995,27.0,322.66293691473857,3.6200130000000006,20,,
Ni,0.01,27.0,0.0,10.5,7.0,55.489999999999995,27.0,324.5877680001025,3.6895130000000007,20,,
Ni,0.01,27.0,0.0,10.5,7.5,54.989999999999995,27.0,326.44499752932734,3.7590130000000004,20,,
Ni,0.01,27.0,0.0,10.5,8.0,54.489999999999995,27.0,328.24128427373455,3.8285130000000005,20,,
Ni,0.01,27.0,0.0,10.5,8.5,53.989999999999995,27.0,329.98226072726374,3.8980130000000006,20,,
Ni,0.01,27.0,0.0,10.5,9.0,53.489999999999995,27.0,331.67274177881075,3.9675130000000003,20,,
Ni,0.01,27.0,0.0,10.5,9.5,52.989999999999995,27.0,333.3168818085005,4.037013,20,,
Ni,0.01,27.0,0.0,10.5,10.0,52.489999999999995,27.0,334.91829498217834,4.1065130000000005,20,,
Ni,0.01,27.0,0.05,9.5,0.0,63.44,27.8,308.75869841941807,2.6995880000000003,20,,
Ni,0.01,27.0,0.05,9.5,0.5,62.94,27.8,322.900834043149,2.7690880000000004,20,,
Ni,0.01,27.0,0.05,9.5,1.0,62.44,27.8,328.75869841941807,2.8385880000000006,20,,
Ni,0.01,27.0,0.05,9.5,1.5,61.94,27.8,333.25359584724987,2.9080880000000002,20,,
Ni,0.01,27.0,0.05,9.5,2.0,61.44,27.8,337.04296966687997,2.9775880000000003,20,,
Ni,0.01,27.0,0.05,9.5,2.5,60.94,27.8,340.3814750211019,3.0470880000000005,20,,
Ni,0.01,27.0,0.05,9.5,3.0,60.44,27.8,343.3997145707956,3.116588,20,,
Ni,0.01,27.0,0.05,9.5,3.5,59.94,27.8,346.1752722871575,3.1860880000000003,20,,
Ni,0.01,27.0,0.05,9.5,4.0,59.44,27.8,348.75869841941807,3.2555880000000004,20,,
Ni,0.01,27.0,0.05,9.5,4.5,58.94,27.8,351.1851052906109,3.325088,20,,
Ni,0.01,27.0,0.05,9.5,5.0,58.44,27.8,353.48005796941385,3.3945880000000006,20,,
Ni,0.01,27.0,0.05,9.5,5.5,57.94,27.8,355.66285601765236,3.4640880000000003,20,,
Ni,0.01,27.0,0.05,9.5,6.0,57.44,27.8,357.7484932750816,3.5335880000000004,20,,
Ni,0.01,27.0,0.05,9.5,6.5,56.94,27.8,359.74889355534594,3.6030880000000005,20,,
Ni,0.01,27.0,0.05,9.5,7.0,56.44,27.8,361.6737246407099,3.672588,20,,
Ni,0.01,27.0,0.05,9.5,7.5,55.94,27.8,363.53095416993466,3.7420880000000003,20,,
Ni,0.01,27.0,0.05,9.5,8.0,55.44,27.8,365.32724091434187,3.8115880000000004,20,,
Ni,0.01,27.0,0.05,9.5,8.5,54.94,27.8,367.06821736787106,3.8810880000000005,20,,
Ni,0.01,27.0,0.05,9.5,9.0,54.44,27.8,368.75869841941807,3.950588,20,,
Ni,0.01,27.0,0.05,9.5,9.5,53.94,27.8,370.40283844910783,4.020088,20,,
Ni,0.01,27.0,0.05,9.5,10.0,53.44,27.8,372.00425162278566,4.089588000000001,20,,
Ni,0.01,27.0,0.05,10.0,0.0,62.94,27.8,310.3601115930959,2.708088,20,,
Ni,0.01,27.0,0.05,10.0,0.5,62.44,27.8,324.50224721682685,2.777588,20,,
Ni,0.01,27.0,0.05,10.0,1.0,61.94,27.8,330.3601115930959,2.8470880000000003,20,,
Ni,0.01,27.0,0.05,10.0,1.5,61.44,27.8,334.8550090209277,2.916588,20,,
Ni,0.01,27.0,0.05,10.0,2.0,60.94,27.8,338.6443828405578,2.986088,20,,
Ni,0.01,27.0,0.05,10.0,2.5,60.44,27.8,341.98288819477966,3.055588,20,,
Ni,0.01,27.0,0.05,10.0,3.0,59.94,27.8,345.0011277444734,3.125088,20,,
Ni,0.01,27.0,0.05,10.0,3.5,59.44,27.8,347.7766854608353,3.194588,20,,
Ni,0.01,27.0,0.05,10.0,4.0,58.94,27.8,350.3601115930959,3.264088,20,,
Ni,0.01,27.0,0.05,10.0,4.5,58.44,27.8,352.78651846428875,3.3335879999999998,20,,
Ni,0.01,27.0,0.05,10.0,5.0,57.94,27.8,355.0814711430917,3.4030880000000003,20,,
Ni,0.01,27.0,0.05,10.0,5.5,57.44,27.8,357.2642691913302,3.472588,20,,
Ni,0.01,27.0,0.05,10.0,6.0,56.94,27.8,359.34990644875944,3.542088,20,,
Ni,0.01,27.0,0.05,10.0,6.5,56.44,27.8,361.3503067290237,3.6115880000000002,20,,
Ni,0.01,27.0,0.05,10.0,7.0,55.94,27.8,363.2751378143877,3.681088,20,,
Ni,0.01,27.0,0.05,10.0,7.5,55.44,27.8,365.1323673436125,3.750588,20,,
Ni,0.01,27.0,0.05,10.0,8.0,54.94,27.8,366.9286540880197,3.820088,20,,
Ni,0.01,27.0,0.05,10.0,8.5,54.44,27.8,368.6696305415489,3.8895880000000003,20,,
Ni,0.01,27.0,0.05,10.0,9.0,53.94,27.8,370.3601115930959,3.959088,20,,
Ni,0.01,27.0,0.05,10.0,9.5,53.44,27.8,372.00425162278566,4.028588,20,,
Ni,0.01,27.0,0.05,10.0,10.0,52.94,27.8,373.6056647964635,4.098088000000001,20,,
Ni,0.01,27.0,0.05,10.5,0.0,62.44,27.8,311.9219653738069,2.7165880000000002,20,,
Ni,0.01,27.0,0.05,10.5,0.5,61.94,27.8,326.0641009975379,2.7860880000000003,20,,
Ni,0.01,27.0,0.05,10.5,1.0,61.44,27.8,331.9219653738069,2.855588,20,,
Ni,0.01,27.0,0.05,10.5,1.5,60.94,27.8,336.41686280163873,2.925088,20,,
Ni,0.01,27.0,0.05,10.5,2.0,60.44,27.8,340.20623662126883,2.9945880000000002,20,,
Ni,0.01,27.0,0.05,10.5,2.5,59.94,27.8,343.54474197549075,3.0640880000000004,20,,
Ni,0.01,27.0,0.05,10.5,3.0,59.44,27.8,346.56298152518445,3.133588,20,,
Ni,0.01,27.0,0.05,10.5,3.5,58.94,27.8,349.33853924154636,3.203088,20,,
Ni,0.01,27.0,0.05,10.5,4.0,58.44,27.8,351.9219653738069,3.2725880000000003,20,,
Ni,0.01,27.0,0.05,10.5,4.5,57.94,27.8,354.3483722449998,3.3420880000000004,20,,
Ni,0.01,27.0,0.05,10.5,5.0,57.44,27.8,356.6433249238027,3.411588,20,,
Ni,0.01,27.0,0.05,10.5,5.5,56.94,27.8,358.8261229720412,3.481088,20,,
Ni,0.01,27.0,0.05,10.5,6.0,56.44,27.8,360.9117602294705,3.5505880000000003,20,,
Ni,0.01,27.0,0.05,10.5,6.5,55.94,27.8,362.9121605097348,3.6200880000000004,20,,
Ni,0.01,27.0,0.05,10.5,7.0,55.44,27.8,364.83699159509877,3.6895880000000005,20,,
Ni,0.01,27.0,0.05,10.5,7.5,54.94,27.8,366.6942211243235,3.759088,20,,
Ni,0.01,27.0,0.05,10.5,8.0,54.44,27.8,368.49050786873073,3.8285880000000003,20,,
Ni,0.01,27.0,0.05,10.5,8.5,53.94,27.8,370.2314843222599,3.8980880000000004,20,,
Ni,0.01,27.0,0.05,10.5,9.0,53.44,27.8,371.9219653738069,3.967588,20,,
Ni,0.01,27.0,0.05,10.5,9.5,52.94,27.8,373.5661054034967,4.037088000000001,20,,
Ni,0.01,27.0,0.05,10.5,10.0,52.44,27.8,375.1675185771745,4.106588,20,,
Ni,0.01,27.0,0.1,9.5,0.0,63.39,28.6,325.43047270745274,2.6996630000000006,20,,
Ni,0.01,27.0,0.1,9.5,0.5,62.89,28.6,339.5726083311837,2.7691630000000007,20,,
Ni,0.01,27.0,0.1,9.5,1.0,62.39,28.6,345.43047270745274,2.8386630000000004,20,,
Ni,0.01,27.0,0.1,9.5,1.5,61.89,28.6,349.92537013528454,2.9081630000000005,20,,
Ni,0.01,27.0,0.1,9.5,2.0,61.39,28.6,353.71474395491464,2.9776630000000006,20,,
Ni,0.01,27.0,0.1,9.5,2.5,60.89,28.6,357.0532493091365,3.0471630000000007,20,,
Ni,0.01,27.0,0.1,9.5,3.0,60.39,28.6,360.07148885883026,3.1166630000000004,20,,
Ni,0.01,27.0,0.1,9.5,3.5,59.89,28.6,362.84704657519217,3.1861630000000005,20,,
Ni,0.01,27.0,0.1,9.5,4.0,59.39,28.6,365.43047270745274,3.2556630000000006,20,,
Ni,0.01,27.0,0.1,9.5,4.5,58.89,28.6,367.8568795786456,3.3251630000000008,20,,
Ni,0.01,27.0,0.1,9.5,5.0,58.39,28.6,370.1518322574485,3.3946630000000004,20,,
Ni,0.01,27.0,0.1,9.5,5.5,57.89,28.6,372.334630305687,3.4641630000000005,20,,
Ni,0.01,27.0,0.1,9.5,6.0,57.39,28.6,374.4202675631163,3.5336630000000007,20,,
Ni,0.01,27.0,0.1,9.5,6.5,56.89,28.6,376.42066784338056,3.603163000000001,20,,
Ni,0.01,27.0,0.1,9.5,7.0,56.39,28.6,378.3454989287445,3.672663000000001,20,,
Ni,0.01,27.0,0.1,9.5,7.5,55.89,28.6,380.20272845796933,3.7421630000000006,20,,
Ni,0.01,27.0,0.1,9.5,8.0,55.39,28.6,381.99901520237654,3.8116630000000007,20,,
Ni,0.01,27.0,0.1,9.5,8.5,54.89,28.6,383.7399916559057,3.881163000000001,20,,
Ni,0.01,27.0,0.1,9.5,9.0,54.39,28.6,385.43047270745274,3.9506630000000005,20,,
Ni,0.01,27.0,0.1,9.5,9.5,53.89,28.6,387.0746127371425,4.020163,20,,
Ni,0.01,27.0,0.1,9.5,10.0,53.39,28.6,388.67602591082033,4.089663000000001,20,,
Ni,0.01,27.0,0.1,10.0,0.0,62.89,28.6,327.03188588113056,2.7081630000000003,20,,
Ni,0.01,27.0,0.1,10.0,0.5,62.39,28.6,341.1740215048615,2.7776630000000004,20,,
Ni,0.01,27.0,0.1,10.0,1.0,61.89,28.6,347.03188588113056,2.847163,20,,
Ni,0.01,27.0,0.1,10.0,1.5,61.39,28.6,351.52678330896237,2.9166630000000002,20,,
Ni,0.01,27.0,0.1,10.0,2.0,60.89,28.6,355.31615712859247,2.9861630000000003,20,,
Ni,0.01,27.0,0.1,10.0,2.5,60.39,28.6,358.6546624828144,3.0556630000000005,20,,
Ni,0.01,27.0,0.1,10.0,3.0,59.89,28.6,361.6729020325081,3.125163,20,,
Ni,0.01,27.0,0.1,10.0,3.5,59.39,28.6,364.44845974887,3.1946630000000003,20,,
Ni,0.01,27.0,0.1,10.0,4.0,58.89,28.6,367.03188588113056,3.2641630000000004,20,,
Ni,0.01,27.0,0.1,10.0,4.5,58.39,28.6,369.4582927523234,3.3336630000000005,20,,
Ni,0.01,27.0,0.1,10.0,5.0,57.89,28.6,371.75324543112635,3.403163,20,,
Ni,0.01,27.0,0.1,10.0,5.5,57.39,28.6,373.93604347936486,3.4726630000000003,20,,
Ni,0.01,27.0,0.1,10.0,6.0,56.89,28.6,376.0216807367941,3.5421630000000004,20,,
Ni,0.01,27.0,0.1,10.0,6.5,56.39,28.6,378.02208101705844,3.6116630000000005,20,,
Ni,0.01,27.0,0.1,10.0,7.0,55.89,28.6,379.9469121024224,3.6811630000000006,20,,
Ni,0.01,27.0,0.1,10.0,7.5,55.39,28.6,381.80414163164716,3.7506630000000003,20,,
Ni,0.01,27.0,0.1,10.0,8.0,54.89,28.6,383.60042837605437,3.8201630000000004,20,,
Ni,0.01,27.0,0.1,10.0,8.5,54.39,28.6,385.34140482958355,3.8896630000000005,20,,
Ni,0.01,27.0,0.1,10.0,9.0,53.89,28.6,387.03188588113056,3.959163,20,,
Ni,0.01,27.0,0.1,10.0,9.5,53.39,28.6,388.67602591082033,4.028663,20,,
Ni,0.01,27.0,0.1,10.0,10.0,52.89,28.6,390.27743908449816,4.0981630000000004,20,,
Ni,0.01,27.0,0.1,10.5,0.0,62.39,28.6,328.5937396618416,2.7166630000000005,20,,
Ni,0.01,27.0,0.1,10.5,0.5,61.89,28.6,342.73587528557255,2.7861630000000006,20,,
Ni,0.01,27.0,0.1,10.5,1.0,61.39,28.6,348.5937396618416,2.8556630000000007,20,,
Ni,0.01,27.0,0.1,10.5,1.5,60.89,28.6,353.0886370896734,2.9251630000000004,20,,
Ni,0.01,27.0,0.1,10.5,2.0,60.39,28.6,356.8780109093035,2.9946630000000005,20,,
Ni,0.01,27.0,0.1,10.5,2.5,59.89,28.6,360.21651626352536,3.0641630000000006,20,,
Ni,0.01,27.0,0.1,10.5,3.0,59.39,28.6,363.2347558132191,3.1336630000000003,20,,
Ni,0.01,27.0,0.1,10.5,3.5,58.89,28.6,366.010313529581,3.2031630000000004,20,,
Ni,0.01,27.0,0.1,10.5,4.0,58.39,28.6,368.5937396618416,3.2726630000000005,20,,
Ni,0.01,27.0,0.1,10.5,4.5,57.89,28.6,371.02014653303445,3.342163,20,,
Ni,0.01,27.0,0.1,10.5,5.0,57.39,28.6,373.3150992118374,3.411663000000001,20,,
Ni,0.01,27.0,0.1,10.5,5.5,56.89,28.6,375.4978972600759,3.4811630000000005,20,,
Ni,0.01,27.0,0.1,10.5,6.0,56.39,28.6,377.58353451750514,3.5506630000000006,20,,
Ni,0.01,27.0,0.1,10.5,6.5,55.89,28.6,379.5839347977694,3.6201630000000007,20,,
Ni,0.01,27.0,0.1,10.5,7.0,55.39,28.6,381.5087658831334,3.6896630000000004,20,,
Ni,0.01,27.0,0.1,10.5,7.5,54.89,28.6,383.3659954123582,3.7591630000000005,20,,
Ni,0.01,27.0,0.1,10.5,8.0,54.39,28.6,385.1622821567654,3.8286630000000006,20,,
Ni,0.01,27.0,0.1,10.5,8.5,53.89,28.6,386.9032586102946,3.8981630000000007,20,,
Ni,0.01,27.0,0.1,10.5,9.0,53.39,28.6,388.5937396618416,3.9676630000000004,20,,
Ni,0.01,27.0,0.1,10.5,9.5,52.89,28.6,390.23787969153136,4.0371630000000005,20,,
Ni,0.01,27.0,0.1,10.5,10.0,52.39,28.6,391.8392928652092,4.106663000000001,20,,
Ni,0.01,27.0,0.15,9.5,0.0,63.34,29.4,338.2231750561554,2.6997380000000004,20,,
Ni,0.01,27.0,0.15,9.5,0.5,62.84,29.4,352.36531067988636,2.7692380000000005,20,,
Ni,0.01,27.0,0.15,9.5,1.0,62.34,29.4,358.2231750561554,2.838738,20,,
Ni,0.01,27.0,0.15,9.5,1.5,61.84,29.4,362.7180724839872,2.9082380000000003,20,,
Ni,0.01,27.0,0.15,9.5,2.0,61.34,29.4,366.5074463036173,2.9777380000000004,20,,
Ni,0.01,27.0,0.15,9.5,2.5,60.84,29.4,369.84595165783924,3.0472380000000006,20,,
Ni,0.01,27.0,0.15,9.5,3.0,60.34,29.4,372.86419120753294,3.1167380000000002,20,,
Ni,0.01,27.0,0.15,9.5,3.5,59.84,29.4,375.63974892389484,3.1862380000000003,20,,
Ni,0.01,27.0,0.15,9.5,4.0,59.34,29.4,378.2231750561554,3.2557380000000005,20,,
