X_element,C_wt%,Cr_wt%,N_wt%,Mn_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mo_wt%,Si_wt%
Ni,0.01,27.0,0.0,9.5,0.0,63.489999999999995,27.0,283.92050983184436,2.709013,20,,
Ni,0.01,27.0,0.0,9.5,0.5,62.989999999999995,27.0,298.0626454555753,2.7785130000000002,20,,
Ni,0.01,27.0,0.0,9.5,1.0,62.489999999999995,27.0,303.92050983184436,2.848013,20,,
Ni,0.01,27.0,0.0,9.5,1.5,61.989999999999995,27.0,308.41540725967616,2.917513,20,,
Ni,0.01,27.0,0.0,9.5,2.0,61.489999999999995,27.0,312.20478107930626,2.987013,20,,
Ni,0.01,27.0,0.0,9.5,2.5,60.989999999999995,27.0,315.5432864335281,3.0565130000000003,20,,
Ni,0.01,27.0,0.0,9.5,3.0,60.489999999999995,27.0,318.5615259832219,3.126013,20,,
Ni,0.01,27.0,0.0,9.5,3.5,59.989999999999995,27.0,321.3370836995838,3.195513,20,,
Ni,0.01,27.0,0.0,9.5,4.0,59.489999999999995,27.0,323.92050983184436,3.265013,20,,
Ni,0.01,27.0,0.0,9.5,4.5,58.989999999999995,27.0,326.3469167030372,3.3345130000000003,20,,
Ni,0.01,27.0,0.0,9.5,5.0,58.489999999999995,27.0,328.64186938184014,3.404013,20,,
Ni,0.01,27.0,0.0,9.5,5.5,57.989999999999995,27.0,330.82466743007865,3.473513,20,,
Ni,0.01,27.0,0.0,9.5,6.0,57.489999999999995,27.0,332.9103046875079,3.543013,20,,
Ni,0.01,27.0,0.0,9.5,6.5,56.989999999999995,27.0,334.9107049677722,3.6125130000000003,20,,
Ni,0.01,27.0,0.0,9.5,7.0,56.489999999999995,27.0,336.83553605313614,3.6820130000000004,20,,
Ni,0.01,27.0,0.0,9.5,7.5,55.989999999999995,27.0,338.69276558236095,3.751513,20,,
Ni,0.01,27.0,0.0,9.5,8.0,55.489999999999995,27.0,340.48905232676816,3.821013,20,,
Ni,0.01,27.0,0.0,9.5,8.5,54.989999999999995,27.0,342.23002878029735,3.8905130000000003,20,,
Ni,0.01,27.0,0.0,9.5,9.0,54.489999999999995,27.0,343.92050983184436,3.960013,20,,
Ni,0.01,27.0,0.0,9.5,9.5,53.989999999999995,27.0,345.5646498615341,4.029513,20,,
Ni,0.01,27.0,0.0,9.5,10.0,53.489999999999995,27.0,347.16606303521195,4.099013,20,,
Ni,0.01,27.0,0.0,10.0,0.0,62.989999999999995,27.0,285.9222762989416,2.7180130000000005,20,,
Ni,0.01,27.0,0.0,10.0,0.5,62.489999999999995,27.0,300.06441192267255,2.7875130000000006,20,,
Ni,0.01,27.0,0.0,10.0,1.0,61.989999999999995,27.0,305.9222762989416,2.8570130000000002,20,,
Ni,0.01,27.0,0.0,10.0,1.5,61.489999999999995,27.0,310.4171737267734,2.9265130000000004,20,,
Ni,0.01,27.0,0.0,10.0,2.0,60.989999999999995,27.0,314.2065475464035,2.9960130000000005,20,,
Ni,0.01,27.0,0.0,10.0,2.5,60.489999999999995,27.0,317.54505290062536,3.0655130000000006,20,,
Ni,0.01,27.0,0.0,10.0,3.0,59.989999999999995,27.0,320.5632924503191,3.1350130000000003,20,,
Ni,0.01,27.0,0.0,10.0,3.5,59.489999999999995,27.0,323.338850166681,3.2045130000000004,20,,
Ni,0.01,27.0,0.0,10.0,4.0,58.989999999999995,27.0,325.9222762989416,3.2740130000000005,20,,
Ni,0.01,27.0,0.0,10.0,4.5,58.489999999999995,27.0,328.34868317013445,3.3435130000000006,20,,
Ni,0.01,27.0,0.0,10.0,5.0,57.989999999999995,27.0,330.6436358489374,3.4130130000000003,20,,
Ni,0.01,27.0,0.0,10.0,5.5,57.489999999999995,27.0,332.8264338971759,3.4825130000000004,20,,
Ni,0.01,27.0,0.0,10.0,6.0,56.989999999999995,27.0,334.91207115460514,3.5520130000000005,20,,
Ni,0.01,27.0,0.0,10.0,6.5,56.489999999999995,27.0,336.9124714348694,3.6215130000000006,20,,
Ni,0.01,27.0,0.0,10.0,7.0,55.989999999999995,27.0,338.8373025202334,3.6910130000000008,20,,
Ni,0.01,27.0,0.0,10.0,7.5,55.489999999999995,27.0,340.6945320494582,3.7605130000000004,20,,
Ni,0.01,27.0,0.0,10.0,8.0,54.989999999999995,27.0,342.4908187938654,3.8300130000000006,20,,
Ni,0.01,27.0,0.0,10.0,8.5,54.489999999999995,27.0,344.2317952473946,3.8995130000000007,20,,
Ni,0.01,27.0,0.0,10.0,9.0,53.989999999999995,27.0,345.9222762989416,3.9690130000000003,20,,
Ni,0.01,27.0,0.0,10.0,9.5,53.489999999999995,27.0,347.56641632863136,4.038513,20,,
Ni,0.01,27.0,0.0,10.0,10.0,52.989999999999995,27.0,349.1678295023092,4.108013000000001,20,,
Ni,0.01,27.0,0.0,10.5,0.0,62.489999999999995,27.0,287.8745935248304,2.7270130000000004,20,,
Ni,0.01,27.0,0.0,10.5,0.5,61.989999999999995,27.0,302.01672914856135,2.7965130000000005,20,,
Ni,0.01,27.0,0.0,10.5,1.0,61.489999999999995,27.0,307.8745935248304,2.8660130000000006,20,,
Ni,0.01,27.0,0.0,10.5,1.5,60.989999999999995,27.0,312.3694909526622,2.9355130000000003,20,,
Ni,0.01,27.0,0.0,10.5,2.0,60.489999999999995,27.0,316.1588647722923,3.0050130000000004,20,,
Ni,0.01,27.0,0.0,10.5,2.5,59.989999999999995,27.0,319.49737012651417,3.0745130000000005,20,,
Ni,0.01,27.0,0.0,10.5,3.0,59.489999999999995,27.0,322.51560967620793,3.144013,20,,
Ni,0.01,27.0,0.0,10.5,3.5,58.989999999999995,27.0,325.29116739256983,3.2135130000000003,20,,
Ni,0.01,27.0,0.0,10.5,4.0,58.489999999999995,27.0,327.8745935248304,3.2830130000000004,20,,
Ni,0.01,27.0,0.0,10.5,4.5,57.989999999999995,27.0,330.30100039602326,3.352513,20,,
Ni,0.01,27.0,0.0,10.5,5.0,57.489999999999995,27.0,332.5959530748262,3.4220130000000006,20,,
Ni,0.01,27.0,0.0,10.5,5.5,56.989999999999995,27.0,334.7787511230647,3.4915130000000003,20,,
Ni,0.01,27.0,0.0,10.5,6.0,56.489999999999995,27.0,336.86438838049395,3.5610130000000004,20,,
Ni,0.01,27.0,0.0,10.5,6.5,55.989999999999995,27.0,338.8647886607582,3.6305130000000005,20,,
Ni,0.01,27.0,0.0,10.5,7.0,55.489999999999995,27.0,340.7896197461222,3.700013,20,,
Ni,0.01,27.0,0.0,10.5,7.5,54.989999999999995,27.0,342.646849275347,3.7695130000000003,20,,
Ni,0.01,27.0,0.0,10.5,8.0,54.489999999999995,27.0,344.4431360197542,3.8390130000000005,20,,
Ni,0.01,27.0,0.0,10.5,8.5,53.989999999999995,27.0,346.1841124732834,3.9085130000000006,20,,
Ni,0.01,27.0,0.0,10.5,9.0,53.489999999999995,27.0,347.8745935248304,3.9780130000000002,20,,
Ni,0.01,27.0,0.0,10.5,9.5,52.989999999999995,27.0,349.51873355452017,4.047513,20,,
