X_element,C_wt%,Cr_wt%,N_wt%,Ni_wt%,Mo_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Mo,0.01,27.0,0.0,9.5,0.0,63.489999999999995,27.0,268.5094748244219,3.8585130000000003,20,,
Mo,0.01,27.0,0.0,9.5,0.5,62.989999999999995,28.65,353.3622885668076,4.059013,20,,
Mo,0.01,27.0,0.0,9.5,1.0,62.489999999999995,30.3,388.5094748244219,4.259513,20,,
Mo,0.01,27.0,0.0,9.5,1.5,61.989999999999995,31.95,415.4788593914126,4.460013,20,,
Mo,0.01,27.0,0.0,9.5,2.0,61.489999999999995,33.6,438.2151023091933,4.660513,20,,
Mo,0.01,27.0,0.0,9.5,2.5,60.989999999999995,35.25,458.24613443452466,4.861013000000001,20,,
Mo,0.01,27.0,0.0,9.5,3.0,60.489999999999995,36.9,476.35557173268717,5.061513000000001,20,,
Mo,0.01,27.0,0.0,9.5,3.5,59.989999999999995,38.55,493.00891803085835,5.2620130000000005,20,,
Mo,0.01,27.0,0.0,9.5,4.0,59.489999999999995,40.2,508.5094748244219,5.462513,20,,
Mo,0.01,27.0,0.0,9.5,4.5,58.989999999999995,41.85,523.067916051579,5.663013,20,,
Mo,0.01,27.0,0.0,9.5,5.0,58.489999999999995,43.5,536.8376321243967,5.863513000000001,20,,
Mo,0.01,27.0,0.0,9.5,5.5,57.989999999999995,45.15,549.9344204138276,6.064013000000001,20,,
Mo,0.01,27.0,0.0,9.5,6.0,57.489999999999995,46.8,562.4482439584033,6.264513000000001,20,,
Mo,0.01,27.0,0.0,9.5,6.5,56.989999999999995,48.45,574.450645639989,6.465013000000001,20,,
Mo,0.01,27.0,0.0,9.5,7.0,56.489999999999995,50.099999999999994,585.9996321521728,6.665513000000001,20,,
Mo,0.01,27.0,0.0,9.5,7.5,55.989999999999995,51.75,597.1430093275216,6.866013000000001,20,,
Mo,0.01,27.0,0.0,9.5,8.0,55.489999999999995,53.4,607.9207297939647,7.0665130000000005,20,,
Mo,0.01,27.0,0.0,9.5,8.5,54.989999999999995,55.05,618.3665885151399,7.267013,20,,
Mo,0.01,27.0,0.0,9.5,9.0,54.489999999999995,56.7,628.5094748244219,7.467513,20,,
Mo,0.01,27.0,0.0,9.5,9.5,53.989999999999995,58.349999999999994,638.3743150025605,7.668013,20,,
Mo,0.01,27.0,0.0,9.5,10.0,53.489999999999995,60.0,647.9827940446274,7.868513000000001,20,,
Mo,0.01,27.0,0.0,10.0,0.0,62.989999999999995,27.0,270.1108879980997,3.9280130000000004,20,,
Mo,0.01,27.0,0.0,10.0,0.5,62.489999999999995,28.65,354.9637017404854,4.128513000000001,20,,
Mo,0.01,27.0,0.0,10.0,1.0,61.989999999999995,30.3,390.1108879980997,4.329013000000001,20,,
Mo,0.01,27.0,0.0,10.0,1.5,61.489999999999995,31.95,417.08027256509035,4.529513000000001,20,,
Mo,0.01,27.0,0.0,10.0,2.0,60.989999999999995,33.6,439.8165154828711,4.7300130000000005,20,,
Mo,0.01,27.0,0.0,10.0,2.5,60.489999999999995,35.25,459.8475476082025,4.930513,20,,
Mo,0.01,27.0,0.0,10.0,3.0,59.989999999999995,36.9,477.95698490636494,5.131013,20,,
Mo,0.01,27.0,0.0,10.0,3.5,59.489999999999995,38.55,494.6103312045362,5.331513000000001,20,,
Mo,0.01,27.0,0.0,10.0,4.0,58.989999999999995,40.2,510.1108879980997,5.532013000000001,20,,
Mo,0.01,27.0,0.0,10.0,4.5,58.489999999999995,41.85,524.6693292252568,5.732513000000001,20,,
Mo,0.01,27.0,0.0,10.0,5.0,57.989999999999995,43.5,538.4390452980745,5.933013000000001,20,,
Mo,0.01,27.0,0.0,10.0,5.5,57.489999999999995,45.15,551.5358335875055,6.133513000000001,20,,
Mo,0.01,27.0,0.0,10.0,6.0,56.989999999999995,46.8,564.049657132081,6.334013000000001,20,,
Mo,0.01,27.0,0.0,10.0,6.5,56.489999999999995,48.45,576.0520588136668,6.5345130000000005,20,,
Mo,0.01,27.0,0.0,10.0,7.0,55.989999999999995,50.099999999999994,587.6010453258506,6.735013,20,,
Mo,0.01,27.0,0.0,10.0,7.5,55.489999999999995,51.75,598.7444225011993,6.935513,20,,
Mo,0.01,27.0,0.0,10.0,8.0,54.989999999999995,53.4,609.5221429676426,7.136013,20,,
