X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,0.9,29.0,0.0,10.0,,50.1,62.0,884.181853486751,6.9171700000000005,20,10.0,,70.84181853486751
Mn,0.9,29.0,0.0,10.0,,50.6,62.0,882.1800870196538,6.908170000000001,20,9.5,,70.82180087019654
Mn,0.9,29.0,0.0,10.0,,51.1,62.0,880.1249119825416,6.899170000000001,20,9.0,,70.80124911982541
Mn,0.9,29.0,0.0,10.0,,51.6,62.0,878.0118106681078,6.890170000000001,20,8.5,,70.78011810668107
Mn,0.9,29.0,0.0,10.0,,52.1,62.0,875.8355901011963,6.881170000000001,20,8.0,,70.75835590101197
Mn,0.9,29.0,0.0,10.0,,52.6,62.0,873.5902316706873,6.872170000000001,20,7.5,,70.73590231670687
Mn,0.9,29.0,0.0,10.0,,53.1,62.0,871.2686947591563,6.863170000000001,20,7.0,,70.71268694759156
Mn,0.9,29.0,0.0,10.0,,53.6,62.0,868.8626559024514,6.854170000000001,20,6.5,,70.68862655902451
Mn,0.9,29.0,0.0,10.0,,54.1,62.0,866.3621555521211,6.84517,20,6.0,,70.66362155552122
Mn,0.9,29.0,0.0,10.0,,54.6,62.0,863.7551089803344,6.836170000000001,20,5.5,,70.63755108980334
Mn,0.9,29.0,0.0,10.0,,55.1,62.0,861.0266114200363,6.827170000000001,20,5.0,,70.61026611420036
Mn,0.9,29.0,0.0,10.0,,55.6,62.0,858.1579205715326,6.818170000000001,20,4.5,,70.58157920571533
Mn,0.9,29.0,0.0,10.0,,56.1,62.0,855.1249119825416,6.809170000000001,20,4.0,,70.55124911982541
Mn,0.9,29.0,0.0,10.0,,56.6,62.0,851.8956293172158,6.8001700000000005,20,3.5,,70.51895629317215
Mn,0.9,29.0,0.0,10.0,,57.1,62.0,848.4261821717635,6.791170000000001,20,3.0,,70.48426182171764
Mn,0.9,29.0,0.0,10.0,,57.6,62.0,844.6533827346464,6.782170000000001,20,2.5,,70.44653382734646
Mn,0.9,29.0,0.0,10.0,,58.1,62.0,840.480251041869,6.77317,20,2.0,,70.40480251041869
Mn,0.9,29.0,0.0,10.0,,58.6,62.0,835.7435337673313,6.764170000000001,20,1.5,,70.35743533767331
Mn,0.9,29.0,0.0,10.0,,59.1,62.0,830.1249119825416,6.755170000000001,20,1.0,,70.30124911982541
Mn,0.9,29.0,0.0,10.0,,59.6,62.0,822.8025815122053,6.746170000000001,20,0.5,,70.22802581512205
Mn,0.9,29.0,0.0,10.0,,60.1,62.0,805.1249119825416,6.737170000000001,20,0.0,,70.05124911982541
