X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Ni,0.0,27.0,0.0,9.5,0.0,63.5,58.349999999999994,551.7301749728706,6.3475,20,,
Ni,0.0,27.0,0.0,9.5,0.5,63.0,58.349999999999994,565.8723105966016,6.417,20,,
Ni,0.0,27.0,0.0,9.5,1.0,62.5,58.349999999999994,571.7301749728706,6.4865,20,,
Ni,0.0,27.0,0.0,9.5,1.5,62.0,58.349999999999994,576.2250724007024,6.556,20,,
Ni,0.0,27.0,0.0,9.5,2.0,61.5,58.349999999999994,580.0144462203325,6.625500000000001,20,,
Ni,0.0,27.0,0.0,9.5,2.5,61.0,58.349999999999994,583.3529515745544,6.695,20,,
Ni,0.0,27.0,0.0,9.5,3.0,60.5,58.349999999999994,586.3711911242482,6.7645,20,,
Ni,0.0,27.0,0.0,9.5,3.5,60.0,58.349999999999994,589.14674884061,6.8340000000000005,20,,
Ni,0.0,27.0,0.0,9.5,4.0,59.5,58.349999999999994,591.7301749728706,6.9035,20,,
Ni,0.0,27.0,0.0,9.5,4.5,59.0,58.349999999999994,594.1565818440635,6.973,20,,
Ni,0.0,27.0,0.0,9.5,5.0,58.5,58.349999999999994,596.4515345228664,7.0425,20,,
Ni,0.0,27.0,0.0,9.5,5.5,58.0,58.349999999999994,598.6343325711049,7.112,20,,
Ni,0.0,27.0,0.0,9.5,6.0,57.5,58.349999999999994,600.7199698285342,7.1815,20,,
Ni,0.0,27.0,0.0,9.5,6.5,57.0,58.349999999999994,602.7203701087984,7.251,20,,
Ni,0.0,27.0,0.0,9.5,7.0,56.5,58.349999999999994,604.6452011941624,7.3205,20,,
Ni,0.0,27.0,0.0,9.5,7.5,56.0,58.349999999999994,606.5024307233872,7.390000000000001,20,,
Ni,0.0,27.0,0.0,9.5,8.0,55.5,58.349999999999994,608.2987174677944,7.4595,20,,
Ni,0.0,27.0,0.0,9.5,8.5,55.0,58.349999999999994,610.0396939213236,7.529,20,,
Ni,0.0,27.0,0.0,9.5,9.0,54.5,58.349999999999994,611.7301749728706,7.5985,20,,
Ni,0.0,27.0,0.0,9.5,9.5,54.0,58.349999999999994,613.3743150025604,7.668,20,,
Ni,0.0,27.0,0.0,9.5,10.0,53.5,58.349999999999994,614.9757281762381,7.737500000000001,20,,
Ni,0.0,27.0,0.0,10.0,0.0,63.0,60.0,561.3386540149377,6.548000000000001,20,,
Ni,0.0,27.0,0.0,10.0,0.5,62.5,60.0,575.4807896386686,6.617500000000001,20,,
Ni,0.0,27.0,0.0,10.0,1.0,62.0,60.0,581.3386540149377,6.687000000000001,20,,
Ni,0.0,27.0,0.0,10.0,1.5,61.5,60.0,585.8335514427695,6.756500000000001,20,,
Ni,0.0,27.0,0.0,10.0,2.0,61.0,60.0,589.6229252623996,6.8260000000000005,20,,
Ni,0.0,27.0,0.0,10.0,2.5,60.5,60.0,592.9614306166214,6.895500000000001,20,,
Ni,0.0,27.0,0.0,10.0,3.0,60.0,60.0,595.9796701663153,6.965000000000001,20,,
Ni,0.0,27.0,0.0,10.0,3.5,59.5,60.0,598.7552278826771,7.034500000000001,20,,
Ni,0.0,27.0,0.0,10.0,4.0,59.0,60.0,601.3386540149377,7.104000000000001,20,,
Ni,0.0,27.0,0.0,10.0,4.5,58.5,60.0,603.7650608861305,7.173500000000001,20,,
Ni,0.0,27.0,0.0,10.0,5.0,58.0,60.0,606.0600135649335,7.243000000000001,20,,
Ni,0.0,27.0,0.0,10.0,5.5,57.5,60.0,608.242811613172,7.312500000000001,20,,
Ni,0.0,27.0,0.0,10.0,6.0,57.0,60.0,610.3284488706013,7.382000000000001,20,,
Ni,0.0,27.0,0.0,10.0,6.5,56.5,60.0,612.3288491508655,7.451500000000001,20,,
Ni,0.0,27.0,0.0,10.0,7.0,56.0,60.0,614.2536802362295,7.521000000000001,20,,
Ni,0.0,27.0,0.0,10.0,7.5,55.5,60.0,616.1109097654543,7.5905000000000005,20,,
Ni,0.0,27.0,0.0,10.0,8.0,55.0,60.0,617.9071965098615,7.660000000000001,20,,
Ni,0.0,27.0,0.0,10.0,8.5,54.5,60.0,619.6481729633907,7.729500000000002,20,,
