X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Service_T_C (info),Ms_ok_(>=200C),Fe_balance_ok_(>80%),Ni_wt%,Mn_wt%,Si_wt%
Mo,0.1,11.0,0.0,0.0,88.9,363.6,11.0,195.13880916664849,20,True,True,,,
Mo,0.1,11.0,0.0,0.5,88.4,359.85,12.65,279.99162290903416,20,True,True,,,
Mo,0.1,11.0,0.0,1.0,87.9,356.1,14.3,315.13880916664846,20,True,True,,,
Mo,0.1,11.0,0.0,1.5,87.4,352.35,15.95,342.10819373363915,20,True,True,,,
Mo,0.1,11.0,0.0,2.0,86.9,348.6,17.6,364.84443665141987,20,True,True,,,
Mo,0.1,11.0,0.0,2.5,86.4,344.85,19.25,384.8754687767513,20,True,True,,,
Mo,0.1,11.0,0.05,0.0,88.85,363.6,11.8,235.3880327616447,20,True,True,,,
Mo,0.1,11.0,0.05,0.5,88.35,359.85,13.450000000000001,320.2408465040304,20,True,True,,,
Mo,0.1,11.0,0.05,1.0,87.85,356.1,15.100000000000001,355.3880327616447,20,True,True,,,
Mo,0.1,11.0,0.05,1.5,87.35,352.35,16.75,382.3574173286354,20,True,True,,,
Mo,0.1,11.0,0.05,2.0,86.85,348.6,18.400000000000002,405.0936602464161,20,True,True,,,
Mo,0.1,11.0,0.05,2.5,86.35,344.85,20.05,425.12469237174747,20,True,True,,,
Mo,0.1,11.0,0.1,0.0,88.8,363.6,12.6,252.0598070496793,20,True,True,,,
Mo,0.1,11.0,0.1,0.5,88.3,359.85,14.25,336.912620792065,20,True,True,,,
Mo,0.1,11.0,0.1,1.0,87.8,356.1,15.9,372.0598070496793,20,True,True,,,
Mo,0.1,11.0,0.1,1.5,87.3,352.35,17.55,399.02919161667,20,True,True,,,
Mo,0.1,11.0,0.1,2.0,86.8,348.6,19.200000000000003,421.7654345344507,20,True,True,,,
Mo,0.1,11.0,0.1,2.5,86.3,344.85,20.85,441.7964666597821,20,True,True,,,
Mo,0.1,11.0,0.15,0.0,88.75,363.6,13.4,264.852509398382,20,True,True,,,
Mo,0.1,11.0,0.15,0.5,88.25,359.85,15.05,349.7053231407677,20,True,True,,,
Mo,0.1,11.0,0.15,1.0,87.75,356.1,16.7,384.852509398382,20,True,True,,,
Mo,0.1,11.0,0.15,1.5,87.25,352.35,18.349999999999998,411.8218939653726,20,True,True,,,
Mo,0.1,11.0,0.15,2.0,86.75,348.6,20.0,434.5581368831534,20,True,True,,,
Mo,0.1,11.0,0.15,2.5,86.25,344.85,21.65,454.58916900848476,20,True,True,,,
Mo,0.1,12.0,0.0,0.0,87.9,351.5,12.0,200.3004980340309,20,True,True,,,
Mo,0.1,12.0,0.0,0.5,87.4,347.75,13.65,285.1533117764166,20,True,True,,,
Mo,0.1,12.0,0.0,1.0,86.9,344.0,15.3,320.3004980340309,20,True,True,,,
Mo,0.1,12.0,0.0,1.5,86.4,340.25,16.95,347.26988260102155,20,True,True,,,
Mo,0.1,12.0,0.0,2.0,85.9,336.5,18.6,370.0061255188023,20,True,True,,,
Mo,0.1,12.0,0.0,2.5,85.4,332.75,20.25,390.0371576441337,20,True,True,,,
Mo,0.1,12.0,0.05,0.0,87.85,351.5,12.8,240.54972162902712,20,True,True,,,
Mo,0.1,12.0,0.05,0.5,87.35,347.75,14.450000000000001,325.4025353714128,20,True,True,,,
Mo,0.1,12.0,0.05,1.0,86.85,344.0,16.1,360.5497216290271,20,True,True,,,
Mo,0.1,12.0,0.05,1.5,86.35,340.25,17.75,387.5191061960178,20,True,True,,,
Mo,0.1,12.0,0.05,2.0,85.85,336.5,19.400000000000002,410.2553491137985,20,True,True,,,
Mo,0.1,12.0,0.05,2.5,85.35,332.75,21.05,430.2863812391299,20,True,True,,,
Mo,0.1,12.0,0.1,0.0,87.8,351.5,13.6,257.22149591706176,20,True,True,,,
Mo,0.1,12.0,0.1,0.5,87.3,347.75,15.25,342.07430965944747,20,True,True,,,
Mo,0.1,12.0,0.1,1.0,86.8,344.0,16.900000000000002,377.22149591706176,20,True,True,,,
Mo,0.1,12.0,0.1,1.5,86.3,340.25,18.55,404.1908804840524,20,True,True,,,
Mo,0.1,12.0,0.1,2.0,85.8,336.5,20.200000000000003,426.92712340183317,20,True,True,,,
Mo,0.1,12.0,0.1,2.5,85.3,332.75,21.85,446.95815552716454,20,True,True,,,
Mo,0.1,12.0,0.15,0.0,87.75,351.5,14.4,270.01419826576443,20,True,True,,,
Mo,0.1,12.0,0.15,0.5,87.25,347.75,16.05,354.86701200815014,20,True,True,,,
Mo,0.1,12.0,0.15,1.0,86.75,344.0,17.7,390.01419826576443,20,True,True,,,
Mo,0.1,12.0,0.15,1.5,86.25,340.25,19.349999999999998,416.98358283275513,20,True,True,,,
Mo,0.1,12.0,0.15,2.0,85.75,336.5,21.0,439.71982575053585,20,True,True,,,
Mo,0.1,12.0,0.15,2.5,85.25,332.75,22.65,459.7508578758672,20,True,True,,,
Mo,0.1,13.0,0.0,0.0,86.9,339.4,13.0,205.25123614544913,20,True,True,,,
Mo,0.1,13.0,0.0,0.5,86.4,335.65,14.65,290.10404988783483,20,True,True,,,
Mo,0.1,13.0,0.0,1.0,85.9,331.9,16.3,325.2512361454491,20,True,True,,,
Mo,0.1,13.0,0.0,1.5,85.4,328.15,17.95,352.22062071243977,20,True,True,,,
Mo,0.1,13.0,0.0,2.0,84.9,324.4,19.6,374.95686363022054,20,True,True,,,
Mo,0.1,13.0,0.0,2.5,84.4,320.65,21.25,394.9878957555519,20,True,True,,,
Mo,0.1,13.0,0.05,0.0,86.85,339.4,13.8,245.50045974044534,20,True,True,,,
Mo,0.1,13.0,0.05,0.5,86.35,335.65,15.450000000000001,330.353273482831,20,True,True,,,
Mo,0.1,13.0,0.05,1.0,85.85,331.9,17.1,365.5004597404453,20,True,True,,,
Mo,0.1,13.0,0.05,1.5,85.35,328.15,18.75,392.469844307436,20,True,True,,,
Mo,0.1,13.0,0.05,2.0,84.85,324.4,20.400000000000002,415.2060872252167,20,True,True,,,
Mo,0.1,13.0,0.05,2.5,84.35,320.65,22.05,435.23711935054814,20,True,True,,,
Mo,0.1,13.0,0.1,0.0,86.8,339.4,14.6,262.17223402848,20,True,True,,,
Mo,0.1,13.0,0.1,0.5,86.3,335.65,16.25,347.0250477708657,20,True,True,,,
Mo,0.1,13.0,0.1,1.0,85.8,331.9,17.900000000000002,382.17223402848,20,True,True,,,
Mo,0.1,13.0,0.1,1.5,85.3,328.15,19.55,409.1416185954706,20,True,True,,,
Mo,0.1,13.0,0.1,2.0,84.8,324.4,21.200000000000003,431.8778615132514,20,True,True,,,
Mo,0.1,13.0,0.1,2.5,84.3,320.65,22.85,451.90889363858275,20,True,True,,,
Mo,0.1,13.0,0.15,0.0,86.75,339.4,15.4,274.96493637718265,20,True,True,,,
Mo,0.1,13.0,0.15,0.5,86.25,335.65,17.05,359.81775011956836,20,True,True,,,
Mo,0.1,13.0,0.15,1.0,85.75,331.9,18.7,394.96493637718265,20,True,True,,,
Mo,0.1,13.0,0.15,1.5,85.25,328.15,20.349999999999998,421.93432094417335,20,True,True,,,
Mo,0.1,13.0,0.15,2.0,84.75,324.4,22.0,444.67056386195407,20,True,True,,,
Mo,0.1,13.0,0.15,2.5,84.25,320.65,23.65,464.70159598728543,20,True,True,,,
Mo,0.1,14.0,0.0,0.0,85.9,327.29999999999995,14.0,210.01495004129742,20,True,True,,,
Mo,0.1,14.0,0.0,0.5,85.4,323.54999999999995,15.65,294.86776378368313,20,True,True,,,
Mo,0.1,14.0,0.0,1.0,84.9,319.79999999999995,17.3,330.0149500412974,20,True,True,,,
Mo,0.1,14.0,0.0,1.5,84.4,316.04999999999995,18.95,356.9843346082881,20,True,True,,,
Mo,0.1,14.0,0.0,2.0,83.9,312.29999999999995,20.6,379.72057752606884,20,True,True,,,
Mo,0.1,14.0,0.0,2.5,83.4,308.54999999999995,22.25,399.7516096514002,20,True,True,,,
Mo,0.1,14.0,0.05,0.0,85.85,327.29999999999995,14.8,250.26417363629363,20,True,True,,,
Mo,0.1,14.0,0.05,0.5,85.35,323.54999999999995,16.45,335.11698737867937,20,True,True,,,
Mo,0.1,14.0,0.05,1.0,84.85,319.79999999999995,18.1,370.26417363629366,20,True,True,,,
Mo,0.1,14.0,0.05,1.5,84.35,316.04999999999995,19.75,397.2335582032843,20,True,True,,,
Mo,0.1,14.0,0.05,2.0,83.85,312.29999999999995,21.400000000000002,419.9698011210651,20,True,True,,,
Mo,0.1,14.0,0.05,2.5,83.35,308.54999999999995,23.05,440.0008332463964,20,True,True,,,
Mo,0.1,14.0,0.1,0.0,85.8,327.29999999999995,15.6,266.9359479243283,20,True,True,,,
Mo,0.1,14.0,0.1,0.5,85.3,323.54999999999995,17.25,351.788761666714,20,True,True,,,
Mo,0.1,14.0,0.1,1.0,84.8,319.79999999999995,18.900000000000002,386.9359479243283,20,True,True,,,
Mo,0.1,14.0,0.1,1.5,84.3,316.04999999999995,20.55,413.905332491319,20,True,True,,,
Mo,0.1,14.0,0.1,2.0,83.8,312.29999999999995,22.200000000000003,436.6415754090997,20,True,True,,,
Mo,0.1,14.0,0.1,2.5,83.3,308.54999999999995,23.85,456.67260753443105,20,True,True,,,
Mo,0.1,14.0,0.15,0.0,85.75,327.29999999999995,16.4,279.72865027303095,20,True,True,,,
Mo,0.1,14.0,0.15,0.5,85.25,323.54999999999995,18.05,364.58146401541666,20,True,True,,,
Mo,0.1,14.0,0.15,1.0,84.75,319.79999999999995,19.7,399.72865027303095,20,True,True,,,
Mo,0.1,14.0,0.15,1.5,84.25,316.04999999999995,21.349999999999998,426.6980348400216,20,True,True,,,
Mo,0.1,14.0,0.15,2.0,83.75,312.29999999999995,23.0,449.43427775780236,20,True,True,,,
Mo,0.1,14.0,0.15,2.5,83.25,308.54999999999995,24.65,469.4653098831337,20,True,True,,,
Mo,0.1,15.0,0.0,0.0,84.9,315.2,15.0,214.6113586214691,20,True,True,,,
Mo,0.1,15.0,0.0,0.5,84.4,311.45,16.65,299.4641723638548,20,True,True,,,
Mo,0.1,15.0,0.0,1.0,83.9,307.7,18.3,334.6113586214691,20,True,True,,,
Mo,0.1,15.0,0.0,1.5,83.4,303.95,19.95,361.5807431884598,20,True,True,,,
Mo,0.1,15.0,0.0,2.0,82.9,300.2,21.6,384.3169861062405,20,True,True,,,
Mo,0.1,15.0,0.0,2.5,82.4,296.45,23.25,404.34801823157187,20,True,True,,,
Mo,0.1,15.0,0.05,0.0,84.85,315.2,15.8,254.8605822164653,20,True,True,,,
Mo,0.1,15.0,0.05,0.5,84.35,311.45,17.45,339.71339595885104,20,True,True,,,
Mo,0.1,15.0,0.05,1.0,83.85,307.7,19.1,374.86058221646533,20,True,True,,,
Mo,0.1,15.0,0.05,1.5,83.35,303.95,20.75,401.829966783456,20,True,True,,,
Mo,0.1,15.0,0.05,2.0,82.85,300.2,22.400000000000002,424.56620970123674,20,True,True,,,
Mo,0.1,15.0,0.05,2.5,82.35,296.45,24.05,444.59724182656805,20,True,True,,,
Mo,0.1,15.0,0.1,0.0,84.8,315.2,16.6,271.53235650449994,20,True,True,,,
Mo,0.1,15.0,0.1,0.5,84.3,311.45,18.25,356.38517024688565,20,True,True,,,
Mo,0.1,15.0,0.1,1.0,83.8,307.7,19.900000000000002,391.53235650449994,20,True,True,,,
Mo,0.1,15.0,0.1,1.5,83.3,303.95,21.55,418.50174107149064,20,True,True,,,
Mo,0.1,15.0,0.1,2.0,82.8,300.2,23.200000000000003,441.23798398927136,20,True,True,,,
Mo,0.1,15.0,0.1,2.5,82.3,296.45,24.85,461.2690161146027,20,True,True,,,
Mo,0.1,15.0,0.15,0.0,84.75,315.2,17.4,284.3250588532026,20,True,True,,,
Mo,0.1,15.0,0.15,0.5,84.25,311.45,19.049999999999997,369.1778725955883,20,True,True,,,
Mo,0.1,15.0,0.15,1.0,83.75,307.7,20.7,404.3250588532026,20,True,True,,,
Mo,0.1,15.0,0.15,1.5,83.25,303.95,22.349999999999998,431.29444342019326,20,True,True,,,
Mo,0.1,15.0,0.15,2.0,82.75,300.2,24.0,454.03068633797403,20,True,True,,,
Mo,0.1,15.0,0.15,2.5,82.25,296.45,25.65,474.0617184633054,20,True,True,,,
Mo,0.2,11.0,0.0,0.0,88.8,321.29999999999995,11.0,227.8852665374285,20,True,True,,,
Mo,0.2,11.0,0.0,0.5,88.3,317.54999999999995,12.65,312.7380802798142,20,True,True,,,
Mo,0.2,11.0,0.0,1.0,87.8,313.79999999999995,14.3,347.8852665374285,20,True,True,,,
Mo,0.2,11.0,0.0,1.5,87.3,310.04999999999995,15.95,374.8546511044192,20,True,True,,,
Mo,0.2,11.0,0.0,2.0,86.8,306.29999999999995,17.6,397.5908940221999,20,True,True,,,
Mo,0.2,11.0,0.0,2.5,86.3,302.54999999999995,19.25,417.62192614753127,20,True,True,,,
Mo,0.2,11.0,0.05,0.0,88.75,321.29999999999995,11.8,268.13449013242473,20,True,True,,,
Mo,0.2,11.0,0.05,0.5,88.25,317.54999999999995,13.450000000000001,352.98730387481044,20,True,True,,,
Mo,0.2,11.0,0.05,1.0,87.75,313.79999999999995,15.100000000000001,388.13449013242473,20,True,True,,,
Mo,0.2,11.0,0.05,1.5,87.25,310.04999999999995,16.75,415.1038746994154,20,True,True,,,
Mo,0.2,11.0,0.05,2.0,86.75,306.29999999999995,18.400000000000002,437.84011761719614,20,True,True,,,
Mo,0.2,11.0,0.05,2.5,86.25,302.54999999999995,20.05,457.8711497425275,20,True,True,,,
Mo,0.2,11.0,0.1,0.0,88.7,321.29999999999995,12.6,284.80626442045934,20,True,True,,,
Mo,0.2,11.0,0.1,0.5,88.2,317.54999999999995,14.25,369.65907816284505,20,True,True,,,
Mo,0.2,11.0,0.1,1.0,87.7,313.79999999999995,15.9,404.80626442045934,20,True,True,,,
Mo,0.2,11.0,0.1,1.5,87.2,310.04999999999995,17.55,431.77564898745004,20,True,True,,,
Mo,0.2,11.0,0.1,2.0,86.7,306.29999999999995,19.200000000000003,454.51189190523075,20,True,True,,,
Mo,0.2,11.0,0.1,2.5,86.2,302.54999999999995,20.85,474.5429240305621,20,True,True,,,
Mo,0.2,11.0,0.15,0.0,88.65,321.29999999999995,13.4,297.598966769162,20,True,True,,,
Mo,0.2,11.0,0.15,0.5,88.15,317.54999999999995,15.05,382.4517805115477,20,True,True,,,
