X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Mn_wt%,Si_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Cost_USD_per_kg,KgCO2e_per_kg,Ms_ok_(>=200C),Fe_balance_ok_(>80%),Service_T_C (info),score
Mn,0.1,11.0,0.15,,,0.0,,88.75,363.6,13.4,264.852509398382,1.392,2.439,True,True,20,30.109862546991916
Mn,0.1,12.0,0.15,,,0.0,,87.75,351.5,14.4,270.01419826576443,1.455,2.479,True,True,20,29.881570991328825
Mn,0.1,13.0,0.15,,,0.0,,86.75,339.4,15.4,274.96493637718265,1.518,2.519,True,True,20,29.652224681885908
Mo,0.1,11.0,0.15,2.5,,,,86.25,344.85,21.65,454.5891690084848,1.625,2.889,True,True,20,37.270445845042424
Mo,0.1,12.0,0.15,2.5,,,,85.25,332.75,22.65,459.7508578758672,1.688,2.929,True,True,20,37.04215428937933
Mo,0.1,13.0,0.15,2.5,,,,84.25,320.65,23.65,464.70159598728543,1.751,2.969,True,True,20,36.81280797993642
Ni,0.1,11.0,0.15,,0.0,,,88.75,363.6,13.4,264.852509398382,1.392,2.439,True,True,20,30.109862546991916
Ni,0.1,12.0,0.15,,0.0,,,87.75,351.5,14.4,270.01419826576443,1.455,2.479,True,True,20,29.881570991328825
Ni,0.1,13.0,0.15,,0.0,,,86.75,339.4,15.4,274.96493637718265,1.518,2.519,True,True,20,29.652224681885908
Si,0.1,11.0,0.15,,,,2.5,86.25,363.6,13.4,296.4752860000658,1.425,2.489,True,True,20,30.244876430000335
Si,0.1,11.0,0.15,,,,2.0,86.75,363.6,13.4,293.1367806458439,1.418,2.479,True,True,20,30.233083903229225
Si,0.1,11.0,0.15,,,,1.5,87.25,363.6,13.4,289.3474068262138,1.412,2.469,True,True,20,30.218337034131075
