# Time-averaged data for fix msdout
# TimeStep c_msdF[4] c_msd_all[4]
0 0 0
100 0.0990975 0.0851595
200 0.146098 0.134568
300 0.112498 0.101518
400 0.105888 0.0875182
500 0.127789 0.106942
600 0.132934 0.112771
700 0.15036 0.122728
800 0.145815 0.120886
900 0.144931 0.117458
1000 0.134395 0.111333
1100 0.129756 0.108195
1200 0.146952 0.120299
1300 0.135978 0.112818
1400 0.126054 0.105619
1500 0.152529 0.123658
1600 0.138443 0.114787
1700 0.123956 0.104162
1800 0.131145 0.106829
1900 0.129123 0.107207
2000 0.137099 0.113652
2100 0.148356 0.124325
2200 0.123291 0.103757
2300 0.137254 0.112663
2400 0.136332 0.111849
2500 0.13304 0.108352
2600 0.128811 0.106085
2700 0.136457 0.11338
2800 0.136889 0.111203
2900 0.149086 0.122929
3000 0.13219 0.110509
3100 0.12494 0.103163
3200 0.130056 0.109518
3300 0.118853 0.101917
3400 0.131293 0.109663
3500 0.137749 0.113712
3600 0.141579 0.116818
3700 0.13675 0.112863
3800 0.123172 0.102238
3900 0.145627 0.12018
4000 0.131077 0.110058
4100 0.136737 0.114814
4200 0.134269 0.11304
4300 0.135728 0.11255
4400 0.134382 0.11068
4500 0.129457 0.105513
4600 0.129594 0.110162
4700 0.141378 0.117006
4800 0.133596 0.113462
4900 0.141991 0.114716
5000 0.14193 0.115507
5100 0.126006 0.104123
5200 0.144374 0.120701
5300 0.129231 0.109163
5400 0.144081 0.119529
5500 0.136542 0.11371
5600 0.13958 0.115196
5700 0.138537 0.118333
5800 0.129946 0.109011
5900 0.1287 0.106988
6000 0.145531 0.117618
6100 0.14554 0.12163
6200 0.141633 0.117776
6300 0.13408 0.108618
6400 0.136876 0.113031
6500 0.137635 0.117793
6600 0.129162 0.109031
6700 0.150028 0.122676
6800 0.149983 0.123513
6900 0.139667 0.115796
7000 0.152632 0.126053
7100 0.129949 0.10911
7200 0.13811 0.116402
7300 0.130177 0.108135
7400 0.142141 0.118551
7500 0.122091 0.106213
7600 0.145385 0.120796
7700 0.131133 0.108219
7800 0.155802 0.129566
7900 0.149312 0.12695
8000 0.140431 0.116276
8100 0.142398 0.11752
8200 0.140816 0.117277
8300 0.153757 0.12848
8400 0.127225 0.104929
8500 0.146438 0.120578
8600 0.15543 0.128139
8700 0.151141 0.123655
8800 0.141236 0.115097
8900 0.149162 0.1221
9000 0.135316 0.113879
9100 0.137518 0.114167
9200 0.137179 0.114047
9300 0.129376 0.107796
9400 0.141201 0.115401
9500 0.135804 0.112366
9600 0.153566 0.127502
9700 0.131399 0.108708
9800 0.147232 0.119364
9900 0.146029 0.12015
10000 0.143791 0.120464
