# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
0 200
1 0.025 0 0 0 0 0 0
2 0.075 0 0 0 0 0 0
3 0.125 0 0 0 0 0 0
4 0.175 0 0 0 0 0 0
5 0.225 0 0 0 0 0 0
6 0.275 0 0 0 0 0 0
7 0.325 0 0 0 0 0 0
8 0.375 0 0 0 0 0 0
9 0.425 0 0 0 0 0 0
10 0.475 0 0 0 0 0 0
11 0.525 0 0 0 0 0 0
12 0.575 0 0 0 0 0 0
13 0.625 0 0 0 0 0 0
14 0.675 0 0 0 0 0 0
15 0.725 0 0 0 0 0 0
16 0.775 0 0 0 0 0 0
17 0.825 0 0 0 0 0 0
18 0.875 0 0 0 0 0 0
19 0.925 0 0 0 0 0 0
20 0.975 0 0 0 0 0 0
21 1.025 0 0 0 0 0 0
22 1.075 0 0 0 0 0 0
23 1.125 0 0 0 0 0 0
24 1.175 0 0 0 0 0 0
25 1.225 0 0 0 0 0 0
26 1.275 0 0 0 0 0 0
27 1.325 0 0 0 0 0 0
28 1.375 0 0 0 0 0 0
29 1.425 0 0 0 0 0 0
30 1.475 0 0 0 0 0 0
31 1.525 0 0 0 0 0 0
32 1.575 0 0 0 0 0 0
33 1.625 0 0 0 0 0 0
34 1.675 0 0 0 0 0 0
35 1.725 0 0 0 0 0 0
36 1.775 0 0 0 0 0 0
37 1.825 0 0 0 0 0 0
38 1.875 0 0 0 0 0 0
39 1.925 0 0 0 0 0 0
40 1.975 0 0 0 0 0 0
41 2.025 0 0 0 0 0 0
42 2.075 0 0 0 0 0 0
43 2.125 0 0 0 0 0 0
44 2.175 0 0 0 0 0 0
45 2.225 0 0 0 0 0 0
46 2.275 0 0 0 0 0 0
47 2.325 0 0 0 0 0 0
48 2.375 0 0 46.0266 8 0 0
49 2.425 0 0 0 8 0 0
50 2.475 0 0 0 8 0 0
51 2.525 0 0 0 8 0 0
52 2.575 0 0 0 8 0 0
53 2.625 0 0 0 8 0 0
54 2.675 0 0 0 8 0 0
55 2.725 0 0 0 8 26.2735 6
56 2.775 0 0 0 8 0 6
57 2.825 0 0 0 8 0 6
58 2.875 0 0 0 8 0 6
59 2.925 0 0 0 8 0 6
60 2.975 0 0 0 8 0 6
61 3.025 0 0 0 8 0 6
62 3.075 0 0 0 8 0 6
63 3.125 0 0 0 8 0 6
64 3.175 0 0 0 8 0 6
65 3.225 0 0 0 8 0 6
66 3.275 0 0 0 8 0 6
67 3.325 0 0 0 8 0 6
68 3.375 0 0 0 8 0 6
69 3.425 0 0 0 8 0 6
70 3.475 0 0 0 8 0 6
71 3.525 0 0 0 8 0 6
72 3.575 0 0 0 8 0 6
73 3.625 0 0 0 8 0 6
74 3.675 0 0 0 8 0 6
75 3.725 0 0 0 8 0 6
76 3.775 0 0 0 8 0 6
77 3.825 0 0 0 8 0 6
78 3.875 52.0743 12 0 8 25.9862 18
79 3.925 0 12 0 8 0 18
80 3.975 0 12 0 8 0 18
81 4.025 0 12 0 8 0 18
82 4.075 0 12 0 8 0 18
83 4.125 0 12 0 8 0 18
84 4.175 0 12 0 8 0 18
85 4.225 0 12 0 8 0 18
86 4.275 0 12 0 8 0 18
87 4.325 0 12 0 8 0 18
88 4.375 0 12 0 8 0 18
89 4.425 0 12 0 8 0 18
90 4.475 0 12 0 8 0 18
91 4.525 0 12 38.0392 32 0 18
92 4.575 0 12 0 32 0 18
93 4.625 0 12 0 32 0 18
94 4.675 0 12 0 32 0 18
95 4.725 0 12 0 32 11.6518 26
96 4.775 0 12 0 32 0 26
97 4.825 0 12 0 32 0 26
98 4.875 0 12 0 32 0 26
99 4.925 0 12 0 32 0 26
100 4.975 0 12 0 32 0 26
101 5.025 0 12 0 32 0 26
102 5.075 0 12 0 32 0 26
103 5.125 0 12 0 32 0 26
104 5.175 0 12 0 32 0 26
105 5.225 0 12 0 32 0 26
106 5.275 0 12 0 32 0 26
107 5.325 0 12 0 32 0 26
108 5.375 0 12 0 32 0 26
109 5.425 0 12 0 32 0 26
110 5.475 13.0428 18 0 32 6.50866 32
111 5.525 0 18 0 32 0 32
112 5.575 0 18 0 32 0 32
113 5.625 0 18 0 32 0 32
114 5.675 0 18 0 32 0 32
115 5.725 0 18 0 32 0 32
116 5.775 0 18 0 32 0 32
117 5.825 0 18 0 32 0 32
118 5.875 0 18 0 32 0 32
119 5.925 0 18 0 32 0 32
120 5.975 0 18 21.817 56 0 32
121 6.025 0 18 0 56 0 32
122 6.075 0 18 0 56 0 32
123 6.125 0 18 0 56 20.8021 56
124 6.175 0 18 0 56 0 56
125 6.225 0 18 0 56 0 56
126 6.275 0 18 0 56 0 56
127 6.325 0 18 0 56 0 56
128 6.375 0 18 0 56 0 56
129 6.425 0 18 0 56 0 56
130 6.475 0 18 0 56 0 56
131 6.525 0 18 0 56 0 56
132 6.575 0 18 0 56 0 56
133 6.625 0 18 0 56 0 56
134 6.675 35.0993 42 0 56 17.5153 80
135 6.725 0 42 0 56 0 80
136 6.775 0 42 0 56 0 80
137 6.825 0 42 0 56 0 80
138 6.875 0 42 0 56 0 80
139 6.925 0 42 0 56 0 80
140 6.975 0 42 0 56 0 80
141 7.025 0 42 0 56 0 80
142 7.075 0 42 20.7471 88 0 80
143 7.125 0 42 0 88 0 80
144 7.175 0 42 0 88 0 80
145 7.225 0 42 0 88 0 80
146 7.275 0 42 0 88 0 80
147 7.325 0 42 0 88 0 80
148 7.375 0 42 0 88 0 80
149 7.425 0 42 0 88 0 80
150 7.475 0 42 0 88 0 80
151 7.525 0 42 0 88 0 80
152 7.575 0 42 0 88 0 80
153 7.625 0 42 0 88 0 80
154 7.675 0 42 0 88 0 80
155 7.725 13.1031 54 0 88 6.53874 92
156 7.775 0 54 0 88 0 92
157 7.825 0 54 0 88 0 92
158 7.875 0 54 0 88 0 92
159 7.925 0 54 0 88 0 92
160 7.975 0 54 0 88 0 92
161 8.025 0 54 0 88 0 92
162 8.075 0 54 23.89 136 0 92
163 8.125 0 54 0 136 0 92
164 8.175 0 54 0 136 14.5967 122
165 8.225 0 54 0 136 0 122
166 8.275 0 54 0 136 0 122
167 8.325 0 54 0 136 0 122
168 8.375 0 54 0 136 0 122
169 8.425 0 54 0 136 0 122
170 8.475 0 54 0 136 0 122
171 8.525 0 54 0 136 0 122
172 8.575 0 54 0 136 0 122
173 8.625 21.0225 78 0 136 10.4907 146
174 8.675 0 78 0 136 0 146
175 8.725 0 78 0 136 0 146
176 8.775 0 78 0 136 0 146
177 8.825 0 78 0 136 0 146
178 8.875 0 78 0 136 0 146
179 8.925 0 78 0 136 0 146
180 8.975 0 78 9.66949 160 0 146
181 9.025 0 78 0 160 0 146
182 9.075 0 78 0 160 9.47607 170
183 9.125 0 78 0 160 0 170
184 9.175 0 78 0 160 0 170
185 9.225 0 78 0 160 0 170
186 9.275 0 78 0 160 0 170
187 9.325 0 78 0 160 0 170
188 9.375 0 78 0 160 0 170
189 9.425 0 78 0 160 0 170
190 9.475 5.80661 86 0 160 2.89762 178
191 9.525 0 86 0 160 0 178
192 9.575 0 86 0 160 0 178
193 9.625 0 86 0 160 0 178
194 9.675 0 86 0 160 0 178
195 9.725 0 86 0 160 0 178
196 9.775 0 86 16.3031 208 0 178
197 9.825 0 86 0 208 0 178
198 9.875 0 86 0 208 8.0029 202
199 9.925 0 86 0 208 0 202
200 9.975 0 86 0 208 0 202
100 200
1 0.025 0 0 0 0 0 0
2 0.075 0 0 0 0 0 0
3 0.125 0 0 0 0 0 0
4 0.175 0 0 0 0 0 0
5 0.225 0 0 0 0 0 0
6 0.275 0 0 0 0 0 0
7 0.325 0 0 0 0 0 0
8 0.375 0 0 0 0 0 0
9 0.425 0 0 0 0 0 0
10 0.475 0 0 0 0 0 0
11 0.525 0 0 0 0 0 0
12 0.575 0 0 0 0 0 0
13 0.625 0 0 0 0 0 0
14 0.675 0 0 0 0 0 0
15 0.725 0 0 0 0 0 0
16 0.775 0 0 0 0 0 0
17 0.825 0 0 0 0 0 0
18 0.875 0 0 0 0 0 0
19 0.925 0 0 0 0 0 0
20 0.975 0 0 0 0 0 0
21 1.025 0 0 0 0 0 0
22 1.075 0 0 0 0 0 0
23 1.125 0 0 0 0 0 0
24 1.175 0 0 0 0 0 0
25 1.225 0 0 0 0 0 0
26 1.275 0 0 0 0 0 0
27 1.325 0 0 0 0 0 0
28 1.375 0 0 0 0 0 0
29 1.425 0 0 0 0 0 0
30 1.475 0 0 0 0 0 0
31 1.525 0 0 0 0 0 0
32 1.575 0 0 0 0 0 0
33 1.625 0 0 0 0 0 0
34 1.675 0 0 0 0 0 0
35 1.725 0 0 0 0 0 0
36 1.775 0 0 0 0 0 0
37 1.825 0 0 0 0 0 0
38 1.875 0 0 0 0 0 0
39 1.925 0 0 0 0 0 0
40 1.975 0 0 0.124922 0.015625 0 0
41 2.025 0 0 0.594148 0.09375 0 0
42 2.075 0 0 1.64099 0.320312 0 0
43 2.125 0 0 3.10239 0.769531 0 0
44 2.175 0 0 4.1202 1.39453 0 0
45 2.225 0 0 5.6596 2.29297 0.0246551 0.00390625
46 2.275 0 0 6.59044 3.38672 0.0471667 0.0117188
47 2.325 0 0 6.55793 4.52344 0.0903198 0.0273438
48 2.375 0 0 4.90252 5.41016 0.346228 0.0898438
49 2.425 0 0 3.83239 6.13281 0.871758 0.253906
50 2.475 0 0 3.16205 6.75391 1.05608 0.460938
51 2.525 0 0 1.89162 7.14062 1.78046 0.824219
52 2.575 0 0 1.39631 7.4375 2.92694 1.44531
53 2.625 0 0 0.707171 7.59375 2.92279 2.08984
54 2.675 0 0 0.629909 7.73828 3.41158 2.87109
55 2.725 0 0 0.393734 7.83203 3.43547 3.6875
56 2.775 0 0 0.284755 7.90234 2.66291 4.34375
57 2.825 0 0 0.106853 7.92969 2.03418 4.86328
58 2.875 0 0 0.103169 7.95703 1.35858 5.22266
59 2.925 0 0 0.0142388 7.96094 1.21267 5.55469
