Time (sec)	Position (Flex Unit) (mm)	Force (N)	Strain (%)	Stress (MPa)
0.214446	6.56133	0.266667	0.787360	0.499999
0.239655	6.56117	0.300000	0.787340	0.562499
0.264865	6.56158	0.332836	0.787389	0.624067
0.290074	6.56264	0.398833	0.787517	0.747810
0.315283	6.56481	0.509326	0.787777	0.954985
0.340492	6.56702	0.656777	0.788042	1.23146
0.365702	6.56911	0.758105	0.788293	1.42145
0.390911	6.57158	0.894921	0.788589	1.67797
0.416120	6.57385	1.05427	0.788862	1.97675
0.441330	6.57595	1.19644	0.789114	2.24332
0.466539	6.57797	1.33125	0.789356	2.49608
0.491748	6.58004	1.46595	0.789605	2.74864
0.516958	6.58229	1.60085	0.789875	3.00160
0.542167	6.58405	1.74169	0.790086	3.26567
0.567376	6.58565	1.85470	0.790278	3.47756
0.592585	6.58739	1.96002	0.790487	3.67504
0.617795	6.58919	2.10104	0.790702	3.93944
0.643004	6.59120	2.20278	0.790944	4.13020
0.668213	6.59300	2.34654	0.791160	4.39976
0.693423	6.59480	2.48440	0.791375	4.65825
0.718632	6.59661	2.59104	0.791594	4.85819
0.743841	6.59855	2.69641	0.791825	5.05577
0.769051	6.60048	2.81385	0.792058	5.27596
0.794260	6.60244	2.95642	0.792293	5.54328
0.819469	6.60423	3.08220	0.792508	5.77912
0.844678	6.60592	3.18867	0.792711	5.97874
0.869888	6.60768	3.31463	0.792922	6.21493
0.895097	6.60952	3.45302	0.793142	6.47440
0.920306	6.61156	3.58825	0.793388	6.72796
0.945516	6.61365	3.72234	0.793638	6.97939
0.970725	6.61553	3.85670	0.793863	7.23130
0.995934	6.61729	4.01644	0.794075	7.53082
1.02114	6.61880	4.14107	0.794256	7.76450
1.04635	6.62022	4.25099	0.794426	7.97059
1.07156	6.62240	4.41772	0.794688	8.28320
1.09677	6.62476	4.59423	0.794971	8.61417
1.12198	6.62673	4.74671	0.795207	8.90007
1.14719	6.62836	4.88450	0.795403	9.15843
1.17240	6.63011	5.04560	0.795613	9.46049
1.19761	6.63208	5.22978	0.795850	9.80582
1.22282	6.63393	5.38431	0.796072	10.0956
1.24803	6.63573	5.52930	0.796288	10.3674
1.27324	6.63762	5.68704	0.796514	10.6632
1.29845	6.63956	5.82539	0.796747	10.9226
1.32366	6.64144	6.01069	0.796973	11.2700
1.34886	6.64331	6.17929	0.797198	11.5861
1.37407	6.64519	6.35255	0.797423	11.9110
1.39928	6.64707	6.52879	0.797648	12.2415
1.42449	6.64891	6.66032	0.797869	12.4881
1.44970	6.65067	6.84606	0.798080	12.8363
1.47491	6.65261	7.01520	0.798313	13.1535
1.50012	6.65456	7.17682	0.798548	13.4565
1.52533	6.65648	7.34768	0.798777	13.7769
1.55054	6.65847	7.54718	0.799017	14.1509
1.57575	6.66023	7.69878	0.799228	14.4352
1.60096	6.66206	7.85265	0.799447	14.7237
1.62617	6.66387	8.02727	0.799665	15.0511
1.65138	6.66568	8.21470	0.799882	15.4025
1.67659	6.66765	8.39841	0.800118	15.7470
1.70179	6.66906	8.51177	0.800288	15.9596
1.72700	6.67085	8.66236	0.800502	16.2419
1.75221	6.67307	8.87146	0.800769	16.6340
1.77742	6.67464	9.01067	0.800957	16.8950
1.80263	6.67702	9.23249	0.801243	17.3109
1.82784	6.67921	9.41370	0.801505	17.6507
1.85305	6.68050	9.52675	0.801660	17.8626
1.87826	6.68281	9.73108	0.801937	18.2458
1.90347	6.68441	9.87910	0.802129	18.5233
1.92868	6.68588	10.0257	0.802306	18.7981
1.95389	6.68822	10.2315	0.802587	19.1840
1.97910	6.69064	10.4703	0.802877	19.6318
2.00431	6.69205	10.6043	0.803046	19.8831
2.02952	6.69359	10.7424	0.803231	20.1420
2.05472	6.69659	10.9869	0.803591	20.6004
2.07993	6.69857	11.1494	0.803829	20.9051
2.10514	6.70049	11.3554	0.804058	21.2914
2.13035	6.70213	11.5110	0.804255	21.5830
2.15556	6.70422	11.6946	0.804507	21.9273
2.18077	6.70591	11.8413	0.804710	22.2024
2.20598	6.70801	12.0508	0.804961	22.5951
2.23119	6.70988	12.2002	0.805185	22.8754
2.25640	6.71202	12.4015	0.805442	23.2528
2.28161	6.71402	12.5856	0.805683	23.5980
2.30682	6.71594	12.7735	0.805913	23.9502
2.33203	6.71774	12.9269	0.806128	24.2379
2.35724	6.71932	13.0815	0.806319	24.5278
2.38245	6.72211	13.3405	0.806653	25.0133
2.40765	6.72378	13.4775	0.806853	25.2703
2.43286	6.72544	13.6182	0.807053	25.5340
2.45807	6.72814	13.8809	0.807377	26.0267
2.48328	6.72993	14.0250	0.807592	26.2969
2.50849	6.73255	14.2705	0.807906	26.7572
2.53370	6.73396	14.4088	0.808075	27.0165
2.55891	6.73545	14.5301	0.808254	27.2440
2.58412	6.73777	14.7304	0.808533	27.6194
2.60933	6.73989	14.9275	0.808787	27.9890
2.63454	6.74262	15.1586	0.809115	28.4224
2.65975	6.74478	15.3477	0.809374	28.7770
2.68496	6.74683	15.5379	0.809620	29.1336
2.71017	6.74893	15.7255	0.809872	29.4853
2.73538	6.75102	15.9245	0.810123	29.8584
2.76059	6.75307	16.1353	0.810368	30.2536
2.78579	6.75520	16.3216	0.810624	30.6030
2.81100	6.75747	16.5091	0.810896	30.9546
2.83621	6.75960	16.6922	0.811152	31.2978
2.86142	6.76147	16.8761	0.811376	31.6426
2.88663	6.76371	17.1047	0.811646	32.0713
2.91184	6.76595	17.2965	0.811914	32.4309
2.93705	6.76812	17.4687	0.812174	32.7537
2.96226	6.77029	17.6608	0.812435	33.1139
2.98747	6.77256	17.8739	0.812707	33.5135
3.01268	6.77484	18.0651	0.812981	33.8720
3.03789	6.77704	18.2539	0.813245	34.2260
3.06310	6.77893	18.4208	0.813471	34.5389
3.08831	6.78053	18.5658	0.813663	34.8109
3.11352	6.78279	18.7691	0.813934	35.1920
3.13872	6.78569	19.0174	0.814282	35.6576
3.16393	6.78824	19.2482	0.814589	36.0904
3.18914	6.79047	19.4392	0.814856	36.4485
3.21435	6.79263	19.6127	0.815115	36.7737
3.23956	6.79475	19.8253	0.815370	37.1724
3.26477	6.79691	20.0407	0.815629	37.5763
3.28998	6.79916	20.2169	0.815899	37.9066
3.31519	6.80144	20.4044	0.816173	38.2581
3.34040	6.80370	20.6131	0.816444	38.6495
3.36561	6.80585	20.8015	0.816702	39.0027
3.39082	6.80787	20.9899	0.816944	39.3559
3.41603	6.81020	21.1784	0.817224	39.7095
3.44124	6.81248	21.3817	0.817498	40.0906
3.46645	6.81468	21.5970	0.817761	40.4943
3.49165	6.81695	21.8093	0.818034	40.8924
3.51686	6.81925	21.9989	0.818310	41.2479
3.54207	6.82133	22.1785	0.818559	41.5846
3.56728	6.82313	22.3618	0.818775	41.9283
3.59249	6.82548	22.5466	0.819058	42.2747
3.61770	6.82761	22.7280	0.819313	42.6150
3.64291	6.82987	22.9292	0.819584	42.9922
3.66812	6.83276	23.1863	0.819932	43.4743
3.69333	6.83517	23.4004	0.820220	43.8757
3.71854	6.83717	23.5873	0.820461	44.2261
3.74375	6.83939	23.7955	0.820727	44.6165
3.76896	6.84161	23.9832	0.820993	44.9685
3.79417	6.84376	24.1597	0.821252	45.2993
3.81938	6.84591	24.3732	0.821509	45.6997
3.84458	6.84806	24.5616	0.821767	46.0530
3.86979	6.85032	24.7715	0.822039	46.4465
3.89500	6.85253	24.9716	0.822304	46.8218
3.92021	6.85473	25.1603	0.822568	47.1754
3.94542	6.85702	25.3522	0.822843	47.5352
3.97063	6.85916	25.5657	0.823099	47.9355
3.99584	6.86142	25.7805	0.823370	48.3385
4.02105	6.86371	25.9799	0.823645	48.7123
4.04626	6.86595	26.1683	0.823914	49.0655
4.07147	6.86809	26.3593	0.824171	49.4236
4.09668	6.87025	26.5747	0.824430	49.8275
4.12189	6.87264	26.7662	0.824716	50.1865
4.14710	6.87501	26.9916	0.825001	50.6092
4.17231	6.87729	27.2209	0.825275	51.0392
4.19752	6.87921	27.3667	0.825506	51.3125
4.22272	6.88134	27.5528	0.825761	51.6614
4.24793	6.88361	27.7406	0.826033	52.0135
4.27314	6.88590	27.9477	0.826308	52.4019
4.29835	6.88819	28.1509	0.826583	52.7829
4.32356	6.89047	28.3443	0.826856	53.1454
4.34877	6.89276	28.5599	0.827131	53.5497
4.37398	6.89491	28.7485	0.827389	53.9034
4.39919	6.89726	28.9566	0.827671	54.2936
4.42440	6.89963	29.1727	0.827955	54.6987
4.44961	6.90188	29.3815	0.828226	55.0903
4.47482	6.90403	29.5694	0.828483	55.4425
4.50003	6.90634	29.7873	0.828761	55.8511
4.52524	6.90851	29.9799	0.829021	56.2122
4.55045	6.91080	30.1826	0.829297	56.5923
4.57565	6.91315	30.3904	0.829578	56.9818
4.60086	6.91528	30.5777	0.829834	57.3330
4.62607	6.91758	30.7936	0.830109	57.7380
4.65128	6.91987	31.0094	0.830384	58.1425
4.67649	6.92189	31.1921	0.830626	58.4850
4.70170	6.92383	31.3626	0.830859	58.8047
4.72691	6.92676	31.6233	0.831211	59.2937
4.75212	6.92919	31.8391	0.831503	59.6981
4.77733	6.93124	32.0524	0.831749	60.0982
4.80254	6.93342	32.2499	0.832010	60.4685
4.82775	6.93570	32.4378	0.832284	60.8207
4.85296	6.93796	32.6293	0.832555	61.1798
4.87817	6.94012	32.8454	0.832815	61.5851
4.90338	6.94227	33.0608	0.833073	61.9888
4.92858	6.94441	33.2494	0.833329	62.3426
4.95379	6.94627	33.4190	0.833552	62.6605
4.97900	6.94876	33.6443	0.833851	63.0830
5.00421	6.95020	33.8033	0.834024	63.3811
5.02942	6.95300	34.0289	0.834360	63.8041
5.05463	6.95471	34.1881	0.834566	64.1027
5.07984	6.95739	34.4479	0.834887	64.5896
5.10505	6.95916	34.5819	0.835100	64.8409
5.13026	6.96184	34.8341	0.835421	65.3138
5.15547	6.96376	35.0215	0.835651	65.6652
5.18068	6.96621	35.2249	0.835945	66.0466
5.20589	6.96821	35.3986	0.836185	66.3722
5.23110	6.97045	35.6003	0.836454	66.7504
5.25631	6.97327	35.8935	0.836792	67.3002
5.28151	6.97500	36.0526	0.837000	67.5986
5.30672	6.97777	36.3100	0.837332	68.0811
5.33193	6.97954	36.4708	0.837545	68.3827
5.35714	6.98229	36.7197	0.837874	68.8493
5.38235	6.98423	36.8877	0.838107	69.1644
5.40756	6.98678	37.1279	0.838414	69.6147
5.43277	6.98874	37.3042	0.838649	69.9453
5.45798	6.99122	37.5386	0.838946	70.3848
5.48319	6.99336	37.7265	0.839204	70.7370
5.50840	6.99600	37.9522	0.839520	71.1603
5.53361	6.99810	38.1715	0.839771	71.5714
5.55882	7.00033	38.3662	0.840039	71.9365
5.58403	7.00263	38.5782	0.840316	72.3340
5.60924	7.00482	38.7795	0.840578	72.7115
5.63445	7.00733	39.0045	0.840879	73.1334
5.65965	7.00931	39.2266	0.841117	73.5497
5.68486	7.01194	39.4641	0.841433	73.9950
5.71007	7.01390	39.6270	0.841669	74.3004
5.73528	7.01608	39.8366	0.841929	74.6936
5.76049	7.01834	40.0439	0.842201	75.0821
5.78570	7.02095	40.2784	0.842514	75.5218
5.81091	7.02297	40.4743	0.842757	75.8892
5.83612	7.02530	40.6971	0.843037	76.3069
5.86133	7.02773	40.9135	0.843328	76.7127
5.88654	7.02987	41.1187	0.843584	77.0975
5.91175	7.03241	41.3693	0.843889	77.5674
5.93696	7.03429	41.5454	0.844115	77.8976
5.96217	7.03680	41.7825	0.844416	78.3422
5.98738	7.03876	41.9586	0.844651	78.6723
6.01258	7.04112	42.1618	0.844934	79.0532
6.03779	7.04347	42.3641	0.845216	79.4326
6.06300	7.04576	42.5747	0.845491	79.8275
6.08821	7.04816	42.8092	0.845779	80.2671
6.11342	7.05019	43.0195	0.846023	80.6614
6.13863	7.05271	43.2465	0.846325	81.0870
6.16384	7.05483	43.4330	0.846580	81.4368
6.18905	7.05751	43.6856	0.846901	81.9104
6.21426	7.05917	43.8505	0.847101	82.2196
6.23947	7.06196	44.1120	0.847436	82.7099
