Time (sec)	Position (Flex Unit) (mm)	Force (N)	Strain (%)	Stress (MPa)
0.178616	6.55367	0.700000	0.786440	1.31250
0.208509	6.55411	0.717710	0.786493	1.34570
0.238402	6.55555	0.733333	0.786665	1.37500
0.268295	6.55782	0.747750	0.786938	1.40203
0.298188	6.56050	0.766667	0.787260	1.43750
0.328081	6.56343	0.778221	0.787612	1.45916
0.357974	6.56636	0.810130	0.787963	1.51899
0.387867	6.56909	0.833333	0.788291	1.56250
0.417760	6.57185	0.840919	0.788622	1.57672
0.447654	6.57469	0.872535	0.788963	1.63600
0.477547	6.57752	0.900000	0.789302	1.68750
0.507440	6.58020	0.910874	0.789624	1.70789
0.537333	6.58307	0.945613	0.789968	1.77302
0.567226	6.58566	0.946184	0.790280	1.77409
0.597119	6.58837	0.962100	0.790604	1.80394
0.627012	6.59132	1.00000	0.790958	1.87500
0.656905	6.59407	1.00000	0.791289	1.87500
0.686798	6.59694	1.02302	0.791633	1.91815
0.716692	6.59955	1.06471	0.791946	1.99633
0.746585	6.60231	1.10000	0.792277	2.06250
0.776478	6.60505	1.10000	0.792606	2.06250
0.806371	6.60776	1.12450	0.792931	2.10844
0.836264	6.61066	1.16658	0.793279	2.18734
0.866157	6.61352	1.16667	0.793622	2.18750
0.896050	6.61612	1.16667	0.793934	2.18750
0.925943	6.61902	1.19308	0.794282	2.23702
0.955836	6.62174	1.23333	0.794608	2.31250
0.985730	6.62462	1.23990	0.794955	2.32482
1.01562	6.62735	1.26667	0.795281	2.37500
1.04552	6.63056	1.26667	0.795667	2.37500
1.07541	6.63308	1.29861	0.795970	2.43489
1.10530	6.63594	1.33081	0.796313	2.49526
1.13520	6.63882	1.33333	0.796658	2.50000
1.16509	6.64154	1.33333	0.796985	2.50000
1.19498	6.64429	1.38732	0.797315	2.60123
1.22487	6.64704	1.40000	0.797644	2.62500
1.25477	6.64985	1.42429	0.797982	2.67054
1.28466	6.65282	1.43333	0.798339	2.68750
1.31455	6.65560	1.45418	0.798673	2.72657
1.34445	6.65820	1.48584	0.798984	2.78595
1.37434	6.66085	1.48221	0.799301	2.77915
1.40423	6.66361	1.48270	0.799633	2.78007
1.43413	6.66636	1.51407	0.799963	2.83887
1.46402	6.66906	1.54577	0.800287	2.89832
1.49391	6.67177	1.56667	0.800612	2.93750
1.52381	6.67427	1.56667	0.800913	2.93750
1.55370	6.67732	1.58789	0.801278	2.97729
1.58359	6.68000	1.62121	0.801600	3.03977
1.61348	6.68277	1.63333	0.801933	3.06250
1.64338	6.68529	1.63866	0.802234	3.07249
1.67327	6.68792	1.66936	0.802551	3.13005
1.70316	6.69091	1.70000	0.802909	3.18750
1.73306	6.69330	1.71722	0.803196	3.21978
1.76295	6.69626	1.73333	0.803552	3.25000
1.79284	6.69916	1.74696	0.803899	3.27554
1.82274	6.70187	1.77888	0.804225	3.33540
1.85263	6.70463	1.80000	0.804556	3.37499
1.88252	6.70744	1.80000	0.804893	3.37499
1.91242	6.71013	1.80745	0.805216	3.38896
1.94231	6.71279	1.84101	0.805535	3.45190
1.97220	6.71528	1.85210	0.805834	3.47268
2.00210	6.71760	1.86667	0.806112	3.49999
2.03199	6.71957	1.88307	0.806349	3.53075
2.06188	6.72291	1.90000	0.806749	3.56249
2.09177	6.72633	1.94125	0.807160	3.63983
2.12167	6.72950	1.96667	0.807540	3.68749
2.15156	6.73210	1.96667	0.807852	3.68749
2.18145	6.73512	1.96982	0.808214	3.69341
2.21135	6.73798	2.00172	0.808558	3.75323
2.24124	6.74068	2.03367	0.808881	3.81313
2.27113	6.74311	2.06667	0.809174	3.87499
2.30103	6.74558	2.06667	0.809470	3.87499
2.33092	6.74862	2.06667	0.809834	3.87499
2.36081	6.75163	2.09431	0.810195	3.92682
2.39071	6.75416	2.13333	0.810499	3.99999
2.42060	6.75687	2.13333	0.810824	3.99999
2.45049	6.75960	2.15715	0.811152	4.04465
2.48039	6.76259	2.18865	0.811511	4.10371
2.51028	6.76495	2.20000	0.811795	4.12499
2.54017	6.76624	2.20000	0.811949	4.12499
2.57006	6.76907	2.20107	0.812288	4.12701
2.59996	6.77278	2.23333	0.812733	4.18749
2.62985	6.77537	2.26667	0.813045	4.24999
2.65974	6.77854	2.26667	0.813425	4.24999
2.68964	6.78129	2.29456	0.813754	4.30229
2.71953	6.78435	2.30000	0.814122	4.31249
2.74942	6.78665	2.33333	0.814398	4.37499
2.77932	6.78946	2.33333	0.814735	4.37499
2.80921	6.79203	2.38002	0.815044	4.46254
2.83910	6.79505	2.40000	0.815406	4.49999
2.86900	6.79746	2.43333	0.815695	4.56249
2.89889	6.80051	2.43611	0.816062	4.56769
2.92878	6.80378	2.46667	0.816454	4.62499
2.95867	6.80613	2.46667	0.816736	4.62499
2.98857	6.80875	2.48253	0.817050	4.65473
3.01846	6.81217	2.50000	0.817460	4.68749
3.04835	6.81479	2.53333	0.817775	4.74999
3.07825	6.81752	2.53333	0.818103	4.74999
3.10814	6.81992	2.53333	0.818390	4.74999
3.13803	6.82256	2.53995	0.818708	4.76239
3.16793	6.82514	2.57337	0.819016	4.82505
3.19782	6.82888	2.61977	0.819465	4.91206
3.22771	6.83134	2.63333	0.819761	4.93749
3.25761	6.83361	2.63333	0.820033	4.93749
3.28750	6.83680	2.66667	0.820417	4.99999
3.31739	6.83900	2.67149	0.820680	5.00904
3.34729	6.84235	2.70514	0.821082	5.07213
3.37718	6.84479	2.73546	0.821374	5.12898
3.40707	6.84831	2.76156	0.821797	5.17793
3.43696	6.85069	2.76667	0.822083	5.18749
3.46686	6.85339	2.76667	0.822407	5.18749
3.49675	6.85605	2.78948	0.822726	5.23027
