1	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0129	-0.2071	-0.1036	-0.2071
	0.0200	0.0002	0.0129	-0.2071	-0.1035	-0.2071
	0.0400	0.0008	0.0141	-0.2070	-0.1035	-0.2070
	0.0600	0.0017	0.0179	-0.2068	-0.1034	-0.2068
	0.0800	0.0029	0.0239	-0.2065	-0.1032	-0.2065
	0.1000	0.0047	0.0319	-0.2060	-0.1030	-0.2060
	0.1200	0.0064	0.0424	-0.2055	-0.1027	-0.2055
	0.1400	0.0079	0.0527	-0.2050	-0.1025	-0.2050
	0.1600	0.0094	0.0622	-0.2046	-0.1023	-0.2046
	0.1800	0.0110	0.0717	-0.2041	-0.1021	-0.2041
	0.2000	0.0126	0.0816	-0.2037	-0.1018	-0.2037
	0.2200	0.0143	0.0918	-0.2032	-0.1016	-0.2032
	0.2400	0.0160	0.1024	-0.2026	-0.1013	-0.2026
	0.2600	0.0178	0.1135	-0.2021	-0.1010	-0.2021
	0.2800	0.0196	0.1254	-0.2015	-0.1008	-0.2015
	0.3000	0.0212	0.1373	-0.2009	-0.1005	-0.2009
	0.3200	0.0228	0.1488	-0.2004	-0.1002	-0.2004
	0.3400	0.0244	0.1605	-0.1998	-0.0999	-0.1998
	0.3600	0.0261	0.1723	-0.1992	-0.0996	-0.1992
	0.3800	0.0278	0.1847	-0.1986	-0.0993	-0.1986
	0.4000	0.0295	0.1978	-0.1979	-0.0990	-0.1979
	0.4200	0.0311	0.2106	-0.1972	-0.0986	-0.1972
	0.4400	0.0328	0.2234	-0.1965	-0.0983	-0.1965
	0.4600	0.0346	0.2370	-0.1958	-0.0979	-0.1958
	0.4800	0.0362	0.2507	-0.1951	-0.0976	-0.1951
	0.5000	0.0380	0.2646	-0.1944	-0.0972	-0.1944
	0.5200	0.0396	0.2785	-0.1936	-0.0968	-0.1936
	0.5400	0.0412	0.2923	-0.1929	-0.0964	-0.1929
	0.5600	0.0428	0.3059	-0.1922	-0.0961	-0.1922
	0.5800	0.0443	0.3190	-0.1914	-0.0957	-0.1914
	0.6000	0.0460	0.3319	-0.1907	-0.0954	-0.1907
	0.6200	0.0479	0.3460	-0.1900	-0.0950	-0.1900
	0.6400	0.0496	0.3612	-0.1892	-0.0946	-0.1892
	0.6600	0.0513	0.3759	-0.1883	-0.0942	-0.1883
	0.6800	0.0529	0.3904	-0.1875	-0.0938	-0.1875
	0.7000	0.0545	0.4042	-0.1868	-0.0934	-0.1868
	0.7200	0.0561	0.4176	-0.1861	-0.0930	-0.1861
	0.7400	0.0576	0.4311	-0.1853	-0.0927	-0.1853
	0.7600	0.0593	0.4447	-0.1846	-0.0923	-0.1846
	0.7800	0.0613	0.4592	-0.1837	-0.0919	-0.1837
	0.8000	0.0630	0.4751	-0.1829	-0.0914	-0.1829
	0.8200	0.0646	0.4903	-0.1821	-0.0910	-0.1821
	0.8400	0.0662	0.5045	-0.1813	-0.0906	-0.1813
	0.8600	0.0678	0.5184	-0.1805	-0.0903	-0.1805
	0.8800	0.0694	0.5321	-0.1797	-0.0899	-0.1797
	0.9000	0.0712	0.5464	-0.1789	-0.0895	-0.1789
	0.9200	0.0729	0.5611	-0.1781	-0.0890	-0.1781
	0.9400	0.0748	0.5763	-0.1773	-0.0886	-0.1773
	0.9600	0.0765	0.5921	-0.1764	-0.0882	-0.1764
	0.9800	0.0780	0.6072	-0.1755	-0.0878	-0.1755
	1.0000	0.0797	0.6210	-0.1747	-0.0874	-0.1747
	1.0200	0.0812	0.6347	-0.1740	-0.0870	-0.1740
	1.0400	0.0828	0.6483	-0.1732	-0.0866	-0.1732
	1.0600	0.0846	0.6621	-0.1725	-0.0862	-0.1725
	1.0800	0.0861	0.6764	-0.1716	-0.0858	-0.1716
	1.1000	0.0877	0.6903	-0.1709	-0.0854	-0.1709
	1.1200	0.0895	0.7045	-0.1701	-0.0850	-0.1701
	1.1400	0.0911	0.7192	-0.1692	-0.0846	-0.1692
	1.1600	0.0928	0.7335	-0.1684	-0.0842	-0.1684
	1.1800	0.0944	0.7477	-0.1676	-0.0838	-0.1676
	1.2000	0.0961	0.7619	-0.1668	-0.0834	-0.1668
	1.2200	0.0978	0.7761	-0.1660	-0.0830	-0.1660
	1.2400	0.0994	0.7904	-0.1652	-0.0826	-0.1652
	1.2600	0.1009	0.8042	-0.1644	-0.0822	-0.1644
	1.2800	0.1027	0.8180	-0.1637	-0.0818	-0.1637
	1.3000	0.1046	0.8331	-0.1628	-0.0814	-0.1628
	1.3200	0.1062	0.8484	-0.1619	-0.0810	-0.1619
	1.3400	0.1078	0.8628	-0.1611	-0.0806	-0.1611
	1.3600	0.1094	0.8768	-0.1603	-0.0802	-0.1603
	1.3800	0.1110	0.8904	-0.1595	-0.0798	-0.1595
	1.4000	0.1127	0.9043	-0.1588	-0.0794	-0.1588
	1.4200	0.1143	0.9183	-0.1580	-0.0790	-0.1580
	1.4400	0.1161	0.9322	-0.1572	-0.0786	-0.1572
	1.4600	0.1179	0.9472	-0.1563	-0.0782	-0.1563
	1.4800	0.1195	0.9625	-0.1555	-0.0777	-0.1555
	1.5000	0.1212	0.9768	-0.1546	-0.0773	-0.1546
	1.5200	0.1228	0.9906	-0.1538	-0.0769	-0.1538
	1.5400	0.1244	1.0039	-0.1531	-0.0765	-0.1531
	1.5600	0.1261	1.0175	-0.1523	-0.0761	-0.1523
	1.5800	0.1278	1.0316	-0.1515	-0.0757	-0.1515
	1.6000	0.1295	1.0459	-0.1507	-0.0753	-0.1507
	1.6200	0.1313	1.0606	-0.1498	-0.0749	-0.1498
	1.6400	0.1329	1.0756	-0.1490	-0.0745	-0.1490
	1.6600	0.1345	1.0895	-0.1482	-0.0741	-0.1482
	1.6800	0.1362	1.1031	-0.1474	-0.0737	-0.1474
	1.7000	0.1378	1.1168	-0.1467	-0.0733	-0.1467
	1.7200	0.1395	1.1307	-0.1458	-0.0729	-0.1458
	1.7400	0.1413	1.1452	-0.1450	-0.0725	-0.1450
	1.7600	0.1428	1.1594	-0.1442	-0.0721	-0.1442
	1.7800	0.1445	1.1730	-0.1434	-0.0717	-0.1434
	1.8000	0.1463	1.1869	-0.1426	-0.0713	-0.1426
	1.8200	0.1479	1.2014	-0.1418	-0.0709	-0.1418
	1.8400	0.1496	1.2153	-0.1410	-0.0705	-0.1410
	1.8600	0.1512	1.2294	-0.1402	-0.0701	-0.1402
	1.8800	0.1529	1.2435	-0.1394	-0.0697	-0.1394
	1.9000	0.1546	1.2576	-0.1386	-0.0693	-0.1386
	1.9200	0.1561	1.2715	-0.1378	-0.0689	-0.1378
	1.9400	0.1578	1.2847	-0.1370	-0.0685	-0.1370
	1.9600	0.1596	1.2983	-0.1362	-0.0681	-0.1362
	1.9800	0.1614	1.3134	-0.1354	-0.0677	-0.1354
	2.0000	0.1631	1.3281	-0.1346	-0.0673	-0.1346
	2.0200	0.1647	1.3422	-0.1338	-0.0669	-0.1338
	2.0400	0.1663	1.3559	-0.1330	-0.0665	-0.1330
	2.0600	0.1679	1.3690	-0.1322	-0.0661	-0.1322
	2.0800	0.1694	1.3820	-0.1315	-0.0657	-0.1315
	2.1000	0.1710	1.3948	-0.1307	-0.0654	-0.1307
	2.1200	0.1728	1.4079	-0.1300	-0.0650	-0.1300
	2.1400	0.1746	1.4225	-0.1291	-0.0646	-0.1291
	2.1600	0.1762	1.4370	-0.1283	-0.0642	-0.1283
	2.1800	0.1778	1.4507	-0.1276	-0.0638	-0.1276
	2.2000	0.1794	1.4641	-0.1268	-0.0634	-0.1268
	2.2200	0.1810	1.4771	-0.1260	-0.0630	-0.1260
	2.2400	0.1827	1.4903	-0.1253	-0.0626	-0.1253
	2.2600	0.1843	1.5039	-0.1245	-0.0622	-0.1245
	2.2800	0.1861	1.5176	-0.1237	-0.0619	-0.1237
	2.3000	0.1879	1.5320	-0.1229	-0.0614	-0.1229
	2.3200	0.1895	1.5468	-0.1221	-0.0610	-0.1221
	2.3400	0.1911	1.5603	-0.1213	-0.0606	-0.1213
	2.3600	0.1928	1.5733	-0.1205	-0.0603	-0.1205
	2.3800	0.1944	1.5864	-0.1198	-0.0599	-0.1198
	2.4000	0.1961	1.5995	-0.1190	-0.0595	-0.1190
	2.4200	0.1978	1.6132	-0.1183	-0.0591	-0.1183
	2.4400	0.1994	1.6268	-0.1175	-0.0587	-0.1175
	2.4600	0.2011	1.6402	-0.1167	-0.0583	-0.1167
	2.4800	0.2029	1.6543	-0.1159	-0.0579	-0.1159
	2.5000	0.2045	1.6683	-0.1151	-0.0575	-0.1151
	2.5200	0.2062	1.6818	-0.1143	-0.0571	-0.1143
	2.5400	0.2078	1.6953	-0.1136	-0.0568	-0.1136
	2.5600	0.2094	1.7082	-0.1128	-0.0564	-0.1128
	2.5800	0.2111	1.7213	-0.1120	-0.0560	-0.1120
	2.6000	0.2126	1.7345	-0.1113	-0.0556	-0.1113
	2.6200	0.2143	1.7471	-0.1106	-0.0553	-0.1106
	2.6400	0.2162	1.7607	-0.1098	-0.0549	-0.1098
	2.6600	0.2179	1.7754	-0.1089	-0.0545	-0.1089
	2.6800	0.2195	1.7892	-0.1081	-0.0541	-0.1081
	2.7000	0.2211	1.8024	-0.1074	-0.0537	-0.1074
	2.7200	0.2227	1.8151	-0.1066	-0.0533	-0.1066
	2.7400	0.2244	1.8276	-0.1059	-0.0530	-0.1059
	2.7600	0.2260	1.8406	-0.1052	-0.0526	-0.1052
	2.7800	0.2276	1.8535	-0.1044	-0.0522	-0.1044
	2.8000	0.2296	1.8669	-0.1037	-0.0518	-0.1037
	2.8200	0.2313	1.8816	-0.1028	-0.0514	-0.1028
	2.8400	0.2329	1.8956	-0.1020	-0.0510	-0.1020
	2.8600	0.2345	1.9085	-0.1013	-0.0506	-0.1013
	2.8800	0.2361	1.9211	-0.1006	-0.0503	-0.1006
	2.9000	0.2378	1.9335	-0.0998	-0.0499	-0.0998
	2.9200	0.2395	1.9465	-0.0991	-0.0496	-0.0991
	2.9400	0.2412	1.9601	-0.0983	-0.0492	-0.0983
	2.9600	0.2430	1.9736	-0.0976	-0.0488	-0.0976
	2.9800	0.2448	1.9878	-0.0967	-0.0484	-0.0967
	3.0000	0.2463	2.0012	-0.0960	-0.0480	-0.0960
	3.0200	0.2479	2.0136	-0.0952	-0.0476	-0.0952
	3.0400	0.2496	2.0259	-0.0946	-0.0473	-0.0946
	3.0600	0.2512	2.0385	-0.0938	-0.0469	-0.0938
	3.0800	0.2529	2.0512	-0.0931	-0.0466	-0.0931
	3.1000	0.2545	2.0643	-0.0923	-0.0462	-0.0923
	3.1200	0.2561	2.0768	-0.0916	-0.0458	-0.0916
	3.1400	0.2578	2.0893	-0.0909	-0.0454	-0.0909
