2	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	-0.0016	0.0164	-0.0061	-0.0030	-0.0061
	0.0200	-0.0013	0.0165	-0.0061	-0.0030	-0.0061
	0.0400	-0.0008	0.0181	-0.0060	-0.0030	-0.0060
	0.0600	0.0001	0.0225	-0.0058	-0.0029	-0.0058
	0.0800	0.0013	0.0297	-0.0055	-0.0028	-0.0055
	0.1000	0.0030	0.0392	-0.0052	-0.0026	-0.0052
	0.1200	0.0047	0.0509	-0.0048	-0.0024	-0.0048
	0.1400	0.0063	0.0635	-0.0043	-0.0022	-0.0043
	0.1600	0.0078	0.0758	-0.0039	-0.0020	-0.0039
	0.1800	0.0095	0.0877	-0.0035	-0.0017	-0.0035
	0.2000	0.0112	0.1002	-0.0030	-0.0015	-0.0030
	0.2200	0.0128	0.1134	-0.0025	-0.0012	-0.0025
	0.2400	0.0146	0.1266	-0.0020	-0.0010	-0.0020
	0.2600	0.0163	0.1402	-0.0015	-0.0007	-0.0015
	0.2800	0.0179	0.1541	-0.0009	-0.0005	-0.0009
	0.3000	0.0196	0.1680	-0.0004	-0.0002	-0.0004
	0.3200	0.0211	0.1819	0.0001	0.0001	0.0001
	0.3400	0.0227	0.1952	0.0006	0.0003	0.0006
	0.3600	0.0246	0.2097	0.0012	0.0006	0.0012
	0.3800	0.0264	0.2260	0.0017	0.0009	0.0017
	0.4000	0.0281	0.2424	0.0024	0.0012	0.0024
	0.4200	0.0297	0.2587	0.0030	0.0015	0.0030
	0.4400	0.0313	0.2748	0.0035	0.0018	0.0035
	0.4600	0.0329	0.2905	0.0041	0.0020	0.0041
	0.4800	0.0345	0.3064	0.0047	0.0023	0.0047
	0.5000	0.0361	0.3223	0.0053	0.0026	0.0053
	0.5200	0.0380	0.3388	0.0059	0.0029	0.0059
	0.5400	0.0398	0.3571	0.0065	0.0033	0.0065
	0.5600	0.0414	0.3755	0.0072	0.0036	0.0072
	0.5800	0.0430	0.3926	0.0079	0.0039	0.0079
	0.6000	0.0445	0.4091	0.0085	0.0042	0.0085
	0.6200	0.0461	0.4254	0.0091	0.0045	0.0091
	0.6400	0.0478	0.4422	0.0097	0.0048	0.0097
	0.6600	0.0495	0.4598	0.0103	0.0052	0.0103
	0.6800	0.0513	0.4776	0.0110	0.0055	0.0110
	0.7000	0.0531	0.4965	0.0117	0.0059	0.0117
	0.7200	0.0547	0.5155	0.0124	0.0062	0.0124
	0.7400	0.0563	0.5328	0.0130	0.0065	0.0130
	0.7600	0.0579	0.5498	0.0137	0.0068	0.0137
	0.7800	0.0595	0.5666	0.0142	0.0071	0.0142
	0.8000	0.0612	0.5832	0.0149	0.0074	0.0149
	0.8200	0.0628	0.6003	0.0155	0.0078	0.0155
	0.8400	0.0644	0.6174	0.0161	0.0081	0.0161
	0.8600	0.0661	0.6342	0.0168	0.0084	0.0168
	0.8800	0.0678	0.6518	0.0174	0.0087	0.0174
	0.9000	0.0694	0.6694	0.0181	0.0090	0.0181
	0.9200	0.0711	0.6865	0.0187	0.0094	0.0187
	0.9400	0.0727	0.7038	0.0194	0.0097	0.0194
	0.9600	0.0744	0.7209	0.0200	0.0100	0.0200
	0.9800	0.0761	0.7382	0.0207	0.0103	0.0207
	1.0000	0.0776	0.7553	0.0213	0.0106	0.0213
	1.0200	0.0793	0.7717	0.0219	0.0109	0.0219
	1.0400	0.0812	0.7894	0.0225	0.0113	0.0225
	1.0600	0.0828	0.8082	0.0232	0.0116	0.0232
	1.0800	0.0845	0.8262	0.0239	0.0119	0.0239
	1.1000	0.0861	0.8434	0.0245	0.0123	0.0245
	1.1200	0.0877	0.8601	0.0251	0.0126	0.0251
	1.1400	0.0893	0.8765	0.0258	0.0129	0.0258
	1.1600	0.0909	0.8933	0.0264	0.0132	0.0264
	1.1800	0.0926	0.9100	0.0270	0.0135	0.0270
	1.2000	0.0945	0.9277	0.0277	0.0139	0.0277
	1.2200	0.0962	0.9468	0.0284	0.0142	0.0284
	1.2400	0.0978	0.9649	0.0291	0.0145	0.0291
	1.2600	0.0995	0.9819	0.0297	0.0148	0.0297
	1.2800	0.1010	0.9986	0.0303	0.0151	0.0303
	1.3000	0.1026	1.0149	0.0309	0.0154	0.0309
	1.3200	0.1044	1.0318	0.0315	0.0158	0.0315
	1.3400	0.1060	1.0493	0.0322	0.0161	0.0322
	1.3600	0.1078	1.0668	0.0328	0.0164	0.0328
	1.3800	0.1096	1.0852	0.0335	0.0167	0.0335
	1.4000	0.1111	1.1031	0.0342	0.0171	0.0342
	1.4200	0.1128	1.1194	0.0348	0.0174	0.0348
	1.4400	0.1144	1.1361	0.0354	0.0177	0.0354
	1.4600	0.1161	1.1529	0.0360	0.0180	0.0360
	1.4800	0.1178	1.1701	0.0367	0.0183	0.0367
	1.5000	0.1194	1.1876	0.0373	0.0187	0.0373
	1.5200	0.1210	1.2043	0.0379	0.0190	0.0379
	1.5400	0.1228	1.2209	0.0385	0.0193	0.0385
	1.5600	0.1245	1.2385	0.0392	0.0196	0.0392
	1.5800	0.1261	1.2557	0.0398	0.0199	0.0398
	1.6000	0.1279	1.2726	0.0404	0.0202	0.0404
	1.6200	0.1295	1.2897	0.0411	0.0205	0.0411
	1.6400	0.1312	1.3065	0.0417	0.0209	0.0417
	1.6600	0.1328	1.3233	0.0423	0.0212	0.0423
	1.6800	0.1344	1.3394	0.0429	0.0215	0.0429
	1.7000	0.1362	1.3554	0.0435	0.0218	0.0435
	1.7200	0.1380	1.3730	0.0442	0.0221	0.0442
	1.7400	0.1397	1.3910	0.0449	0.0224	0.0449
	1.7600	0.1414	1.4081	0.0455	0.0227	0.0455
	1.7800	0.1429	1.4245	0.0461	0.0230	0.0461
	1.8000	0.1445	1.4399	0.0466	0.0233	0.0466
	1.8200	0.1461	1.4553	0.0472	0.0236	0.0472
