True Plastic Strain (-)	 True Stress (MPa)
0.0	275.625
0.001	280.3506906802000
0.002	284.99420415101500
0.003	289.556969429745
0.004	294.04039068385200
0.005	298.44584766308500
0.006	302.7746961240880
0.007	307.02826824763
0.008	311.2078730485750
0.009000000000000000	315.3147967787270
0.01	319.35030332266300
0.011	323.3156345866920
0.012	327.2120108810410
0.013000000000000000	331.04063129540200
0.014	334.80267406794500
0.015	338.4992969479140
0.016	342.1316375519190
0.017	345.70081371403000
0.018000000000000000	349.20792382978800
0.019	352.65404719422700
0.02	356.04024433402400
0.021	359.36755733387100
0.022	362.63701015716600
0.023	365.84960896114100
0.024	369.0063424064930
0.025	372.1081819616470
0.026000000000000000	375.1560822017130
0.027	378.15098110225700
0.028	381.0938003279570
0.029	383.9854455162390
0.03	386.826806555983
0.031	389.6187578613830
0.032	392.3621586410400
0.033	395.0578531623840
0.034	397.70667101148800
0.035	400.30942734837300
0.036000000000000000	402.86692315786600
0.037	405.37994549610100
0.038	407.84926773273100
0.039	410.2756497889280
0.04	412.6598383712440
0.041	415.0025672014080
0.042	417.3045572421270
0.043000000000000000	419.5665169189500
0.044	421.78914233829400
0.045	423.9731175016590
0.046	426.1191145161260
0.047	428.22779380120000
0.048	430.29980429204600
0.049	432.33578363919800
0.05	434.3363584047890
0.051000000000000000	436.3021442553770
0.052000000000000000	438.23374615141000
0.053	440.13175853340100
0.054	441.996765504864
0.055	443.8293410120670
0.056	445.63004902066100
0.057	447.3994436892430
0.058	449.1380695398880
0.059000000000000000	450.846461625727
0.06	452.5251456956050
0.061	454.1746383558810
0.062	455.79544722940500
0.063	457.3880711117420
0.064	458.9530001246700
0.065	460.49071586701600
0.066	462.00169156286200
0.067	463.4863922071790
0.068	464.9452747089250
0.069	466.378788031661
0.07	467.7873733317110
0.07100000000000000	469.1714640939320
0.07200000000000000	470.53148626510900
0.073	471.8678583850470
0.074	473.1809917153660
0.075	474.471290366072
0.076	475.739151419913
0.077	476.9849650545840
0.078	478.2091146628010
0.079	479.4119769702860
0.08	480.59392215170500
0.081	481.7553139445870
0.082	482.8965097612620
0.083	484.01786079885000
0.084	485.11971214734600
0.085	486.20240289581500
0.08600000000000000	487.26626623674500
0.08700000000000000	488.311629568588
0.088	489.3388145965140
0.089	490.3481374314120
0.09	491.3399086871750
0.091	492.31443357628700
0.092	493.27201200375400
