2	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0092	0.0094	0.0047	0.0094
	0.0200	0.0002	0.0092	0.0094	0.0047	0.0094
	0.0400	0.0008	0.0103	0.0094	0.0047	0.0094
	0.0600	0.0017	0.0129	0.0095	0.0048	0.0095
	0.0800	0.0028	0.0161	0.0097	0.0049	0.0097
	0.1000	0.0044	0.0210	0.0099	0.0050	0.0099
	0.1200	0.0063	0.0287	0.0103	0.0052	0.0103
	0.1400	0.0080	0.0379	0.0109	0.0055	0.0109
	0.1600	0.0095	0.0471	0.0115	0.0058	0.0115
	0.1800	0.0111	0.0556	0.0121	0.0061	0.0121
	0.2000	0.0126	0.0636	0.0126	0.0063	0.0126
	0.2200	0.0143	0.0714	0.0132	0.0066	0.0132
	0.2400	0.0160	0.0793	0.0137	0.0068	0.0137
	0.2600	0.0176	0.0880	0.0142	0.0071	0.0142
	0.2800	0.0194	0.0973	0.0148	0.0074	0.0148
	0.3000	0.0212	0.1074	0.0154	0.0077	0.0154
	0.3200	0.0228	0.1183	0.0161	0.0080	0.0161
	0.3400	0.0244	0.1288	0.0167	0.0084	0.0167
	0.3600	0.0260	0.1391	0.0173	0.0087	0.0173
	0.3800	0.0276	0.1497	0.0180	0.0090	0.0180
	0.4000	0.0294	0.1606	0.0186	0.0093	0.0186
	0.4200	0.0310	0.1717	0.0192	0.0096	0.0192
	0.4400	0.0326	0.1824	0.0199	0.0099	0.0199
	0.4600	0.0343	0.1932	0.0205	0.0102	0.0205
	0.4800	0.0361	0.2047	0.0212	0.0106	0.0212
	0.5000	0.0377	0.2164	0.0218	0.0109	0.0218
	0.5200	0.0395	0.2281	0.0225	0.0113	0.0225
	0.5400	0.0411	0.2398	0.0232	0.0116	0.0232
	0.5600	0.0427	0.2512	0.0239	0.0119	0.0239
	0.5800	0.0443	0.2623	0.0245	0.0123	0.0245
	0.6000	0.0458	0.2733	0.0252	0.0126	0.0252
	0.6200	0.0475	0.2842	0.0259	0.0129	0.0259
