True Plastic Strain (-)	 True Stress (MPa)
0.0	249.0625
0.001	251.9700518390820
0.002	254.83051398648300
0.003	257.64464909036400
0.004	260.4132074473030
0.005	263.1369272023390
0.006	265.81653454576800
0.007	268.4527439067680
0.008	271.0462581438670
0.009000000000000000	273.5977687323460
0.01	276.1079559485920
0.011	278.5774890514750
0.012	281.0070264607830
0.013000000000000000	283.397215932767
0.014	285.74869473284400
0.015	288.06208980550400
0.016	290.3380179414650
0.017	292.5770859421150
0.018000000000000000	294.7798907813010
0.019	296.94701976449300
0.02	299.07905068536300
0.021	301.1765519798410
0.022	303.24008287766800
0.023	305.2701935514960
0.024	307.26742526357200
0.025	309.2323105100500
0.026000000000000000	311.1653731629630
0.027	313.06712860989500
0.028	314.9380838913940
0.029	316.77873783615700
0.03	318.58958119402600
0.031	320.3710967668280
0.032	322.12375953710500
0.033	323.8480367947430
0.034	325.5443882615700
0.035	327.21326621391500
0.036000000000000000	328.8551156032020
0.037	330.47037417457400
0.038	332.05947258361100
0.039	333.6228345111430
0.04	335.1608767762140
0.041	336.67400944721300
0.042	338.1626359512050
0.043000000000000000	339.6271531814920
0.044	341.0679516034300
0.045	342.48541535853600
0.046	343.87992236690300
0.047	345.2518444279670
0.048	346.60154731962500
0.049	347.92939089576800
0.05	349.23572918221700
0.051000000000000000	350.5209104711140
0.052000000000000000	351.78527741378500
0.053	353.02916711209500
0.054	354.2529112083250
0.055	355.4568359735930
0.056	356.6412623948440
0.057	357.8065062604330
0.058	358.9528782443150
0.059000000000000000	360.08068398888000
0.06	361.190224186439
0.061	362.2817946593980
0.062	363.3556864391240
0.063	364.41218584354500
0.064	365.45157455348100
0.065	366.47412968775200
0.066	367.4801238770540
0.067	368.469825336654
0.068	369.4434979379000
0.069	370.40140127856800
0.07	371.3437907520840
0.07100000000000000	372.27091761560800
0.07200000000000000	373.1830290570280
0.073	374.08036826086400
0.074	374.96317447310400
0.075	375.8316830649930
0.076	376.6861255957830
0.077	377.5267298744770
0.078	378.3537200205600
0.079	379.1673165237580
0.08	379.9677363028220
0.081	380.7551927633640
0.082	381.5298958547510
0.083	382.29205212608600
0.084	383.04186478127400
0.085	383.7795337332010
0.08600000000000000	384.50525565703200
0.08700000000000000	385.2192240426530
0.088	385.92162924625400
0.089	386.6126585410830
0.09	387.29249616737500
0.091	387.9613233814750
0.092	388.6193185041660
0.093	389.2666569682080
0.094	389.9035113651120
0.095	390.53005149116100
0.096	391.14644439267400
0.097	391.75285441054700
0.098	392.3494432240680
0.099	392.9363698940260
0.1	393.51379090511400
0.101	394.0818602076550
0.10200000000000000	394.6407292586490
0.10300000000000000	395.19054706214600
0.10400000000000000	395.7314602089850
0.105	396.26361291586500
0.106	396.7871470638060
0.107	397.30220223597100
0.108	397.8089157548830
0.109	398.30742271903800
0.11	398.7978560389250
0.111	399.28034647245800
0.112	399.7550226598450
0.113	400.22201115788
0.114	400.68143647368900
0.115	401.1334210979240
0.116	401.5780855374190
0.117	402.01554834732600
0.11800000000000000	402.44592616271400
0.11900000000000000	402.8693337296750
0.12	403.2858839359130
0.121	403.6956878408400
0.122	404.0988547051920
0.123	404.49549202015300
0.124	404.88570553602000
0.125	405.26959929039400
0.126	405.64727563591900
0.127	406.01883526757300
0.128	406.38437724951200
0.129	406.7439990414840
0.13	407.0977965248130
0.131	407.44586402796300
0.132	407.78829435168800
0.133	408.1251787937700
0.134	408.4566071733690
0.135	408.7826678549610
0.136	409.10344777190500
0.137	409.4190324496160
0.138	409.7295060283700
0.139	410.0349512857360
0.14	410.3354496586470
0.14100000000000000	410.63108126511200
0.14200000000000000	410.921924925576
0.14300000000000000	411.2080581839370
0.14400000000000000	411.48955732821800
0.145	411.76649741090800
0.146	412.0389522689730
0.147	412.3069945435400
0.148	412.57069569926700
0.149	412.8301260433960
0.15	413.08535474449400
0.151	413.33644985090300
0.152	413.58347830887500
0.153	413.8265059804230
0.154	414.06559766088400
0.155	414.30081709619300
0.156	414.53222699987500
0.157	414.7598890697710
0.158	414.98386400448500
0.159	415.2042115195690
0.16	415.4209903634390
0.161	415.6342583330460
0.162	415.8440722892810
0.163	416.05048817213400
0.164	416.2535610156120
0.165	416.4533449624120
0.166	416.649893278351
0.167	416.84325836657500
0.168	417.0334917815250
