1	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	-0.0002	0.0000	0.0000	0.0000
	0.0200	0.0002	-0.0001	0.0000	0.0000	0.0000
	0.0400	0.0007	0.0010	0.0001	0.0000	0.0001
	0.0600	0.0016	0.0054	0.0002	0.0001	0.0002
	0.0800	0.0027	0.0131	0.0005	0.0003	0.0005
	0.1000	0.0044	0.0227	0.0009	0.0005	0.0009
	0.1200	0.0061	0.0352	0.0014	0.0007	0.0014
	0.1400	0.0076	0.0483	0.0020	0.0010	0.0020
	0.1600	0.0093	0.0604	0.0025	0.0013	0.0025
	0.1800	0.0111	0.0727	0.0031	0.0015	0.0031
	0.2000	0.0127	0.0855	0.0036	0.0018	0.0036
	0.2200	0.0144	0.0980	0.0040	0.0020	0.0040
	0.2400	0.0161	0.1105	0.0045	0.0022	0.0045
	0.2600	0.0177	0.1231	0.0050	0.0025	0.0050
	0.2800	0.0194	0.1357	0.0054	0.0027	0.0054
	0.3000	0.0209	0.1485	0.0059	0.0030	0.0059
	0.3200	0.0225	0.1612	0.0064	0.0032	0.0064
	0.3400	0.0244	0.1747	0.0069	0.0034	0.0069
	0.3600	0.0262	0.1899	0.0075	0.0037	0.0075
	0.3800	0.0279	0.2057	0.0080	0.0040	0.0080
	0.4000	0.0295	0.2214	0.0085	0.0043	0.0085
	0.4200	0.0311	0.2368	0.0091	0.0045	0.0091
	0.4400	0.0327	0.2518	0.0096	0.0048	0.0096
	0.4600	0.0343	0.2670	0.0102	0.0051	0.0102
	0.4800	0.0359	0.2825	0.0107	0.0054	0.0107
	0.5000	0.0378	0.2985	0.0113	0.0056	0.0113
	0.5200	0.0396	0.3160	0.0119	0.0060	0.0119
	0.5400	0.0412	0.3341	0.0126	0.0063	0.0126
	0.5600	0.0428	0.3510	0.0132	0.0066	0.0132
	0.5800	0.0444	0.3674	0.0138	0.0069	0.0138
	0.6000	0.0459	0.3835	0.0144	0.0072	0.0144
	0.6200	0.0476	0.3998	0.0150	0.0075	0.0150
	0.6400	0.0493	0.4170	0.0156	0.0078	0.0156
	0.6600	0.0511	0.4344	0.0162	0.0081	0.0162
	0.6800	0.0529	0.4524	0.0169	0.0084	0.0169
	0.7000	0.0545	0.4704	0.0175	0.0088	0.0175
	0.7200	0.0561	0.4865	0.0181	0.0091	0.0181
	0.7400	0.0577	0.5018	0.0187	0.0094	0.0187
	0.7600	0.0593	0.5170	0.0193	0.0096	0.0193
	0.7800	0.0610	0.5320	0.0198	0.0099	0.0198
	0.8000	0.0626	0.5478	0.0204	0.0102	0.0204
	0.8200	0.0642	0.5635	0.0210	0.0105	0.0210
	0.8400	0.0659	0.5788	0.0215	0.0108	0.0215
	0.8600	0.0676	0.5950	0.0221	0.0111	0.0221
	0.8800	0.0692	0.6111	0.0227	0.0114	0.0227
	0.9000	0.0709	0.6267	0.0233	0.0116	0.0233
	0.9200	0.0725	0.6422	0.0238	0.0119	0.0238
	0.9400	0.0742	0.6575	0.0244	0.0122	0.0244
	0.9600	0.0759	0.6728	0.0249	0.0125	0.0249
	0.9800	0.0774	0.6880	0.0255	0.0127	0.0255
	1.0000	0.0790	0.7025	0.0260	0.0130	0.0260
	1.0200	0.0809	0.7178	0.0266	0.0133	0.0266
	1.0400	0.0826	0.7342	0.0272	0.0136	0.0272
	1.0600	0.0842	0.7498	0.0278	0.0139	0.0278
	1.0800	0.0859	0.7646	0.0283	0.0141	0.0283
	1.1000	0.0875	0.7789	0.0288	0.0144	0.0288
	1.1200	0.0891	0.7928	0.0293	0.0147	0.0293
	1.1400	0.0907	0.8071	0.0299	0.0149	0.0299
	1.1600	0.0924	0.8213	0.0304	0.0152	0.0304
	1.1800	0.0943	0.8358	0.0309	0.0155	0.0309
	1.2000	0.0960	0.8517	0.0315	0.0158	0.0315
	1.2200	0.0976	0.8670	0.0321	0.0161	0.0321
	1.2400	0.0992	0.8810	0.0326	0.0163	0.0326
	1.2600	0.1008	0.8945	0.0331	0.0165	0.0331
	1.2800	0.1024	0.9077	0.0336	0.0168	0.0336
	1.3000	0.1041	0.9213	0.0341	0.0170	0.0341
	1.3200	0.1058	0.9355	0.0346	0.0173	0.0346
	1.3400	0.1076	0.9496	0.0352	0.0176	0.0352
	1.3600	0.1093	0.9640	0.0356	0.0178	0.0356
	1.3800	0.1109	0.9780	0.0362	0.0181	0.0362
	1.4000	0.1125	0.9908	0.0366	0.0183	0.0366
	1.4200	0.1142	1.0038	0.0371	0.0186	0.0371
	1.4400	0.1158	1.0167	0.0376	0.0188	0.0376
	1.4600	0.1176	1.0299	0.0381	0.0191	0.0381
	1.4800	0.1192	1.0433	0.0386	0.0193	0.0386
	1.5000	0.1208	1.0558	0.0391	0.0195	0.0391
	1.5200	0.1226	1.0682	0.0395	0.0197	0.0395
	1.5400	0.1243	1.0812	0.0400	0.0200	0.0400
	1.5600	0.1259	1.0937	0.0405	0.0202	0.0405
	1.5800	0.1277	1.1061	0.0409	0.0205	0.0409
	1.6000	0.1293	1.1182	0.0414	0.0207	0.0414
	1.6200	0.1310	1.1299	0.0418	0.0209	0.0418
	1.6400	0.1327	1.1415	0.0423	0.0211	0.0423
	1.6600	0.1342	1.1525	0.0427	0.0213	0.0427
	1.6800	0.1360	1.1633	0.0431	0.0215	0.0431
	1.7000	0.1378	1.1755	0.0435	0.0218	0.0435
	1.7200	0.1395	1.1884	0.0440	0.0220	0.0440
	1.7400	0.1412	1.2005	0.0444	0.0222	0.0444
	1.7600	0.1428	1.2122	0.0449	0.0224	0.0449
	1.7800	0.1443	1.2234	0.0453	0.0226	0.0453
	1.8000	0.1459	1.2342	0.0457	0.0228	0.0457
	1.8200	0.1475	1.2453	0.0461	0.0231	0.0461
	1.8400	0.1491	1.2562	0.0465	0.0232	0.0465
	1.8600	0.1510	1.2680	0.0469	0.0235	0.0469
	1.8800	0.1527	1.2809	0.0474	0.0237	0.0474
	1.9000	0.1542	1.2929	0.0478	0.0239	0.0478
	1.9200	0.1559	1.3041	0.0483	0.0241	0.0483
	1.9400	0.1574	1.3152	0.0487	0.0243	0.0487
	1.9600	0.1591	1.3264	0.0491	0.0246	0.0491
