2	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0399	0.0006	0.0003	0.0006
	0.0200	0.0002	0.0400	0.0006	0.0003	0.0006
	0.0400	0.0008	0.0416	0.0006	0.0003	0.0006
	0.0600	0.0016	0.0455	0.0007	0.0003	0.0007
	0.0800	0.0029	0.0518	0.0008	0.0004	0.0008
	0.1000	0.0046	0.0612	0.0011	0.0005	0.0011
	0.1200	0.0061	0.0735	0.0014	0.0007	0.0014
	0.1400	0.0078	0.0863	0.0017	0.0008	0.0017
	0.1600	0.0094	0.0989	0.0019	0.0010	0.0019
	0.1800	0.0110	0.1115	0.0023	0.0011	0.0023
	0.2000	0.0126	0.1239	0.0026	0.0013	0.0026
	0.2200	0.0144	0.1362	0.0029	0.0014	0.0029
	0.2400	0.0161	0.1492	0.0033	0.0017	0.0033
	0.2600	0.0178	0.1623	0.0037	0.0018	0.0037
	0.2800	0.0195	0.1758	0.0040	0.0020	0.0040
	0.3000	0.0211	0.1899	0.0044	0.0022	0.0044
	0.3200	0.0228	0.2046	0.0047	0.0024	0.0047
	0.3400	0.0244	0.2199	0.0051	0.0025	0.0051
	0.3600	0.0260	0.2350	0.0055	0.0027	0.0055
	0.3800	0.0278	0.2506	0.0059	0.0029	0.0059
	0.4000	0.0296	0.2685	0.0063	0.0031	0.0063
	0.4200	0.0313	0.2874	0.0067	0.0033	0.0067
	0.4400	0.0330	0.3060	0.0071	0.0036	0.0071
	0.4600	0.0346	0.3246	0.0075	0.0038	0.0075
	0.4800	0.0362	0.3429	0.0079	0.0040	0.0079
	0.5000	0.0378	0.3611	0.0083	0.0041	0.0083
	0.5200	0.0394	0.3795	0.0087	0.0044	0.0087
	0.5400	0.0411	0.3985	0.0091	0.0046	0.0091
	0.5600	0.0430	0.4190	0.0095	0.0048	0.0095
	0.5800	0.0446	0.4406	0.0100	0.0050	0.0100
	0.6000	0.0463	0.4609	0.0105	0.0052	0.0105
	0.6200	0.0478	0.4804	0.0108	0.0054	0.0108
	0.6400	0.0494	0.4992	0.0113	0.0056	0.0113
	0.6600	0.0511	0.5179	0.0116	0.0058	0.0116
	0.6800	0.0528	0.5376	0.0120	0.0060	0.0120
	0.7000	0.0545	0.5576	0.0125	0.0062	0.0125
	0.7200	0.0564	0.5781	0.0129	0.0064	0.0129
	0.7400	0.0580	0.5992	0.0134	0.0067	0.0134
	0.7600	0.0596	0.6188	0.0138	0.0069	0.0138
	0.7800	0.0612	0.6373	0.0142	0.0071	0.0142
	0.8000	0.0628	0.6555	0.0146	0.0073	0.0146
