True Plastic Strain (-)	 True Stress (MPa)
0.0	145.625
0.001	155.53198697512200
0.002	165.3046850069680
0.003	174.9449143785690
0.004	184.45447069906900
0.005	193.83512523817800
0.006	203.0886252560930
0.007	212.2166943289460
0.008	221.2210326698380
0.009000000000000000	230.1033174455310
0.01	238.86520308883300
0.011	247.5083216067610
0.012	256.03428288452200
0.013000000000000000	264.4446749853690
0.014	272.74106444640200
0.015	280.9249965703530
0.016	288.9979957134160
0.017	296.96156556917700
0.018000000000000000	304.81718944869700
0.019	312.5663305567940
0.02	320.21043226458500
0.021	327.7509183783300
0.022	335.18919340463200
0.023	342.5266428120460
0.024	349.7646332891380
0.025	356.904512999045
0.026000000000000000	363.9476118305910
0.027	370.89524164599200
0.028	377.7486965252060
0.029	384.50925300697200
0.03	391.1781703265820
0.031	397.7566906504250
0.032	404.24603930735900
0.033	410.6474250169440
0.034	416.9620401145750
0.035	423.19106077357500
0.036000000000000000	429.3356472242690
0.037	435.39694397009000
0.038	441.3760800007590
0.039	447.2741690025700
0.04	453.0923095658310
0.041	458.831585389485
0.042	464.4930654829680
0.043000000000000000	470.0778043653190
0.044	475.58684226160100
0.045	481.0212052966550
0.046	486.3819056862260
0.047	491.66994192550000
0.048	496.88629897509100
0.049	502.03194844449700
0.05	507.1078487730740
0.051000000000000000	512.1149454085590
0.052000000000000000	517.0541709831700
0.053	521.926445487321
0.054	526.73267644098
0.055	531.4737590627060
0.056	536.1505764363950
0.057	540.7639996757640
0.058	545.3148880866060
0.059000000000000000	549.8040893268490
0.06	554.2324395644390
0.061	558.6007636330880
0.062	562.9098751859090
0.063	567.1605768469700
0.064	571.3536603607890
0.065	575.4899067398120
0.066	579.5700864098780
0.067	583.5949593537260
0.068	587.5652752525510
0.069	591.481773625637
0.07	595.3451839681050
0.07100000000000000	599.1562258867900
0.07200000000000000	602.915609234273
0.073	606.6240342411050
0.074	610.2821916462300
0.075	613.8907628256430
0.076	617.4504199193060
0.077	620.9618259563420
0.078	624.4256349785330
0.079	627.8424921621410
0.08	631.2130339380810
0.081	634.5378881104650
0.082	637.817673973535
0.083	641.0530024270180
0.084	644.2444760899120
0.085	647.3926894127280
0.08600000000000000	650.4982287882180
0.08700000000000000	653.5616726605970
0.088	656.5835916332830
0.089	659.5645485751780
0.09	662.5050987255150
0.091	665.4057897972710
0.092	668.2671620791890
0.093	671.0897485364140
0.094	673.8740749097610
0.095	676.6206598136420
0.096	679.3300148326670
0.097	682.0026446169280
0.098	684.6390469759980
0.099	687.2397129716580
0.1	689.8051270093570
0.101	692.3357669284400
0.10200000000000000	694.8321040911550
0.10300000000000000	697.2946034704480
0.10400000000000000	699.7237237365650
0.105	702.1199173424930
0.106	704.4836306082290
0.107	706.8153038039160
0.108	709.1153712318450
0.109	711.3842613073530
0.11	713.6223966386150
0.111	715.8301941053700
0.112	718.0080649365560
0.113	720.1564147869180
0.114	722.275643812562
0.115	724.3661467454870
0.116	726.42831296711
0.117	728.4625265807960
0.11800000000000000	730.4691664833950
0.11900000000000000	732.4486064358250
0.12	734.4012151326820
0.121	736.3273562709170
0.122	738.2273886175780
0.123	740.1016660766360
0.124	741.9505377549040
0.125	743.7743480270600
0.126	745.5734365997940
0.127	747.348138575078
0.128	749.0987845125890
0.129	750.8257004912760
0.13	752.5292081700940
0.131	754.2096248479220
0.132	755.8672635226600
0.133	757.5024329495300
0.134	759.1154376985870
0.135	760.7065782114430
0.136	762.2761508572370
0.137	763.8244479878280
0.138	765.3517579922560
0.139	766.8583653504540
0.14	768.3445506862370
0.14100000000000000	769.8105908195740
0.14200000000000000	771.2567588181430
0.14300000000000000	772.6833240482000
0.14400000000000000	774.0905522247470
0.145	775.4787054610270
0.146	776.848042317344
0.147	778.1988178492260
0.148	779.5312836549280
0.149	780.8456879222990
0.15	782.1422754750070
0.151	783.4212878181430
0.152	784.6829631832020
0.153	785.927536572457
0.154	787.1552398027340
0.155	788.3663015485840
0.156	789.5609473848860
0.157	790.7393998288520
0.158	791.9018783814820
0.159	793.0485995684470
0.16	794.179776980416
0.161	795.2956213128430
0.162	796.3963404052100
0.163	797.4821392797430
0.164	798.5532201795930
0.165	799.6097826065150
0.166	800.65202335802
0.167	801.680136564035
0.168	802.6943137230610
0.169	803.6947437378420
0.17	804.6816129505500
0.171	805.655105177495
0.17200000000000000	806.6154017433600
0.17300000000000000	807.562681514978
0.17400000000000000	808.4971209346470
0.17500000000000000	809.4188940529930
0.176	810.3281725613930
0.177	811.2251258239490
0.178	812.1099209090390
0.179	812.9827226204330
0.18	813.8436935279900
0.181	814.6929939979410
0.182	815.5307822227530
0.183	816.3572142506030
0.184	817.1724440144360
0.185	817.9766233606400
0.186	818.7699020773310
0.187	819.5524279222510
0.188	820.3243466502880
0.189	821.085802040627
0.19	821.8369359235320
0.191	822.5778882067580
0.192	823.3087969016180
0.193	824.029798148683
0.194	824.7410262431420
0.195	825.4426136598180
0.196	826.134691077839
0.197	826.8173874049830
0.198	827.490829801686
0.199	828.1551437047270
0.2	828.8104528505930
0.201	829.4568792985280
0.202	830.0945434532620
0.203	830.7235640874470
0.20400000000000000	831.3440583637720
0.20500000000000000	831.9561418567900
0.20600000000000000	832.5599285744430
0.20700000000000000	833.1555309792990
0.20800000000000000	833.7430600095000
0.209	834.3226250994210
0.21	834.8943342000620
0.211	835.4582937991460
0.212	836.0146089409590
0.213	836.5633832459160
0.214	837.1047189298570
0.215	837.6387168230920
0.216	838.1654763891770
0.217	838.6850957434430
0.218	839.1976716712700
0.219	839.7032996461150
0.22	840.2020738472950
0.221	840.6940871775280
0.222	841.1794312802390
0.223	841.6581965566280
0.224	842.1304721825110
0.225	842.5963461249260
0.226	843.0559051585210
0.227	843.509234881716
0.228	843.9564197326470
0.229	844.3975430048940
0.23	844.8326868629920
0.231	845.2619323577400
0.232	845.6853594412970
0.233	846.103046982069
0.234	846.5150727794060
0.23500000000000000	846.9215135780890
0.23600000000000000	847.322445082624
0.23700000000000000	847.7179419713470
0.23800000000000000	848.1080779103290
0.23900000000000000	848.4929255671000
0.24	848.8725566241850
0.241	849.2470417924520
0.242	849.6164508242870
0.243	849.9808525265830
0.244	850.3403147735580
0.245	850.694904519396
0.246	851.0446878107210
0.247	851.3897297988940
0.248	851.7300947521530
0.249	852.0658460675800
0.25	852.3970462829140
0.251	852.7237570881940
0.252	853.0460393372530
0.253	853.3639530590530
0.254	853.6775574688620
0.255	853.9869109792910
0.256	854.2920712111660
0.257	854.5930950042660
0.258	854.8900384279070
0.259	855.1829567913890
0.26	855.4719046542950
0.261	855.7569358366530
0.262	856.0381034289630
0.263	856.3154598020850
0.264	856.5890566169930
0.265	856.8589448343980
0.266	857.1251747242400
0.267	857.3877958750510
0.268	857.6468572031930
0.269	857.9024069619650
0.27	858.1544927505980
0.271	858.4031615231120
0.272	858.6484595970720
0.273	858.8904326622040
0.274	859.1291257889150
0.275	859.3645834366830
0.276	859.5968494623370
