Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.04			
2	50.00	50.00	54.04			
3	50.00	50.00	54.04			
						
Results Table 2						
						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	0.0000	0.0000	0.0186	0.0000	0.0000	0.0000
	0.0200	0.0002	0.0186	0.0000	0.0000	0.0000
	0.0400	0.0007	0.0199	0.0001	0.0000	0.0001
	0.0600	0.0016	0.0229	0.0001	0.0001	0.0001
	0.0800	0.0028	0.0273	0.0002	0.0001	0.0002
	0.1000	0.0046	0.0322	0.0003	0.0002	0.0003
	0.1200	0.0062	0.0369	0.0004	0.0002	0.0004
	0.1400	0.0078	0.0412	0.0006	0.0003	0.0006
	0.1600	0.0094	0.0453	0.0008	0.0004	0.0008
	0.1800	0.0110	0.0498	0.0009	0.0004	0.0009
	0.2000	0.0128	0.0550	0.0011	0.0005	0.0011
	0.2200	0.0145	0.0617	0.0012	0.0006	0.0012
	0.2400	0.0161	0.0696	0.0014	0.0007	0.0014
	0.2600	0.0179	0.0783	0.0017	0.0008	0.0017
	0.2800	0.0195	0.0880	0.0019	0.0009	0.0019
	0.3000	0.0212	0.0982	0.0021	0.0011	0.0021
	0.3200	0.0228	0.1087	0.0024	0.0012	0.0024
	0.3400	0.0243	0.1195	0.0026	0.0013	0.0026
	0.3600	0.0261	0.1309	0.0029	0.0015	0.0029
	0.3800	0.0280	0.1439	0.0032	0.0016	0.0032
	0.4000	0.0296	0.1582	0.0035	0.0017	0.0035
	0.4200	0.0313	0.1726	0.0038	0.0019	0.0038
	0.4400	0.0329	0.1871	0.0041	0.0020	0.0041
	0.4600	0.0345	0.2010	0.0044	0.0022	0.0044
	0.4800	0.0361	0.2149	0.0047	0.0023	0.0047
	0.5000	0.0377	0.2291	0.0050	0.0025	0.0050
	0.5200	0.0394	0.2434	0.0053	0.0026	0.0053
	0.5400	0.0414	0.2591	0.0056	0.0028	0.0056
	0.5600	0.0430	0.2760	0.0060	0.0030	0.0060
	0.5800	0.0446	0.2919	0.0063	0.0032	0.0063
	0.6000	0.0462	0.3068	0.0066	0.0033	0.0066
	0.6200	0.0478	0.3214	0.0069	0.0035	0.0069
	0.6400	0.0494	0.3358	0.0073	0.0036	0.0073
	0.6600	0.0511	0.3511	0.0076	0.0038	0.0076
	0.6800	0.0528	0.3669	0.0080	0.0040	0.0080
	0.7000	0.0547	0.3830	0.0083	0.0042	0.0083
	0.7200	0.0564	0.4001	0.0087	0.0043	0.0087
	0.7400	0.0579	0.4164	0.0090	0.0045	0.0090
	0.7600	0.0596	0.4317	0.0093	0.0047	0.0093
	0.7800	0.0611	0.4469	0.0096	0.0048	0.0096
	0.8000	0.0627	0.4618	0.0100	0.0050	0.0100
	0.8200	0.0645	0.4769	0.0103	0.0052	0.0103
	0.8400	0.0660	0.4924	0.0107	0.0053	0.0107
	0.8600	0.0677	0.5075	0.0110	0.0055	0.0110
	0.8800	0.0694	0.5227	0.0113	0.0057	0.0113
	0.9000	0.0711	0.5385	0.0117	0.0058	0.0117
	0.9200	0.0727	0.5536	0.0120	0.0060	0.0120
	0.9400	0.0744	0.5684	0.0123	0.0062	0.0123
	0.9600	0.0760	0.5830	0.0126	0.0063	0.0126
	0.9800	0.0777	0.5975	0.0129	0.0065	0.0129
	1.0000	0.0793	0.6120	0.0133	0.0066	0.0133
	1.0200	0.0808	0.6257	0.0136	0.0068	0.0136
	1.0400	0.0826	0.6395	0.0139	0.0069	0.0139
	1.0600	0.0845	0.6546	0.0142	0.0071	0.0142
	1.0800	0.0861	0.6695	0.0146	0.0073	0.0146
	1.1000	0.0877	0.6834	0.0149	0.0074	0.0149
	1.1200	0.0893	0.6967	0.0152	0.0076	0.0152
	1.1400	0.0909	0.7096	0.0155	0.0077	0.0155
	1.1600	0.0926	0.7226	0.0158	0.0079	0.0158
	1.1800	0.0942	0.7358	0.0161	0.0080	0.0161
	1.2000	0.0960	0.7490	0.0163	0.0082	0.0163
	1.2200	0.0979	0.7634	0.0167	0.0084	0.0167
	1.2400	0.0995	0.7779	0.0170	0.0085	0.0170
	1.2600	0.1011	0.7911	0.0173	0.0086	0.0173
	1.2800	0.1027	0.8035	0.0176	0.0088	0.0176
	1.3000	0.1043	0.8155	0.0178	0.0089	0.0178
	1.3200	0.1060	0.8277	0.0181	0.0090	0.0181
	1.3400	0.1077	0.8406	0.0184	0.0092	0.0184
	1.3600	0.1094	0.8537	0.0186	0.0093	0.0186
	1.3800	0.1112	0.8668	0.0190	0.0095	0.0190
	1.4000	0.1128	0.8801	0.0193	0.0096	0.0193
	1.4200	0.1144	0.8923	0.0195	0.0098	0.0195
	1.4400	0.1161	0.9041	0.0198	0.0099	0.0198
	1.4600	0.1177	0.9166	0.0201	0.0100	0.0201
	1.4800	0.1194	0.9292	0.0204	0.0102	0.0204
	1.5000	0.1211	0.9423	0.0207	0.0103	0.0207
	1.5200	0.1227	0.9550	0.0210	0.0105	0.0210
	1.5400	0.1244	0.9669	0.0212	0.0106	0.0212
	1.5600	0.1262	0.9794	0.0215	0.0107	0.0215
	1.5800	0.1278	0.9922	0.0218	0.0109	0.0218
	1.6000	0.1295	1.0043	0.0220	0.0110	0.0220
	1.6200	0.1312	1.0164	0.0223	0.0112	0.0223
	1.6400	0.1328	1.0283	0.0226	0.0113	0.0226
	1.6600	0.1345	1.0400	0.0229	0.0114	0.0229
	1.6800	0.1361	1.0514	0.0231	0.0116	0.0231
	1.7000	0.1377	1.0619	0.0233	0.0117	0.0233
	1.7200	0.1396	1.0732	0.0236	0.0118	0.0236
	1.7400	0.1414	1.0858	0.0239	0.0120	0.0239
	1.7600	0.1430	1.0977	0.0242	0.0121	0.0242
	1.7800	0.1447	1.1089	0.0245	0.0122	0.0245
	1.8000	0.1462	1.1195	0.0247	0.0123	0.0247
	1.8200	0.1478	1.1295	0.0249	0.0125	0.0249
	1.8400	0.1494	1.1395	0.0252	0.0126	0.0252
	1.8600	0.1510	1.1495	0.0254	0.0127	0.0254
	1.8800	0.1528	1.1599	0.0256	0.0128	0.0256
	1.9000	0.1545	1.1716	0.0259	0.0129	0.0259
	1.9200	0.1561	1.1829	0.0261	0.0131	0.0261
	1.9400	0.1578	1.1932	0.0264	0.0132	0.0264
	1.9600	0.1594	1.2033	0.0266	0.0133	0.0266
	1.9800	0.1610	1.2131	0.0269	0.0134	0.0269
	2.0000	0.1627	1.2234	0.0271	0.0136	0.0271
	2.0200	0.1643	1.2341	0.0273	0.0137	0.0273
	2.0400	0.1661	1.2448	0.0276	0.0138	0.0276
	2.0600	0.1679	1.2560	0.0278	0.0139	0.0278
	2.0800	0.1695	1.2673	0.0281	0.0141	0.0281
	2.1000	0.1711	1.2772	0.0284	0.0142	0.0284
	2.1200	0.1727	1.2868	0.0286	0.0143	0.0286
	2.1400	0.1743	1.2967	0.0289	0.0144	0.0289
	2.1600	0.1761	1.3070	0.0291	0.0145	0.0291
	2.1800	0.1777	1.3179	0.0293	0.0147	0.0293
	2.2000	0.1793	1.3284	0.0296	0.0148	0.0296
	2.2200	0.1811	1.3388	0.0298	0.0149	0.0298
	2.2400	0.1828	1.3500	0.0301	0.0151	0.0301
	2.2600	0.1844	1.3610	0.0304	0.0152	0.0304
	2.2800	0.1861	1.3717	0.0306	0.0153	0.0306
	2.3000	0.1877	1.3824	0.0308	0.0154	0.0308
	2.3200	0.1894	1.3927	0.0311	0.0155	0.0311
	2.3400	0.1911	1.4034	0.0313	0.0157	0.0313
	2.3600	0.1926	1.4140	0.0316	0.0158	0.0316
	2.3800	0.1943	1.4243	0.0318	0.0159	0.0318
	2.4000	0.1961	1.4356	0.0321	0.0160	0.0321
	2.4200	0.1978	1.4477	0.0324	0.0162	0.0324
	2.4400	0.1995	1.4589	0.0327	0.0163	0.0327
	2.4600	0.2011	1.4698	0.0329	0.0164	0.0329
	2.4800	0.2027	1.4804	0.0331	0.0166	0.0331
	2.5000	0.2043	1.4911	0.0334	0.0167	0.0334
	2.5200	0.2060	1.5021	0.0336	0.0168	0.0336
	2.5400	0.2076	1.5131	0.0339	0.0169	0.0339
	2.5600	0.2095	1.5246	0.0342	0.0171	0.0342
	2.5800	0.2113	1.5374	0.0345	0.0172	0.0345
	2.6000	0.2128	1.5491	0.0347	0.0174	0.0347
	2.6200	0.2145	1.5596	0.0349	0.0175	0.0349
	2.6400	0.2160	1.5701	0.0352	0.0176	0.0352
	2.6600	0.2177	1.5809	0.0355	0.0177	0.0355
	2.6800	0.2195	1.5926	0.0358	0.0179	0.0358
	2.7000	0.2211	1.6045	0.0360	0.0180	0.0360
	2.7200	0.2229	1.6164	0.0363	0.0182	0.0363
	2.7400	0.2247	1.6291	0.0366	0.0183	0.0366
	2.7600	0.2262	1.6409	0.0369	0.0184	0.0369
	2.7800	0.2279	1.6516	0.0371	0.0186	0.0371
	2.8000	0.2295	1.6628	0.0374	0.0187	0.0374
	2.8200	0.2311	1.6740	0.0376	0.0188	0.0376
	2.8400	0.2328	1.6855	0.0379	0.0190	0.0379
	2.8600	0.2344	1.6973	0.0382	0.0191	0.0382
	2.8800	0.2360	1.7086	0.0385	0.0192	0.0385
	2.9000	0.2378	1.7198	0.0388	0.0194	0.0388
	2.9200	0.2394	1.7320	0.0391	0.0195	0.0391
	2.9400	0.2410	1.7439	0.0393	0.0197	0.0393
	2.9600	0.2427	1.7558	0.0396	0.0198	0.0396
	2.9800	0.2444	1.7679	0.0399	0.0199	0.0399
	3.0000	0.2461	1.7798	0.0402	0.0201	0.0402
	3.0200	0.2477	1.7919	0.0404	0.0202	0.0404
	3.0400	0.2492	1.8035	0.0407	0.0203	0.0407
	3.0600	0.2510	1.8146	0.0410	0.0205	0.0410
	3.0800	0.2528	1.8274	0.0412	0.0206	0.0412
	3.1000	0.2544	1.8408	0.0416	0.0208	0.0416
	3.1200	0.2561	1.8531	0.0418	0.0209	0.0418
	3.1400	0.2577	1.8652	0.0421	0.0211	0.0421
	3.1600	0.2593	1.8768	0.0424	0.0212	0.0424
	3.1800	0.2609	1.8884	0.0427	0.0213	0.0427
	3.2000	0.2625	1.9002	0.0429	0.0215	0.0429
	3.2200	0.2642	1.9120	0.0432	0.0216	0.0432
	3.2400	0.2661	1.9249	0.0435	0.0218	0.0435
	3.2600	0.2678	1.9391	0.0439	0.0219	0.0439
	3.2800	0.2694	1.9521	0.0442	0.0221	0.0442
	3.3000	0.2711	1.9642	0.0444	0.0222	0.0444
	3.3200	0.2726	1.9757	0.0447	0.0223	0.0447
	3.3400	0.2742	1.9870	0.0449	0.0225	0.0449
	3.3600	0.2759	1.9993	0.0452	0.0226	0.0452
	3.3800	0.2776	2.0121	0.0456	0.0228	0.0456
	3.4000	0.2794	2.0249	0.0459	0.0229	0.0459
	3.4200	0.2812	2.0390	0.0462	0.0231	0.0462
	3.4400	0.2827	2.0523	0.0465	0.0232	0.0465
	3.4600	0.2844	2.0641	0.0467	0.0234	0.0467
	3.4800	0.2860	2.0763	0.0470	0.0235	0.0470
	3.5000	0.2876	2.0883	0.0473	0.0237	0.0473
	3.5200	0.2894	2.1010	0.0476	0.0238	0.0476
	3.5400	0.2910	2.1143	0.0479	0.0240	0.0479
	3.5600	0.2927	2.1269	0.0482	0.0241	0.0482
	3.5800	0.2945	2.1402	0.0485	0.0243	0.0485
	3.6000	0.2961	2.1540	0.0489	0.0244	0.0489
	3.6200	0.2978	2.1669	0.0492	0.0246	0.0492
	3.6400	0.2995	2.1799	0.0495	0.0247	0.0495
	3.6600	0.3011	2.1926	0.0498	0.0249	0.0498
	3.6800	0.3028	2.2053	0.0501	0.0250	0.0501
	3.7000	0.3045	2.2184	0.0503	0.0252	0.0503
	3.7200	0.3061	2.2308	0.0506	0.0253	0.0506
	3.7400	0.3079	2.2434	0.0509	0.0255	0.0509
	3.7600	0.3097	2.2579	0.0512	0.0256	0.0512
	3.7800	0.3113	2.2721	0.0515	0.0258	0.0515
	3.8000	0.3130	2.2850	0.0519	0.0259	0.0519
	3.8200	0.3145	2.2974	0.0522	0.0261	0.0522
	3.8400	0.3161	2.3093	0.0525	0.0262	0.0525
	3.8600	0.3177	2.3214	0.0527	0.0264	0.0527
	3.8800	0.3193	2.3338	0.0530	0.0265	0.0530
	3.9000	0.3210	2.3463	0.0533	0.0267	0.0533
	3.9200	0.3229	2.3604	0.0537	0.0268	0.0537
	3.9400	0.3244	2.3751	0.0540	0.0270	0.0540
	3.9600	0.3261	2.3881	0.0543	0.0271	0.0543
	3.9800	0.3277	2.4005	0.0546	0.0273	0.0546
	4.0000	0.3293	2.4130	0.0549	0.0274	0.0549
	4.0200	0.3310	2.4258	0.0552	0.0276	0.0552
	4.0400	0.3327	2.4395	0.0555	0.0278	0.0555
	4.0600	0.3343	2.4532	0.0558	0.0279	0.0558
	4.0800	0.3362	2.4668	0.0561	0.0281	0.0561
	4.1000	0.3378	2.4812	0.0565	0.0282	0.0565
	4.1200	0.3393	2.4943	0.0568	0.0284	0.0568
	4.1400	0.3410	2.5065	0.0571	0.0285	0.0571
	4.1600	0.3426	2.5196	0.0574	0.0287	0.0574
	4.1800	0.3443	2.5328	0.0577	0.0289	0.0577
	4.2000	0.3460	2.5464	0.0580	0.0290	0.0580
	4.2200	0.3476	2.5599	0.0583	0.0292	0.0583
	4.2400	0.3492	2.5726	0.0586	0.0293	0.0586
	4.2600	0.3510	2.5863	0.0589	0.0295	0.0589
	4.2800	0.3526	2.6007	0.0593	0.0296	0.0593
	4.3000	0.3544	2.6142	0.0596	0.0298	0.0596
	4.3200	0.3561	2.6281	0.0599	0.0299	0.0599
	4.3400	0.3577	2.6421	0.0602	0.0301	0.0602
	4.3600	0.3594	2.6557	0.0605	0.0303	0.0605
	4.3800	0.3610	2.6690	0.0608	0.0304	0.0608
	4.4000	0.3625	2.6814	0.0611	0.0306	0.0611
	4.4200	0.3644	2.6944	0.0615	0.0307	0.0615
	4.4400	0.3662	2.7094	0.0618	0.0309	0.0618
	4.4600	0.3678	2.7242	0.0622	0.0311	0.0622
	4.4800	0.3695	2.7382	0.0625	0.0313	0.0625
	4.5000	0.3711	2.7516	0.0628	0.0314	0.0628
	4.5200	0.3727	2.7642	0.0631	0.0316	0.0631
	4.5400	0.3743	2.7769	0.0634	0.0317	0.0634
	4.5600	0.3759	2.7894	0.0637	0.0319	0.0637
	4.5800	0.3777	2.8025	0.0640	0.0320	0.0640
	4.6000	0.3796	2.8178	0.0644	0.0322	0.0644
	4.6200	0.3812	2.8330	0.0647	0.0324	0.0647
	4.6400	0.3829	2.8465	0.0651	0.0325	0.0651
