3	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0243	-0.0003	-0.0002	-0.0003
	0.0200	0.0002	0.0245	-0.0003	-0.0002	-0.0003
	0.0400	0.0008	0.0266	-0.0002	-0.0001	-0.0002
	0.0600	0.0017	0.0323	-0.0001	-0.0001	-0.0001
	0.0800	0.0030	0.0404	0.0000	0.0000	0.0000
	0.1000	0.0047	0.0505	0.0002	0.0001	0.0002
	0.1200	0.0063	0.0626	0.0005	0.0002	0.0005
	0.1400	0.0079	0.0754	0.0007	0.0003	0.0007
	0.1600	0.0095	0.0883	0.0009	0.0005	0.0009
	0.1800	0.0112	0.1022	0.0012	0.0006	0.0012
	0.2000	0.0127	0.1167	0.0014	0.0007	0.0014
	0.2200	0.0144	0.1313	0.0017	0.0009	0.0017
	0.2400	0.0162	0.1467	0.0020	0.0010	0.0020
	0.2600	0.0178	0.1633	0.0023	0.0011	0.0023
	0.2800	0.0196	0.1799	0.0026	0.0013	0.0026
	0.3000	0.0213	0.1971	0.0029	0.0015	0.0029
	0.3200	0.0229	0.2146	0.0033	0.0016	0.0033
	0.3400	0.0246	0.2322	0.0036	0.0018	0.0036
	0.3600	0.0262	0.2499	0.0040	0.0020	0.0040
	0.3800	0.0278	0.2671	0.0043	0.0022	0.0043
	0.4000	0.0296	0.2850	0.0047	0.0023	0.0047
	0.4200	0.0314	0.3048	0.0050	0.0025	0.0050
	0.4400	0.0331	0.3251	0.0054	0.0027	0.0054
	0.4600	0.0348	0.3452	0.0058	0.0029	0.0058
	0.4800	0.0363	0.3647	0.0062	0.0031	0.0062
	0.5000	0.0379	0.3837	0.0066	0.0033	0.0066
	0.5200	0.0395	0.4028	0.0070	0.0035	0.0070
	0.5400	0.0411	0.4222	0.0073	0.0037	0.0073
	0.5600	0.0429	0.4422	0.0077	0.0039	0.0077
	0.5800	0.0448	0.4644	0.0081	0.0041	0.0081
	0.6000	0.0464	0.4876	0.0086	0.0043	0.0086
	0.6200	0.0480	0.5093	0.0091	0.0045	0.0091
	0.6400	0.0496	0.5302	0.0095	0.0047	0.0095
	0.6600	0.0512	0.5506	0.0099	0.0050	0.0099
	0.6800	0.0529	0.5713	0.0103	0.0052	0.0103
	0.7000	0.0545	0.5929	0.0107	0.0054	0.0107
	0.7200	0.0563	0.6150	0.0112	0.0056	0.0112
	0.7400	0.0582	0.6380	0.0116	0.0058	0.0116
	0.7600	0.0598	0.6617	0.0121	0.0061	0.0121
	0.7800	0.0613	0.6837	0.0126	0.0063	0.0126
	0.8000	0.0630	0.7046	0.0130	0.0065	0.0130
	0.8200	0.0645	0.7255	0.0134	0.0067	0.0134
	0.8400	0.0662	0.7461	0.0139	0.0069	0.0139
	0.8600	0.0679	0.7676	0.0143	0.0072	0.0143
	0.8800	0.0694	0.7890	0.0147	0.0074	0.0147
	0.9000	0.0711	0.8099	0.0152	0.0076	0.0152
	0.9200	0.0728	0.8319	0.0156	0.0078	0.0156
	0.9400	0.0744	0.8542	0.0161	0.0081	0.0161
	0.9600	0.0761	0.8758	0.0165	0.0083	0.0165
	0.9800	0.0778	0.8976	0.0169	0.0085	0.0169
	1.0000	0.0794	0.9189	0.0174	0.0087	0.0174
	1.0200	0.0811	0.9404	0.0179	0.0090	0.0179
	1.0400	0.0827	0.9619	0.0184	0.0092	0.0184
	1.0600	0.0843	0.9825	0.0188	0.0094	0.0188
	1.0800	0.0862	1.0040	0.0192	0.0096	0.0192
	1.1000	0.0879	1.0274	0.0197	0.0098	0.0197
	1.1200	0.0895	1.0498	0.0202	0.0101	0.0202
	1.1400	0.0912	1.0709	0.0206	0.0103	0.0206
	1.1600	0.0927	1.0915	0.0210	0.0105	0.0210
	1.1800	0.0944	1.1118	0.0215	0.0107	0.0215
	1.2000	0.0960	1.1325	0.0219	0.0110	0.0219
	1.2200	0.0976	1.1531	0.0224	0.0112	0.0224
	1.2400	0.0995	1.1744	0.0228	0.0114	0.0228
	1.2600	0.1013	1.1977	0.0233	0.0116	0.0233
	1.2800	0.1029	1.2203	0.0238	0.0119	0.0238
	1.3000	0.1045	1.2409	0.0242	0.0121	0.0242
	1.3200	0.1061	1.2613	0.0247	0.0123	0.0247
	1.3400	0.1077	1.2810	0.0251	0.0126	0.0251
	1.3600	0.1094	1.3014	0.0255	0.0128	0.0255
	1.3800	0.1111	1.3228	0.0260	0.0130	0.0260
	1.4000	0.1128	1.3440	0.0264	0.0132	0.0264
	1.4200	0.1146	1.3660	0.0269	0.0135	0.0269
	1.4400	0.1162	1.3878	0.0274	0.0137	0.0274
	1.4600	0.1178	1.4078	0.0278	0.0139	0.0278
	1.4800	0.1195	1.4278	0.0282	0.0141	0.0282
	1.5000	0.1211	1.4483	0.0287	0.0143	0.0287
	1.5200	0.1229	1.4691	0.0291	0.0146	0.0291
	1.5400	0.1245	1.4905	0.0296	0.0148	0.0296
	1.5600	0.1261	1.5110	0.0300	0.0150	0.0300
	1.5800	0.1279	1.5309	0.0305	0.0152	0.0305
	1.6000	0.1296	1.5522	0.0309	0.0155	0.0309
	1.6200	0.1312	1.5730	0.0314	0.0157	0.0314
	1.6400	0.1329	1.5933	0.0318	0.0159	0.0318
	1.6600	0.1346	1.6139	0.0322	0.0161	0.0322
	1.6800	0.1363	1.6342	0.0327	0.0163	0.0327
	1.7000	0.1379	1.6546	0.0331	0.0166	0.0331
	1.7200	0.1394	1.6743	0.0335	0.0168	0.0335
	1.7400	0.1412	1.6935	0.0339	0.0169	0.0339
	1.7600	0.1431	1.7145	0.0344	0.0172	0.0344
	1.7800	0.1447	1.7363	0.0348	0.0174	0.0348
	1.8000	0.1464	1.7571	0.0353	0.0176	0.0353
	1.8200	0.1480	1.7771	0.0357	0.0179	0.0357
	1.8400	0.1496	1.7955	0.0361	0.0181	0.0361
	1.8600	0.1512	1.8135	0.0365	0.0183	0.0365
	1.8800	0.1527	1.8315	0.0369	0.0184	0.0369
	1.9000	0.1544	1.8491	0.0373	0.0186	0.0373
	1.9200	0.1562	1.8681	0.0377	0.0188	0.0377
	1.9400	0.1579	1.8889	0.0382	0.0191	0.0382
	1.9600	0.1595	1.9082	0.0386	0.0193	0.0386
	1.9800	0.1612	1.9263	0.0390	0.0195	0.0390
	2.0000	0.1627	1.9438	0.0393	0.0197	0.0393
	2.0200	0.1644	1.9610	0.0397	0.0199	0.0397
	2.0400	0.1661	1.9786	0.0401	0.0200	0.0401
	2.0600	0.1678	1.9963	0.0405	0.0202	0.0405
	2.0800	0.1696	2.0140	0.0409	0.0204	0.0409
	2.1000	0.1713	2.0327	0.0413	0.0206	0.0413
	2.1200	0.1729	2.0505	0.0416	0.0208	0.0416
	2.1400	0.1745	2.0666	0.0420	0.0210	0.0420
	2.1600	0.1761	2.0826	0.0424	0.0212	0.0424
	2.1800	0.1778	2.0986	0.0427	0.0213	0.0427
	2.2000	0.1795	2.1150	0.0430	0.0215	0.0430
	2.2200	0.1811	2.1322	0.0434	0.0217	0.0434
	2.2400	0.1828	2.1487	0.0438	0.0219	0.0438
	2.2600	0.1846	2.1655	0.0441	0.0221	0.0441
	2.2800	0.1862	2.1833	0.0445	0.0223	0.0445
	2.3000	0.1879	2.2004	0.0449	0.0224	0.0449
	2.3200	0.1896	2.2173	0.0453	0.0226	0.0453
	2.3400	0.1912	2.2339	0.0456	0.0228	0.0456
	2.3600	0.1928	2.2503	0.0460	0.0230	0.0460
	2.3800	0.1944	2.2670	0.0463	0.0232	0.0463
	2.4000	0.1960	2.2833	0.0467	0.0233	0.0467
	2.4200	0.1978	2.2995	0.0471	0.0235	0.0471
	2.4400	0.1996	2.3177	0.0475	0.0237	0.0475
	2.4600	0.2012	2.3361	0.0479	0.0239	0.0479
	2.4800	0.2029	2.3530	0.0483	0.0241	0.0483
	2.5000	0.2045	2.3694	0.0486	0.0243	0.0486
	2.5200	0.2061	2.3852	0.0490	0.0245	0.0490
	2.5400	0.2078	2.4013	0.0494	0.0247	0.0494
	2.5600	0.2094	2.4177	0.0497	0.0248	0.0497
	2.5800	0.2111	2.4338	0.0501	0.0250	0.0501
	2.6000	0.2130	2.4513	0.0505	0.0252	0.0505
	2.6200	0.2146	2.4695	0.0508	0.0254	0.0508
	2.6400	0.2162	2.4855	0.0512	0.0256	0.0512
	2.6600	0.2179	2.5010	0.0515	0.0258	0.0515
	2.6800	0.2194	2.5164	0.0518	0.0259	0.0518
	2.7000	0.2212	2.5322	0.0522	0.0261	0.0522
	2.7200	0.2229	2.5490	0.0526	0.0263	0.0526
	2.7400	0.2246	2.5660	0.0530	0.0265	0.0530
	2.7600	0.2264	2.5833	0.0534	0.0267	0.0534
	2.7800	0.2281	2.6011	0.0538	0.0269	0.0538
	2.8000	0.2296	2.6172	0.0541	0.0271	0.0541
	2.8200	0.2313	2.6323	0.0545	0.0272	0.0545
	2.8400	0.2329	2.6482	0.0548	0.0274	0.0548
	2.8600	0.2346	2.6640	0.0552	0.0276	0.0552
	2.8800	0.2363	2.6805	0.0555	0.0278	0.0555
	2.9000	0.2378	2.6971	0.0559	0.0280	0.0559
	2.9200	0.2394	2.7126	0.0563	0.0281	0.0563
	2.9400	0.2412	2.7287	0.0566	0.0283	0.0566
	2.9600	0.2428	2.7457	0.0570	0.0285	0.0570
	2.9800	0.2445	2.7618	0.0574	0.0287	0.0574
	3.0000	0.2462	2.7783	0.0578	0.0289	0.0578
	3.0200	0.2478	2.7949	0.0581	0.0291	0.0581
	3.0400	0.2495	2.8114	0.0585	0.0292	0.0585
	3.0600	0.2511	2.8279	0.0588	0.0294	0.0588
	3.0800	0.2527	2.8434	0.0592	0.0296	0.0592
	3.1000	0.2545	2.8592	0.0596	0.0298	0.0596
	3.1200	0.2562	2.8769	0.0600	0.0300	0.0600
	3.1400	0.2579	2.8945	0.0604	0.0302	0.0604
	3.1600	0.2596	2.9110	0.0608	0.0304	0.0608
	3.1800	0.2611	2.9270	0.0611	0.0306	0.0611
	3.2000	0.2628	2.9423	0.0615	0.0307	0.0615
	3.2200	0.2644	2.9579	0.0618	0.0309	0.0618
	3.2400	0.2659	2.9735	0.0622	0.0311	0.0622
	3.2600	0.2677	2.9893	0.0625	0.0313	0.0625
	3.2800	0.2696	3.0071	0.0630	0.0315	0.0630
	3.3000	0.2712	3.0257	0.0634	0.0317	0.0634
	3.3200	0.2729	3.0421	0.0638	0.0319	0.0638
	3.3400	0.2745	3.0576	0.0641	0.0321	0.0641
	3.3600	0.2760	3.0726	0.0645	0.0322	0.0645
	3.3800	0.2777	3.0876	0.0648	0.0324	0.0648
	3.4000	0.2794	3.1035	0.0652	0.0326	0.0652
	3.4200	0.2810	3.1198	0.0656	0.0328	0.0656
	3.4400	0.2829	3.1369	0.0660	0.0330	0.0660
	3.4600	0.2846	3.1550	0.0664	0.0332	0.0664
	3.4800	0.2862	3.1712	0.0668	0.0334	0.0668
	3.5000	0.2878	3.1864	0.0671	0.0336	0.0671
	3.5200	0.2894	3.2017	0.0675	0.0337	0.0675
