t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.052,592138,-355949,-427.616666667,-2217.142
0.305,589430,-355949,-427.616666667,-2210.810
0.623,589459,-355949,-427.616666667,-2210.877
0.867,594364,-355949,-427.616666667,-2222.348
1.193,590368,-355949,-427.616666667,-2213.003
1.442,593939,-355949,-427.616666667,-2221.354
1.683,589313,-355949,-427.616666667,-2210.536
1.893,593632,-355949,-427.616666667,-2220.636
2.092,592904,-355949,-427.616666667,-2218.934
2.309,589526,-355949,-427.616666667,-2211.034
2.501,592541,-355949,-427.616666667,-2218.085
2.679,593385,-355949,-427.616666667,-2220.058
2.862,591247,-355949,-427.616666667,-2215.059
3.043,589678,-355949,-427.616666667,-2211.389
3.224,589748,-355949,-427.616666667,-2211.553
3.398,590331,-355949,-427.616666667,-2212.917
3.601,593388,-355949,-427.616666667,-2220.065
3.765,592098,-355949,-427.616666667,-2217.049
3.950,589864,-355949,-427.616666667,-2211.824
4.146,589381,-355949,-427.616666667,-2210.695
4.343,593069,-355949,-427.616666667,-2219.319
4.519,592259,-355949,-427.616666667,-2217.425
4.696,590311,-355949,-427.616666667,-2212.870
4.879,588643,-355949,-427.616666667,-2208.969
5.080,590596,-355949,-427.616666667,-2213.536
5.256,592399,-355949,-427.616666667,-2217.753
5.419,592959,-355949,-427.616666667,-2219.062
5.597,591622,-355949,-427.616666667,-2215.936
5.765,588492,-355949,-427.616666667,-2208.616
6.039,592775,-355949,-427.616666667,-2218.632
6.355,591179,-355949,-427.616666667,-2214.900
6.607,590611,-355949,-427.616666667,-2213.571
6.806,591984,-355949,-427.616666667,-2216.782
7.035,588088,-355949,-427.616666667,-2207.671
7.324,588143,-355949,-427.616666667,-2207.800
