t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.044,-352573,-355949,-427.616666667,-7.895
0.335,-352567,-355949,-427.616666667,-7.909
0.441,-352699,-355949,-427.616666667,-7.600
0.504,-352819,-355949,-427.616666667,-7.320
0.734,-352757,-355949,-427.616666667,-7.465
0.970,-352693,-355949,-427.616666667,-7.614
1.258,-352656,-355949,-427.616666667,-7.701
1.525,-352713,-355949,-427.616666667,-7.568
1.741,-352683,-355949,-427.616666667,-7.638
1.953,-352725,-355949,-427.616666667,-7.539
2.166,-352863,-355949,-427.616666667,-7.217
2.356,-352584,-355949,-427.616666667,-7.869
2.520,-352706,-355949,-427.616666667,-7.584
2.705,-352584,-355949,-427.616666667,-7.869
2.852,-352615,-355949,-427.616666667,-7.797
3.022,-352713,-355949,-427.616666667,-7.568
3.213,-352729,-355949,-427.616666667,-7.530
3.384,-352697,-355949,-427.616666667,-7.605
3.564,-352696,-355949,-427.616666667,-7.607
3.750,-352618,-355949,-427.616666667,-7.790
3.936,-352780,-355949,-427.616666667,-7.411
4.124,-352575,-355949,-427.616666667,-7.890
4.328,-352618,-355949,-427.616666667,-7.790
4.504,-352799,-355949,-427.616666667,-7.366
4.681,-352553,-355949,-427.616666667,-7.942
4.854,-352461,-355949,-427.616666667,-8.157
5.025,-352770,-355949,-427.616666667,-7.434
5.199,-352810,-355949,-427.616666667,-7.341
5.369,-352645,-355949,-427.616666667,-7.727
5.545,-352621,-355949,-427.616666667,-7.783
5.705,-352705,-355949,-427.616666667,-7.586
5.876,-352894,-355949,-427.616666667,-7.144
6.043,-352741,-355949,-427.616666667,-7.502
6.205,-352765,-355949,-427.616666667,-7.446
6.371,-352856,-355949,-427.616666667,-7.233
6.539,-352819,-355949,-427.616666667,-7.320
6.704,-352681,-355949,-427.616666667,-7.642
6.877,-352864,-355949,-427.616666667,-7.214
7.049,-352823,-355949,-427.616666667,-7.310
7.212,-352666,-355949,-427.616666667,-7.677
7.395,-352839,-355949,-427.616666667,-7.273
7.566,-352785,-355949,-427.616666667,-7.399
7.731,-352951,-355949,-427.616666667,-7.011
7.907,-352894,-355949,-427.616666667,-7.144
8.092,-352688,-355949,-427.616666667,-7.626
8.288,-352648,-355949,-427.616666667,-7.720
8.455,-352706,-355949,-427.616666667,-7.584
8.618,-352597,-355949,-427.616666667,-7.839
8.788,-352705,-355949,-427.616666667,-7.586
8.957,-352551,-355949,-427.616666667,-7.946
9.119,-352724,-355949,-427.616666667,-7.542
9.277,-352706,-355949,-427.616666667,-7.584
9.425,-352785,-355949,-427.616666667,-7.399
9.594,-352655,-355949,-427.616666667,-7.703
9.773,-352747,-355949,-427.616666667,-7.488
9.937,-352937,-355949,-427.616666667,-7.044
9.993,-352805,-355949,-427.616666667,-7.352
10.169,-352525,-355949,-427.616666667,-8.007
10.363,-352667,-355949,-427.616666667,-7.675
10.525,-352710,-355949,-427.616666667,-7.575
10.696,-352738,-355949,-427.616666667,-7.509
10.871,-352733,-355949,-427.616666667,-7.521
11.053,-352472,-355949,-427.616666667,-8.131
11.235,-352943,-355949,-427.616666667,-7.030
11.401,-352803,-355949,-427.616666667,-7.357
11.583,-352863,-355949,-427.616666667,-7.217
11.772,-352654,-355949,-427.616666667,-7.705
11.960,-352922,-355949,-427.616666667,-7.079
12.164,-352932,-355949,-427.616666667,-7.055
12.362,-352702,-355949,-427.616666667,-7.593
12.539,-352743,-355949,-427.616666667,-7.497
12.721,-352647,-355949,-427.616666667,-7.722
12.908,-352650,-355949,-427.616666667,-7.715
13.110,-352742,-355949,-427.616666667,-7.500
13.279,-352868,-355949,-427.616666667,-7.205
13.477,-352915,-355949,-427.616666667,-7.095
13.676,-352738,-355949,-427.616666667,-7.509
13.827,-352971,-355949,-427.616666667,-6.964
14.060,-352908,-355949,-427.616666667,-7.112
14.233,-352720,-355949,-427.616666667,-7.551
14.463,-352616,-355949,-427.616666667,-7.794
14.647,-352899,-355949,-427.616666667,-7.133
14.831,-352911,-355949,-427.616666667,-7.104
15.041,-352901,-355949,-427.616666667,-7.128
15.231,-352762,-355949,-427.616666667,-7.453
15.398,-352914,-355949,-427.616666667,-7.097
15.605,-352894,-355949,-427.616666667,-7.144
15.794,-352988,-355949,-427.616666667,-6.924
15.975,-352838,-355949,-427.616666667,-7.275
16.173,-352839,-355949,-427.616666667,-7.273
16.331,-352542,-355949,-427.616666667,-7.967
16.523,-353022,-355949,-427.616666667,-6.845
16.730,-352987,-355949,-427.616666667,-6.927
16.925,-352784,-355949,-427.616666667,-7.401
17.127,-352675,-355949,-427.616666667,-7.656
17.313,-352654,-355949,-427.616666667,-7.705
17.518,-352744,-355949,-427.616666667,-7.495
17.732,-352684,-355949,-427.616666667,-7.635
17.933,-352623,-355949,-427.616666667,-7.778
18.142,-344486,-355949,-427.616666667,-26.807
18.367,-351068,-355949,-427.616666667,-11.414
18.543,-351195,-355949,-427.616666667,-11.117
18.736,-352528,-355949,-427.616666667,-8.000
18.956,-352701,-355949,-427.616666667,-7.596
19.135,-352711,-355949,-427.616666667,-7.572
19.327,-352948,-355949,-427.616666667,-7.018
19.534,-352521,-355949,-427.616666667,-8.017
19.733,-343293,-355949,-427.616666667,-29.597
19.903,-334333,-355949,-427.616666667,-50.550
20.080,-350838,-355949,-427.616666667,-11.952
20.273,-352789,-355949,-427.616666667,-7.390
20.435,-352758,-355949,-427.616666667,-7.462
20.617,-352876,-355949,-427.616666667,-7.186
20.772,-352948,-355949,-427.616666667,-7.018
20.936,-352739,-355949,-427.616666667,-7.507
21.103,-352833,-355949,-427.616666667,-7.287
21.259,-352639,-355949,-427.616666667,-7.741
21.413,-352860,-355949,-427.616666667,-7.224
21.578,-352634,-355949,-427.616666667,-7.752
21.738,-352774,-355949,-427.616666667,-7.425
21.880,-352630,-355949,-427.616666667,-7.762
22.039,-352719,-355949,-427.616666667,-7.553
22.203,-352776,-355949,-427.616666667,-7.420
22.356,-352786,-355949,-427.616666667,-7.397
22.531,-352593,-355949,-427.616666667,-7.848
22.687,-352690,-355949,-427.616666667,-7.621
22.842,-352724,-355949,-427.616666667,-7.542
23.009,-352629,-355949,-427.616666667,-7.764
23.175,-352598,-355949,-427.616666667,-7.836
23.341,-352902,-355949,-427.616666667,-7.126
23.491,-352966,-355949,-427.616666667,-6.976
23.657,-352764,-355949,-427.616666667,-7.448
23.810,-352794,-355949,-427.616666667,-7.378
23.966,-352639,-355949,-427.616666667,-7.741
24.128,-352520,-355949,-427.616666667,-8.019
24.270,-352558,-355949,-427.616666667,-7.930
24.433,-352650,-355949,-427.616666667,-7.715
24.605,-352518,-355949,-427.616666667,-8.024
24.796,-352394,-355949,-427.616666667,-8.314
24.952,-352195,-355949,-427.616666667,-8.779
25.111,-351658,-355949,-427.616666667,-10.035
25.257,-349924,-355949,-427.616666667,-14.090
25.425,-340983,-355949,-427.616666667,-34.999
25.589,-329507,-355949,-427.616666667,-61.836
25.747,-314802,-355949,-427.616666667,-96.224
25.898,-298941,-355949,-427.616666667,-133.316
26.054,-284780,-355949,-427.616666667,-166.432
26.219,-267801,-355949,-427.616666667,-206.138
26.393,-251696,-355949,-427.616666667,-243.800
26.551,-235889,-355949,-427.616666667,-280.765
26.711,-221539,-355949,-427.616666667,-314.324
26.879,-208465,-355949,-427.616666667,-344.898
27.104,-191855,-355949,-427.616666667,-383.741
27.294,-178596,-355949,-427.616666667,-414.748
27.469,-169249,-355949,-427.616666667,-436.606
27.647,-174470,-355949,-427.616666667,-424.396
27.807,-170564,-355949,-427.616666667,-433.531
27.974,-162111,-355949,-427.616666667,-453.299
28.121,-151417,-355949,-427.616666667,-478.307
28.293,-142920,-355949,-427.616666667,-498.177
28.456,-135452,-355949,-427.616666667,-515.642
28.622,-130320,-355949,-427.616666667,-527.643
28.801,-125882,-355949,-427.616666667,-538.022
28.971,-122356,-355949,-427.616666667,-546.267
29.142,-118597,-355949,-427.616666667,-555.058
29.304,-115349,-355949,-427.616666667,-562.653
29.472,-112668,-355949,-427.616666667,-568.923
29.628,-108171,-355949,-427.616666667,-579.440
29.816,-103599,-355949,-427.616666667,-590.131
29.996,-98212,-355949,-427.616666667,-602.729
30.158,-92805,-355949,-427.616666667,-615.374
30.322,-88578,-355949,-427.616666667,-625.259
30.503,-82067,-355949,-427.616666667,-640.485
30.676,-78486,-355949,-427.616666667,-648.859
30.862,-73172,-355949,-427.616666667,-661.286
31.048,-65276,-355949,-427.616666667,-679.751
31.256,-56045,-355949,-427.616666667,-701.338
31.465,-47345,-355949,-427.616666667,-721.684
31.637,-41908,-355949,-427.616666667,-734.398
31.693,-39293,-355949,-427.616666667,-740.514
31.861,-30727,-355949,-427.616666667,-760.546
32.017,-22952,-355949,-427.616666667,-778.728
32.201,-15901,-355949,-427.616666667,-795.217
32.387,-6772,-355949,-427.616666667,-816.565
32.563,2078,-355949,-427.616666667,-837.262
32.851,15673,-355949,-427.616666667,-869.054
32.993,23377,-355949,-427.616666667,-887.070
33.162,21446,-355949,-427.616666667,-882.554
33.337,33491,-355949,-427.616666667,-910.722
33.501,44873,-355949,-427.616666667,-937.340
33.659,54619,-355949,-427.616666667,-960.131
33.831,65200,-355949,-427.616666667,-984.875
34.010,75697,-355949,-427.616666667,-1009.423
34.186,85792,-355949,-427.616666667,-1033.030
34.353,87790,-355949,-427.616666667,-1037.703
34.534,97329,-355949,-427.616666667,-1060.010
34.700,110486,-355949,-427.616666667,-1090.778
34.870,121714,-355949,-427.616666667,-1117.036
35.017,131905,-355949,-427.616666667,-1140.868
35.202,144211,-355949,-427.616666667,-1169.646
35.402,148809,-355949,-427.616666667,-1180.398
35.578,152422,-355949,-427.616666667,-1188.847
35.742,167594,-355949,-427.616666667,-1224.328
35.920,183486,-355949,-427.616666667,-1261.492
36.097,193075,-355949,-427.616666667,-1283.916
36.280,207740,-355949,-427.616666667,-1318.211
36.444,221407,-355949,-427.616666667,-1350.172
36.629,234112,-355949,-427.616666667,-1379.883
36.821,248029,-355949,-427.616666667,-1412.429
37.001,259928,-355949,-427.616666667,-1440.255
37.212,260541,-355949,-427.616666667,-1441.688
37.398,280156,-355949,-427.616666667,-1487.559
37.562,294664,-355949,-427.616666667,-1521.487
37.760,308590,-355949,-427.616666667,-1554.053
37.959,317565,-355949,-427.616666667,-1575.042
38.146,332340,-355949,-427.616666667,-1609.593
38.347,349359,-355949,-427.616666667,-1649.393
38.524,363742,-355949,-427.616666667,-1683.028
38.706,378455,-355949,-427.616666667,-1717.435
38.884,393202,-355949,-427.616666667,-1751.922
39.057,407226,-355949,-427.616666667,-1784.718
39.237,395060,-355949,-427.616666667,-1756.267
39.403,412250,-355949,-427.616666667,-1796.466
39.598,433154,-355949,-427.616666667,-1845.351
39.787,451990,-355949,-427.616666667,-1889.400
39.966,467573,-355949,-427.616666667,-1925.842
40.155,484677,-355949,-427.616666667,-1965.840
40.340,499990,-355949,-427.616666667,-2001.650
40.527,501878,-355949,-427.616666667,-2006.065
40.703,520276,-355949,-427.616666667,-2049.090
40.893,539478,-355949,-427.616666667,-2093.995
41.057,555858,-355949,-427.616666667,-2132.300
41.211,569379,-355949,-427.616666667,-2163.919
41.369,584713,-355949,-427.616666667,-2199.779
41.535,598334,-355949,-427.616666667,-2231.632
41.695,613839,-355949,-427.616666667,-2267.891
41.848,604706,-355949,-427.616666667,-2246.533
42.021,605125,-355949,-427.616666667,-2247.513
42.168,627481,-355949,-427.616666667,-2299.793
42.327,644138,-355949,-427.616666667,-2338.747
42.483,662483,-355949,-427.616666667,-2381.647
42.659,680018,-355949,-427.616666667,-2422.653
42.813,695794,-355949,-427.616666667,-2459.546
42.977,698101,-355949,-427.616666667,-2464.941
43.139,712595,-355949,-427.616666667,-2498.836
43.308,730930,-355949,-427.616666667,-2541.713
43.465,744054,-355949,-427.616666667,-2572.404
43.532,751323,-355949,-427.616666667,-2589.403
43.691,764094,-355949,-427.616666667,-2619.269
43.861,732445,-355949,-427.616666667,-2545.256
44.027,711912,-355949,-427.616666667,-2497.239
