t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.042,-353180,-355949,-427.616666667,-6.475
0.354,-353142,-355949,-427.616666667,-6.564
0.414,-353142,-355949,-427.616666667,-6.564
0.687,-353283,-355949,-427.616666667,-6.235
0.931,-353318,-355949,-427.616666667,-6.153
1.199,-353291,-355949,-427.616666667,-6.216
1.480,-353273,-355949,-427.616666667,-6.258
1.709,-353070,-355949,-427.616666667,-6.733
1.946,-353369,-355949,-427.616666667,-6.033
2.157,-353266,-355949,-427.616666667,-6.274
2.394,-353161,-355949,-427.616666667,-6.520
2.643,-353286,-355949,-427.616666667,-6.228
2.843,-353284,-355949,-427.616666667,-6.232
3.017,-353330,-355949,-427.616666667,-6.125
3.237,-353432,-355949,-427.616666667,-5.886
3.399,-353337,-355949,-427.616666667,-6.108
3.575,-353266,-355949,-427.616666667,-6.274
3.732,-353057,-355949,-427.616666667,-6.763
3.909,-353231,-355949,-427.616666667,-6.356
4.088,-353197,-355949,-427.616666667,-6.436
4.269,-353069,-355949,-427.616666667,-6.735
4.427,-353062,-355949,-427.616666667,-6.751
4.580,-353254,-355949,-427.616666667,-6.302
4.750,-353091,-355949,-427.616666667,-6.684
4.898,-353158,-355949,-427.616666667,-6.527
5.054,-353160,-355949,-427.616666667,-6.522
5.245,-353116,-355949,-427.616666667,-6.625
5.404,-352971,-355949,-427.616666667,-6.964
5.561,-352707,-355949,-427.616666667,-7.582
5.755,-353093,-355949,-427.616666667,-6.679
5.917,-352820,-355949,-427.616666667,-7.317
6.062,-352483,-355949,-427.616666667,-8.105
6.237,-352185,-355949,-427.616666667,-8.802
6.407,-350470,-355949,-427.616666667,-12.813
6.611,-342305,-355949,-427.616666667,-31.907
6.776,-326804,-355949,-427.616666667,-68.157
6.955,-310766,-355949,-427.616666667,-105.662
7.165,-288968,-355949,-427.616666667,-156.638
7.350,-272780,-355949,-427.616666667,-194.494
7.531,-257524,-355949,-427.616666667,-230.171
7.689,-241151,-355949,-427.616666667,-268.460
7.860,-224961,-355949,-427.616666667,-306.321
8.024,-211918,-355949,-427.616666667,-336.823
8.225,-232763,-355949,-427.616666667,-288.076
8.379,-216107,-355949,-427.616666667,-327.027
8.550,-201693,-355949,-427.616666667,-360.734
8.717,-192514,-355949,-427.616666667,-382.200
8.920,-200237,-355949,-427.616666667,-364.139
9.094,-184347,-355949,-427.616666667,-401.299
9.276,-172810,-355949,-427.616666667,-428.278
9.442,-161580,-355949,-427.616666667,-454.540
9.595,-154164,-355949,-427.616666667,-471.883
9.752,-151173,-355949,-427.616666667,-478.877
9.943,-147729,-355949,-427.616666667,-486.931
10.009,-145784,-355949,-427.616666667,-491.480
10.166,-139192,-355949,-427.616666667,-506.896
10.340,-132781,-355949,-427.616666667,-521.888
10.502,-127532,-355949,-427.616666667,-534.163
10.668,-122875,-355949,-427.616666667,-545.054
10.824,-118531,-355949,-427.616666667,-555.212
11.012,-114616,-355949,-427.616666667,-564.368
11.176,-110486,-355949,-427.616666667,-574.026
11.341,-106744,-355949,-427.616666667,-582.777
11.512,-102187,-355949,-427.616666667,-593.433
11.684,-97776,-355949,-427.616666667,-603.749
11.861,-93097,-355949,-427.616666667,-614.691
12.046,-87029,-355949,-427.616666667,-628.881
12.220,-81663,-355949,-427.616666667,-641.430
12.398,-78900,-355949,-427.616666667,-647.891
12.562,-72276,-355949,-427.616666667,-663.382
12.762,-64007,-355949,-427.616666667,-682.719
