t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.052,-348183,-355949,-427.616666667,-18.161
0.113,-348021,-355949,-427.616666667,-18.540
0.404,-348497,-355949,-427.616666667,-17.427
0.466,-348575,-355949,-427.616666667,-17.244
0.546,-348810,-355949,-427.616666667,-16.695
0.819,-348602,-355949,-427.616666667,-17.181
1.054,-348658,-355949,-427.616666667,-17.050
1.381,-348080,-355949,-427.616666667,-18.402
1.642,-347830,-355949,-427.616666667,-18.987
1.881,-347409,-355949,-427.616666667,-19.971
2.088,-347331,-355949,-427.616666667,-20.154
2.302,-347382,-355949,-427.616666667,-20.034
2.460,-346519,-355949,-427.616666667,-22.052
2.615,-346776,-355949,-427.616666667,-21.451
2.763,-346257,-355949,-427.616666667,-22.665
2.919,-346047,-355949,-427.616666667,-23.156
3.085,-345951,-355949,-427.616666667,-23.381
3.241,-345699,-355949,-427.616666667,-23.970
3.390,-345689,-355949,-427.616666667,-23.993
3.573,-345917,-355949,-427.616666667,-23.460
3.736,-346000,-355949,-427.616666667,-23.266
3.965,-345955,-355949,-427.616666667,-23.371
4.149,-345746,-355949,-427.616666667,-23.860
4.368,-345693,-355949,-427.616666667,-23.984
4.594,-346106,-355949,-427.616666667,-23.018
4.785,-346221,-355949,-427.616666667,-22.749
4.948,-346353,-355949,-427.616666667,-22.441
5.110,-346400,-355949,-427.616666667,-22.331
5.278,-346643,-355949,-427.616666667,-21.762
5.457,-346266,-355949,-427.616666667,-22.644
5.622,-346956,-355949,-427.616666667,-21.031
5.804,-346694,-355949,-427.616666667,-21.643
5.990,-347228,-355949,-427.616666667,-20.394
6.168,-347283,-355949,-427.616666667,-20.266
6.373,-347173,-355949,-427.616666667,-20.523
6.535,-347090,-355949,-427.616666667,-20.717
6.706,-346280,-355949,-427.616666667,-22.611
6.891,-345554,-355949,-427.616666667,-24.309
7.068,-343986,-355949,-427.616666667,-27.976
7.259,-342560,-355949,-427.616666667,-31.311
7.452,-340461,-355949,-427.616666667,-36.219
7.650,-338360,-355949,-427.616666667,-41.133
7.833,-336119,-355949,-427.616666667,-46.373
8.022,-333242,-355949,-427.616666667,-53.101
8.211,-330706,-355949,-427.616666667,-59.032
8.361,-327989,-355949,-427.616666667,-65.386
8.535,-325834,-355949,-427.616666667,-70.425
8.699,-323103,-355949,-427.616666667,-76.812
8.852,-320440,-355949,-427.616666667,-83.039
9.033,-316861,-355949,-427.616666667,-91.409
9.208,-314373,-355949,-427.616666667,-97.227
9.401,-311391,-355949,-427.616666667,-104.201
9.550,-308422,-355949,-427.616666667,-111.144
9.710,-305597,-355949,-427.616666667,-117.750
9.868,-302746,-355949,-427.616666667,-124.418
10.052,-299156,-355949,-427.616666667,-132.813
10.212,-295804,-355949,-427.616666667,-140.652
10.380,-293024,-355949,-427.616666667,-147.153
10.438,-291819,-355949,-427.616666667,-149.971
10.592,-288912,-355949,-427.616666667,-156.769
10.758,-285375,-355949,-427.616666667,-165.040
10.923,-281358,-355949,-427.616666667,-174.434
11.118,-277796,-355949,-427.616666667,-182.764
11.283,-273433,-355949,-427.616666667,-192.967
11.457,-269115,-355949,-427.616666667,-203.065
11.636,-265111,-355949,-427.616666667,-212.429
11.807,-261562,-355949,-427.616666667,-220.728
11.999,-258336,-355949,-427.616666667,-228.272
12.147,-254287,-355949,-427.616666667,-237.741
12.341,-250108,-355949,-427.616666667,-247.514
12.501,-245811,-355949,-427.616666667,-257.562
12.656,-242829,-355949,-427.616666667,-264.536
12.716,-241346,-355949,-427.616666667,-268.004
12.861,-237023,-355949,-427.616666667,-278.114
13.004,-233798,-355949,-427.616666667,-285.655
13.171,-230860,-355949,-427.616666667,-292.526
13.336,-227491,-355949,-427.616666667,-300.405
13.514,-222762,-355949,-427.616666667,-311.464
13.685,-219838,-355949,-427.616666667,-318.301
13.867,-215664,-355949,-427.616666667,-328.063
14.061,-214128,-355949,-427.616666667,-331.655
14.241,-209461,-355949,-427.616666667,-342.568
14.432,-205080,-355949,-427.616666667,-352.814
14.608,-200277,-355949,-427.616666667,-364.046
14.807,-196064,-355949,-427.616666667,-373.898
14.977,-192254,-355949,-427.616666667,-382.808
15.164,-188197,-355949,-427.616666667,-392.295
15.408,-183094,-355949,-427.616666667,-404.229
15.582,-178900,-355949,-427.616666667,-414.037
15.769,-175344,-355949,-427.616666667,-422.353
15.966,-171119,-355949,-427.616666667,-432.233
16.138,-167410,-355949,-427.616666667,-440.907
16.333,-163648,-355949,-427.616666667,-449.704
16.519,-160276,-355949,-427.616666667,-457.590
16.689,-160721,-355949,-427.616666667,-456.549
16.861,-156502,-355949,-427.616666667,-466.415
17.031,-153567,-355949,-427.616666667,-473.279
17.198,-150888,-355949,-427.616666667,-479.544
17.383,-146741,-355949,-427.616666667,-489.242
17.568,-143771,-355949,-427.616666667,-496.187
17.757,-140697,-355949,-427.616666667,-503.376
17.930,-137424,-355949,-427.616666667,-511.030
18.112,-134310,-355949,-427.616666667,-518.312
18.278,-130757,-355949,-427.616666667,-526.621
18.453,-126971,-355949,-427.616666667,-535.475
18.619,-124110,-355949,-427.616666667,-542.165
18.776,-122087,-355949,-427.616666667,-546.896
18.982,-120524,-355949,-427.616666667,-550.552
19.134,-118815,-355949,-427.616666667,-554.548
19.323,-116348,-355949,-427.616666667,-560.317
19.486,-114409,-355949,-427.616666667,-564.852
19.664,-111509,-355949,-427.616666667,-571.633
19.843,-109771,-355949,-427.616666667,-575.698
20.011,-107863,-355949,-427.616666667,-580.160
20.186,-105866,-355949,-427.616666667,-584.830
20.377,-103922,-355949,-427.616666667,-589.376
20.574,-102709,-355949,-427.616666667,-592.213
20.744,-101595,-355949,-427.616666667,-594.818
20.912,-100486,-355949,-427.616666667,-597.411
21.096,-99500,-355949,-427.616666667,-599.717
21.243,-98056,-355949,-427.616666667,-603.094
21.416,-96819,-355949,-427.616666667,-605.987
21.583,-95285,-355949,-427.616666667,-609.574
21.748,-93668,-355949,-427.616666667,-613.355
21.900,-92230,-355949,-427.616666667,-616.718
22.053,-90919,-355949,-427.616666667,-619.784
22.210,-89464,-355949,-427.616666667,-623.187
22.374,-88024,-355949,-427.616666667,-626.554
22.526,-86110,-355949,-427.616666667,-631.030
22.705,-84751,-355949,-427.616666667,-634.208
22.867,-82963,-355949,-427.616666667,-638.390
23.039,-81016,-355949,-427.616666667,-642.943
23.200,-79694,-355949,-427.616666667,-646.034
23.366,-80456,-355949,-427.616666667,-644.252
23.528,-80593,-355949,-427.616666667,-643.932
23.680,-80197,-355949,-427.616666667,-644.858
23.842,-80358,-355949,-427.616666667,-644.481
24.007,-80296,-355949,-427.616666667,-644.626
24.262,-79940,-355949,-427.616666667,-645.459
24.413,-79608,-355949,-427.616666667,-646.235
24.593,-79531,-355949,-427.616666667,-646.415
24.749,-79531,-355949,-427.616666667,-646.415
24.916,-79544,-355949,-427.616666667,-646.385
25.080,-79855,-355949,-427.616666667,-645.658
25.245,-79520,-355949,-427.616666667,-646.441
25.399,-79498,-355949,-427.616666667,-646.493
25.566,-79165,-355949,-427.616666667,-647.271
25.735,-78669,-355949,-427.616666667,-648.431
25.911,-78743,-355949,-427.616666667,-648.258
26.076,-81776,-355949,-427.616666667,-641.165
26.256,-86847,-355949,-427.616666667,-629.307
26.422,-91296,-355949,-427.616666667,-618.902
26.590,-96141,-355949,-427.616666667,-607.572
26.743,-100030,-355949,-427.616666667,-598.478
26.926,-104926,-355949,-427.616666667,-587.028
27.099,-109743,-355949,-427.616666667,-575.763
27.250,-113807,-355949,-427.616666667,-566.260
27.429,-118285,-355949,-427.616666667,-555.788
27.596,-122186,-355949,-427.616666667,-546.665
27.762,-125842,-355949,-427.616666667,-538.115
27.929,-129598,-355949,-427.616666667,-529.332
28.095,-133454,-355949,-427.616666667,-520.314
28.263,-136422,-355949,-427.616666667,-513.373
28.416,-139371,-355949,-427.616666667,-506.477
28.633,-143573,-355949,-427.616666667,-496.650
28.799,-146852,-355949,-427.616666667,-488.982
28.977,-149904,-355949,-427.616666667,-481.845
29.136,-152605,-355949,-427.616666667,-475.529
29.302,-155609,-355949,-427.616666667,-468.504
29.478,-159281,-355949,-427.616666667,-459.917
29.636,-161770,-355949,-427.616666667,-454.096
29.820,-165238,-355949,-427.616666667,-445.986
29.981,-168023,-355949,-427.616666667,-439.473
30.040,-169027,-355949,-427.616666667,-437.125
30.218,-171802,-355949,-427.616666667,-430.636
30.390,-174101,-355949,-427.616666667,-425.259
30.562,-176888,-355949,-427.616666667,-418.742
30.745,-179509,-355949,-427.616666667,-412.613
30.926,-182316,-355949,-427.616666667,-406.048
31.105,-184512,-355949,-427.616666667,-400.913
31.281,-186872,-355949,-427.616666667,-395.394
31.460,-188865,-355949,-427.616666667,-390.733
31.628,-191129,-355949,-427.616666667,-385.439
31.804,-193361,-355949,-427.616666667,-380.219
31.980,-196552,-355949,-427.616666667,-372.757
32.159,-199609,-355949,-427.616666667,-365.608
32.331,-202724,-355949,-427.616666667,-358.323
32.528,-206642,-355949,-427.616666667,-349.161
32.704,-209923,-355949,-427.616666667,-341.488
32.890,-213789,-355949,-427.616666667,-332.447
33.066,-217721,-355949,-427.616666667,-323.252
33.234,-221166,-355949,-427.616666667,-315.196
33.412,-225386,-355949,-427.616666667,-305.327
33.587,-229137,-355949,-427.616666667,-296.555
33.750,-232433,-355949,-427.616666667,-288.847
33.916,-235837,-355949,-427.616666667,-280.887
34.099,-240022,-355949,-427.616666667,-271.100
34.270,-243101,-355949,-427.616666667,-263.900
34.452,-246742,-355949,-427.616666667,-255.385
34.634,-250662,-355949,-427.616666667,-246.218
34.825,-254742,-355949,-427.616666667,-236.677
35.005,-258346,-355949,-427.616666667,-228.249
35.191,-263218,-355949,-427.616666667,-216.855
35.363,-267368,-355949,-427.616666667,-207.150
35.534,-271761,-355949,-427.616666667,-196.877
35.761,-276373,-355949,-427.616666667,-186.092
35.932,-281142,-355949,-427.616666667,-174.939
36.099,-285102,-355949,-427.616666667,-165.679
36.270,-289070,-355949,-427.616666667,-156.399
36.438,-292432,-355949,-427.616666667,-148.537
36.605,-296400,-355949,-427.616666667,-139.258
36.778,-299885,-355949,-427.616666667,-131.108
36.966,-304397,-355949,-427.616666667,-120.557
37.160,-308417,-355949,-427.616666667,-111.156
37.326,-312301,-355949,-427.616666667,-102.073
37.471,-315294,-355949,-427.616666667,-95.073
37.668,-319523,-355949,-427.616666667,-85.184
37.837,-322826,-355949,-427.616666667,-77.460
37.991,-325898,-355949,-427.616666667,-70.276
38.169,-329827,-355949,-427.616666667,-61.087
38.314,-331745,-355949,-427.616666667,-56.602
