t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.052,-354973,-355949,-427.616666667,-2.282
0.329,-354977,-355949,-427.616666667,-2.273
0.386,-354981,-355949,-427.616666667,-2.264
0.734,-354961,-355949,-427.616666667,-2.310
1.013,-354429,-355949,-427.616666667,-3.555
1.078,-354846,-355949,-427.616666667,-2.579
1.370,-355045,-355949,-427.616666667,-2.114
1.622,-355064,-355949,-427.616666667,-2.070
1.893,-354839,-355949,-427.616666667,-2.596
2.128,-354962,-355949,-427.616666667,-2.308
2.318,-354893,-355949,-427.616666667,-2.470
2.485,-355013,-355949,-427.616666667,-2.189
2.667,-354977,-355949,-427.616666667,-2.273
2.839,-354817,-355949,-427.616666667,-2.647
3.031,-354876,-355949,-427.616666667,-2.509
3.203,-355083,-355949,-427.616666667,-2.025
3.382,-354997,-355949,-427.616666667,-2.226
3.572,-355009,-355949,-427.616666667,-2.198
3.762,-354712,-355949,-427.616666667,-2.893
3.956,-354700,-355949,-427.616666667,-2.921
4.140,-355132,-355949,-427.616666667,-1.911
4.325,-354912,-355949,-427.616666667,-2.425
4.488,-353730,-355949,-427.616666667,-5.189
4.664,-353050,-355949,-427.616666667,-6.779
4.831,-352019,-355949,-427.616666667,-9.190
5.017,-350650,-355949,-427.616666667,-12.392
5.182,-349024,-355949,-427.616666667,-16.194
5.362,-347541,-355949,-427.616666667,-19.662
5.565,-345146,-355949,-427.616666667,-25.263
5.742,-342911,-355949,-427.616666667,-30.490
5.892,-341486,-355949,-427.616666667,-33.822
6.102,-339253,-355949,-427.616666667,-39.044
6.295,-337473,-355949,-427.616666667,-43.207
6.458,-335923,-355949,-427.616666667,-46.832
6.613,-334559,-355949,-427.616666667,-50.021
6.789,-332742,-355949,-427.616666667,-54.271
6.963,-331660,-355949,-427.616666667,-56.801
7.136,-330314,-355949,-427.616666667,-59.949
7.316,-329461,-355949,-427.616666667,-61.943
7.490,-327970,-355949,-427.616666667,-65.430
7.669,-327060,-355949,-427.616666667,-67.558
7.867,-326135,-355949,-427.616666667,-69.721
8.047,-325544,-355949,-427.616666667,-71.103
8.239,-324799,-355949,-427.616666667,-72.846
8.403,-324550,-355949,-427.616666667,-73.428
8.583,-324030,-355949,-427.616666667,-74.644
8.745,-323589,-355949,-427.616666667,-75.675
8.936,-323418,-355949,-427.616666667,-76.075
9.097,-322997,-355949,-427.616666667,-77.060
9.266,-322771,-355949,-427.616666667,-77.588
9.431,-322806,-355949,-427.616666667,-77.506
9.599,-322396,-355949,-427.616666667,-78.465
9.780,-321964,-355949,-427.616666667,-79.475
9.951,-321777,-355949,-427.616666667,-79.913
10.127,-321754,-355949,-427.616666667,-79.966
10.315,-321307,-355949,-427.616666667,-81.012
10.497,-321232,-355949,-427.616666667,-81.187
10.675,-320973,-355949,-427.616666667,-81.793
10.864,-320800,-355949,-427.616666667,-82.197
11.040,-320441,-355949,-427.616666667,-83.037
11.234,-320008,-355949,-427.616666667,-84.050
11.381,-320050,-355949,-427.616666667,-83.951
11.566,-320156,-355949,-427.616666667,-83.703
11.727,-319631,-355949,-427.616666667,-84.931
11.884,-319757,-355949,-427.616666667,-84.637
12.032,-319421,-355949,-427.616666667,-85.422
12.199,-319148,-355949,-427.616666667,-86.061
12.370,-318941,-355949,-427.616666667,-86.545
12.521,-318911,-355949,-427.616666667,-86.615
12.664,-318555,-355949,-427.616666667,-87.447
12.853,-318687,-355949,-427.616666667,-87.139
13.018,-318566,-355949,-427.616666667,-87.422
13.184,-318351,-355949,-427.616666667,-87.925
13.353,-317926,-355949,-427.616666667,-88.918
13.511,-318167,-355949,-427.616666667,-88.355
13.682,-317662,-355949,-427.616666667,-89.536
13.854,-317525,-355949,-427.616666667,-89.856
14.026,-317693,-355949,-427.616666667,-89.463
14.205,-317127,-355949,-427.616666667,-90.787
14.366,-317348,-355949,-427.616666667,-90.270
14.548,-317105,-355949,-427.616666667,-90.838
14.709,-317040,-355949,-427.616666667,-90.990
14.890,-316799,-355949,-427.616666667,-91.554
15.065,-316663,-355949,-427.616666667,-91.872
15.227,-316483,-355949,-427.616666667,-92.293
15.400,-316163,-355949,-427.616666667,-93.041
15.576,-316035,-355949,-427.616666667,-93.341
15.739,-315871,-355949,-427.616666667,-93.724
15.891,-315624,-355949,-427.616666667,-94.302
16.056,-315713,-355949,-427.616666667,-94.094
16.250,-315502,-355949,-427.616666667,-94.587
16.416,-315182,-355949,-427.616666667,-95.335
16.605,-315066,-355949,-427.616666667,-95.607
16.783,-314860,-355949,-427.616666667,-96.088
16.947,-314674,-355949,-427.616666667,-96.523
17.117,-314260,-355949,-427.616666667,-97.492
17.280,-314578,-355949,-427.616666667,-96.748
17.444,-314202,-355949,-427.616666667,-97.627
17.611,-314041,-355949,-427.616666667,-98.004
17.778,-313733,-355949,-427.616666667,-98.724
17.950,-313598,-355949,-427.616666667,-99.040
18.132,-313284,-355949,-427.616666667,-99.774
18.292,-313311,-355949,-427.616666667,-99.711
18.467,-313275,-355949,-427.616666667,-99.795
18.651,-313199,-355949,-427.616666667,-99.973
18.830,-312837,-355949,-427.616666667,-100.819
19.009,-312623,-355949,-427.616666667,-101.320
19.187,-312507,-355949,-427.616666667,-101.591
19.376,-312259,-355949,-427.616666667,-102.171
19.549,-312136,-355949,-427.616666667,-102.459
19.753,-311885,-355949,-427.616666667,-103.046
19.920,-311760,-355949,-427.616666667,-103.338
20.109,-311613,-355949,-427.616666667,-103.682
20.298,-311005,-355949,-427.616666667,-105.103
20.459,-310906,-355949,-427.616666667,-105.335
20.640,-310757,-355949,-427.616666667,-105.683
20.794,-310404,-355949,-427.616666667,-106.509
20.959,-310390,-355949,-427.616666667,-106.542
21.111,-310508,-355949,-427.616666667,-106.266
21.303,-309843,-355949,-427.616666667,-107.821
21.455,-309693,-355949,-427.616666667,-108.172
21.607,-309398,-355949,-427.616666667,-108.862
21.762,-309297,-355949,-427.616666667,-109.098
21.928,-309196,-355949,-427.616666667,-109.334
22.080,-308994,-355949,-427.616666667,-109.806
22.250,-308660,-355949,-427.616666667,-110.587
22.416,-308256,-355949,-427.616666667,-111.532
22.570,-308025,-355949,-427.616666667,-112.072
22.740,-307915,-355949,-427.616666667,-112.330
22.899,-307460,-355949,-427.616666667,-113.394
23.070,-307330,-355949,-427.616666667,-113.698
23.226,-306962,-355949,-427.616666667,-114.558
23.372,-307048,-355949,-427.616666667,-114.357
23.524,-306621,-355949,-427.616666667,-115.356
23.706,-306356,-355949,-427.616666667,-115.975
23.865,-305989,-355949,-427.616666667,-116.834
24.013,-305870,-355949,-427.616666667,-117.112
24.190,-305387,-355949,-427.616666667,-118.241
24.370,-305064,-355949,-427.616666667,-118.997
24.538,-304967,-355949,-427.616666667,-119.224
24.727,-304460,-355949,-427.616666667,-120.409
24.917,-304196,-355949,-427.616666667,-121.027
25.077,-304125,-355949,-427.616666667,-121.193
25.234,-304287,-355949,-427.616666667,-120.814
25.397,-303270,-355949,-427.616666667,-123.192
25.572,-303164,-355949,-427.616666667,-123.440
25.738,-302853,-355949,-427.616666667,-124.167
25.918,-303607,-355949,-427.616666667,-122.404
26.085,-305082,-355949,-427.616666667,-118.955
26.252,-305898,-355949,-427.616666667,-117.046
26.452,-306675,-355949,-427.616666667,-115.229
26.620,-306762,-355949,-427.616666667,-115.026
26.785,-307351,-355949,-427.616666667,-113.649
26.965,-307586,-355949,-427.616666667,-113.099
27.127,-308006,-355949,-427.616666667,-112.117
27.299,-308131,-355949,-427.616666667,-111.824
27.481,-308548,-355949,-427.616666667,-110.849
27.659,-308894,-355949,-427.616666667,-110.040
27.829,-309255,-355949,-427.616666667,-109.196
27.990,-309518,-355949,-427.616666667,-108.581
28.159,-309685,-355949,-427.616666667,-108.190
28.320,-309834,-355949,-427.616666667,-107.842
28.500,-310226,-355949,-427.616666667,-106.925
28.681,-312967,-355949,-427.616666667,-100.515
28.867,-317945,-355949,-427.616666667,-88.874
29.046,-322023,-355949,-427.616666667,-79.337
29.218,-326307,-355949,-427.616666667,-69.319
29.391,-330089,-355949,-427.616666667,-60.475
29.572,-333790,-355949,-427.616666667,-51.820
29.756,-337705,-355949,-427.616666667,-42.664
29.918,-340480,-355949,-427.616666667,-36.175
30.098,-343857,-355949,-427.616666667,-28.278
30.267,-346709,-355949,-427.616666667,-21.608
30.427,-349472,-355949,-427.616666667,-15.147
30.620,-351812,-355949,-427.616666667,-9.675
30.788,-353721,-355949,-427.616666667,-5.210
30.962,-355158,-355949,-427.616666667,-1.850
31.132,-355806,-355949,-427.616666667,-0.334
31.292,-356078,-355949,-427.616666667,0.302
31.493,-356232,-355949,-427.616666667,0.662
31.657,-356166,-355949,-427.616666667,0.507
31.724,-356273,-355949,-427.616666667,0.758
31.899,-356219,-355949,-427.616666667,0.631
32.078,-356224,-355949,-427.616666667,0.643
32.247,-356195,-355949,-427.616666667,0.575
32.416,-356330,-355949,-427.616666667,0.891
32.590,-356252,-355949,-427.616666667,0.709
32.762,-356047,-355949,-427.616666667,0.229
32.939,-356114,-355949,-427.616666667,0.386
33.090,-356093,-355949,-427.616666667,0.337
33.262,-356034,-355949,-427.616666667,0.199
33.424,-356119,-355949,-427.616666667,0.398
33.585,-356168,-355949,-427.616666667,0.512
33.738,-356230,-355949,-427.616666667,0.657
33.910,-356196,-355949,-427.616666667,0.578
34.077,-355974,-355949,-427.616666667,0.058
34.277,-356319,-355949,-427.616666667,0.865
34.462,-356177,-355949,-427.616666667,0.533
34.641,-356161,-355949,-427.616666667,0.496
34.823,-356346,-355949,-427.616666667,0.928
35.001,-356141,-355949,-427.616666667,0.449
35.160,-356024,-355949,-427.616666667,0.175
35.351,-356149,-355949,-427.616666667,0.468
35.502,-355943,-355949,-427.616666667,-0.014
35.717,-356096,-355949,-427.616666667,0.344
35.887,-356462,-355949,-427.616666667,1.200
36.087,-356416,-355949,-427.616666667,1.092
36.313,-356466,-355949,-427.616666667,1.209
36.575,-355991,-355949,-427.616666667,0.098
36.628,-356212,-355949,-427.616666667,0.615
36.836,-356090,-355949,-427.616666667,0.330
37.095,-356042,-355949,-427.616666667,0.217
37.262,-356270,-355949,-427.616666667,0.751
37.445,-356300,-355949,-427.616666667,0.821
37.610,-355949,-355949,-427.616666667,-0.000
