t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.042,-348845,-355949,-427.616666667,-16.613
0.337,-348834,-355949,-427.616666667,-16.639
0.640,-348632,-355949,-427.616666667,-17.111
0.873,-349091,-355949,-427.616666667,-16.038
1.142,-348990,-355949,-427.616666667,-16.274
1.409,-348657,-355949,-427.616666667,-17.053
1.465,-349096,-355949,-427.616666667,-16.026
1.704,-348862,-355949,-427.616666667,-16.573
1.912,-348747,-355949,-427.616666667,-16.842
2.101,-348900,-355949,-427.616666667,-16.484
2.286,-349169,-355949,-427.616666667,-15.855
2.483,-348800,-355949,-427.616666667,-16.718
2.659,-348870,-355949,-427.616666667,-16.555
2.837,-348845,-355949,-427.616666667,-16.613
3.003,-348959,-355949,-427.616666667,-16.346
3.183,-348896,-355949,-427.616666667,-16.494
3.350,-348892,-355949,-427.616666667,-16.503
3.532,-348767,-355949,-427.616666667,-16.795
3.704,-348775,-355949,-427.616666667,-16.777
3.899,-348772,-355949,-427.616666667,-16.784
4.083,-348923,-355949,-427.616666667,-16.431
4.269,-348839,-355949,-427.616666667,-16.627
4.438,-348963,-355949,-427.616666667,-16.337
4.599,-348718,-355949,-427.616666667,-16.910
4.784,-348775,-355949,-427.616666667,-16.777
4.952,-348843,-355949,-427.616666667,-16.618
5.130,-348833,-355949,-427.616666667,-16.641
5.282,-348549,-355949,-427.616666667,-17.305
5.459,-347748,-355949,-427.616666667,-19.178
5.623,-347583,-355949,-427.616666667,-19.564
5.810,-346803,-355949,-427.616666667,-21.388
5.988,-345726,-355949,-427.616666667,-23.907
6.166,-343743,-355949,-427.616666667,-28.544
6.335,-341929,-355949,-427.616666667,-32.786
6.512,-338680,-355949,-427.616666667,-40.384
6.704,-332769,-355949,-427.616666667,-54.207
6.894,-325159,-355949,-427.616666667,-72.004
7.083,-319450,-355949,-427.616666667,-85.354
7.285,-311455,-355949,-427.616666667,-104.051
7.462,-299649,-355949,-427.616666667,-131.660
7.615,-287337,-355949,-427.616666667,-160.452
7.804,-267659,-355949,-427.616666667,-206.470
7.990,-247541,-355949,-427.616666667,-253.517
8.171,-229758,-355949,-427.616666667,-295.103
8.339,-199568,-355949,-427.616666667,-365.704
8.525,-170605,-355949,-427.616666667,-433.435
8.683,-140743,-355949,-427.616666667,-503.269
8.846,-108182,-355949,-427.616666667,-579.414
9.011,-71750,-355949,-427.616666667,-664.612
9.189,-34594,-355949,-427.616666667,-751.503
9.368,4163,-355949,-427.616666667,-842.137
9.509,37111,-355949,-427.616666667,-919.188
9.678,72612,-355949,-427.616666667,-1002.208
9.841,108056,-355949,-427.616666667,-1085.096
10.010,139747,-355949,-427.616666667,-1159.206
10.185,177449,-355949,-427.616666667,-1247.374
10.350,212515,-355949,-427.616666667,-1329.378
10.526,243651,-355949,-427.616666667,-1402.190
10.704,231333,-355949,-427.616666667,-1373.384
10.882,-348297,-355949,-427.616666667,-17.895
11.065,-348958,-355949,-427.616666667,-16.349
11.250,-348804,-355949,-427.616666667,-16.709
11.424,-348493,-355949,-427.616666667,-17.436
11.606,-348876,-355949,-427.616666667,-16.541
11.787,-349101,-355949,-427.616666667,-16.014
11.980,-348867,-355949,-427.616666667,-16.562
12.160,-348976,-355949,-427.616666667,-16.307
12.365,-348731,-355949,-427.616666667,-16.880
12.540,-348914,-355949,-427.616666667,-16.452
12.703,-349004,-355949,-427.616666667,-16.241
12.769,-349034,-355949,-427.616666667,-16.171
12.940,-349072,-355949,-427.616666667,-16.082
13.121,-349025,-355949,-427.616666667,-16.192
13.302,-348977,-355949,-427.616666667,-16.304
13.491,-349026,-355949,-427.616666667,-16.190
13.664,-349000,-355949,-427.616666667,-16.251
13.841,-348785,-355949,-427.616666667,-16.753
14.007,-348818,-355949,-427.616666667,-16.676
14.185,-348719,-355949,-427.616666667,-16.908
14.389,-348869,-355949,-427.616666667,-16.557
14.569,-349198,-355949,-427.616666667,-15.788
14.755,-348946,-355949,-427.616666667,-16.377
14.929,-349069,-355949,-427.616666667,-16.089
15.116,-348660,-355949,-427.616666667,-17.046
15.312,-348876,-355949,-427.616666667,-16.541
15.489,-348928,-355949,-427.616666667,-16.419
15.666,-348828,-355949,-427.616666667,-16.653
15.722,-348707,-355949,-427.616666667,-16.936
15.916,-348943,-355949,-427.616666667,-16.384
16.106,-348958,-355949,-427.616666667,-16.349
16.292,-349193,-355949,-427.616666667,-15.799
16.481,-348645,-355949,-427.616666667,-17.081
16.665,-349013,-355949,-427.616666667,-16.220
16.838,-348973,-355949,-427.616666667,-16.314
17.027,-348943,-355949,-427.616666667,-16.384
17.212,-348998,-355949,-427.616666667,-16.255
17.396,-349096,-355949,-427.616666667,-16.026
17.578,-349034,-355949,-427.616666667,-16.171
17.752,-348938,-355949,-427.616666667,-16.396
17.941,-348965,-355949,-427.616666667,-16.332
18.106,-348930,-355949,-427.616666667,-16.414
18.282,-348945,-355949,-427.616666667,-16.379
18.474,-348908,-355949,-427.616666667,-16.466
18.660,-348929,-355949,-427.616666667,-16.417
18.851,-348977,-355949,-427.616666667,-16.304
19.020,-348860,-355949,-427.616666667,-16.578
19.201,-349093,-355949,-427.616666667,-16.033
19.403,-349059,-355949,-427.616666667,-16.113
19.598,-348957,-355949,-427.616666667,-16.351
19.781,-348922,-355949,-427.616666667,-16.433
19.955,-348987,-355949,-427.616666667,-16.281
20.147,-348838,-355949,-427.616666667,-16.629
20.322,-348788,-355949,-427.616666667,-16.746
20.523,-348979,-355949,-427.616666667,-16.300
20.701,-349024,-355949,-427.616666667,-16.194
20.866,-348929,-355949,-427.616666667,-16.417
21.045,-348892,-355949,-427.616666667,-16.503
21.208,-349047,-355949,-427.616666667,-16.141
21.362,-349084,-355949,-427.616666667,-16.054
21.527,-317194,-355949,-427.616666667,-90.630
21.697,-346104,-355949,-427.616666667,-23.023
21.864,-347643,-355949,-427.616666667,-19.424
22.039,-350343,-355949,-427.616666667,-13.110
22.205,-348865,-355949,-427.616666667,-16.566
22.394,-319884,-355949,-427.616666667,-84.340
22.573,-342979,-355949,-427.616666667,-30.331
22.725,-319790,-355949,-427.616666667,-84.559
22.894,-303300,-355949,-427.616666667,-123.122
23.105,-291294,-355949,-427.616666667,-151.199
23.300,-348910,-355949,-427.616666667,-16.461
23.524,-349128,-355949,-427.616666667,-15.951
23.569,-349041,-355949,-427.616666667,-16.155
23.768,-340293,-355949,-427.616666667,-36.612
