t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.042,-347006,-355949,-427.616666667,-20.914
0.343,-347617,-355949,-427.616666667,-19.485
0.696,-347558,-355949,-427.616666667,-19.623
0.961,-347634,-355949,-427.616666667,-19.445
1.247,-346800,-355949,-427.616666667,-21.395
1.501,-347069,-355949,-427.616666667,-20.766
1.751,-346912,-355949,-427.616666667,-21.133
1.991,-346892,-355949,-427.616666667,-21.180
2.194,-347472,-355949,-427.616666667,-19.824
2.358,-345269,-355949,-427.616666667,-24.976
2.543,-338860,-355949,-427.616666667,-39.963
2.711,-331835,-355949,-427.616666667,-56.392
2.896,-326435,-355949,-427.616666667,-69.020
3.065,-322965,-355949,-427.616666667,-77.135
3.247,-319718,-355949,-427.616666667,-84.728
3.429,-316072,-355949,-427.616666667,-93.254
3.618,-312337,-355949,-427.616666667,-101.989
3.787,-309732,-355949,-427.616666667,-108.080
3.941,-306643,-355949,-427.616666667,-115.304
4.130,-302905,-355949,-427.616666667,-124.046
4.293,-299452,-355949,-427.616666667,-132.121
4.466,-296924,-355949,-427.616666667,-138.033
4.639,-293431,-355949,-427.616666667,-146.201
4.807,-290797,-355949,-427.616666667,-152.361
4.982,-287193,-355949,-427.616666667,-160.789
5.164,-283715,-355949,-427.616666667,-168.922
5.338,-280488,-355949,-427.616666667,-176.469
5.515,-277033,-355949,-427.616666667,-184.548
5.671,-274298,-355949,-427.616666667,-190.944
5.846,-271116,-355949,-427.616666667,-198.386
6.025,-267701,-355949,-427.616666667,-206.372
6.198,-264863,-355949,-427.616666667,-213.009
6.335,-262206,-355949,-427.616666667,-219.222
6.509,-258885,-355949,-427.616666667,-226.988
6.684,-256133,-355949,-427.616666667,-233.424
6.840,-252847,-355949,-427.616666667,-241.108
6.995,-250023,-355949,-427.616666667,-247.713
7.147,-246825,-355949,-427.616666667,-255.191
7.298,-244126,-355949,-427.616666667,-261.503
7.483,-240726,-355949,-427.616666667,-269.454
