t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
0.053,-350489,-355949,-427.616666667,-12.768
0.112,-351034,-355949,-427.616666667,-11.494
0.172,-350423,-355949,-427.616666667,-12.923
0.442,-350316,-355949,-427.616666667,-13.173
0.501,-350325,-355949,-427.616666667,-13.152
0.804,-350475,-355949,-427.616666667,-12.801
1.077,-350548,-355949,-427.616666667,-12.630
1.340,-350348,-355949,-427.616666667,-13.098
1.591,-350508,-355949,-427.616666667,-12.724
1.859,-350251,-355949,-427.616666667,-13.325
2.087,-350307,-355949,-427.616666667,-13.194
2.322,-350297,-355949,-427.616666667,-13.217
2.509,-350080,-355949,-427.616666667,-13.725
2.686,-350364,-355949,-427.616666667,-13.061
2.844,-350495,-355949,-427.616666667,-12.754
3.022,-350381,-355949,-427.616666667,-13.021
3.201,-350387,-355949,-427.616666667,-13.007
3.377,-350072,-355949,-427.616666667,-13.744
3.559,-350529,-355949,-427.616666667,-12.675
3.744,-350336,-355949,-427.616666667,-13.126
3.937,-350556,-355949,-427.616666667,-12.612
4.119,-350445,-355949,-427.616666667,-12.871
4.287,-350547,-355949,-427.616666667,-12.633
4.441,-350452,-355949,-427.616666667,-12.855
4.597,-350249,-355949,-427.616666667,-13.330
4.747,-350467,-355949,-427.616666667,-12.820
4.893,-350507,-355949,-427.616666667,-12.726
5.035,-350209,-355949,-427.616666667,-13.423
5.200,-350429,-355949,-427.616666667,-12.909
5.375,-350606,-355949,-427.616666667,-12.495
5.537,-350511,-355949,-427.616666667,-12.717
5.707,-350595,-355949,-427.616666667,-12.521
5.868,-350449,-355949,-427.616666667,-12.862
6.051,-350560,-355949,-427.616666667,-12.602
6.211,-350576,-355949,-427.616666667,-12.565
6.372,-349797,-355949,-427.616666667,-14.387
6.556,-346209,-355949,-427.616666667,-22.777
6.744,-343307,-355949,-427.616666667,-29.564
6.944,-339741,-355949,-427.616666667,-37.903
7.149,-335945,-355949,-427.616666667,-46.780
7.358,-332189,-355949,-427.616666667,-55.564
7.553,-328450,-355949,-427.616666667,-64.308
7.747,-324739,-355949,-427.616666667,-72.986
7.935,-321269,-355949,-427.616666667,-81.101
8.136,-317216,-355949,-427.616666667,-90.579
8.339,-313784,-355949,-427.616666667,-98.605
8.499,-310810,-355949,-427.616666667,-105.559
8.668,-307422,-355949,-427.616666667,-113.482
8.827,-304757,-355949,-427.616666667,-119.715
8.976,-301558,-355949,-427.616666667,-127.196
9.229,-297169,-355949,-427.616666667,-137.460
9.387,-293960,-355949,-427.616666667,-144.964
9.550,-291149,-355949,-427.616666667,-151.538
9.733,-287584,-355949,-427.616666667,-159.874
9.898,-284979,-355949,-427.616666667,-165.966
10.081,-281523,-355949,-427.616666667,-174.048
10.270,-278021,-355949,-427.616666667,-182.238
10.430,-275140,-355949,-427.616666667,-188.975
10.601,-272077,-355949,-427.616666667,-196.138
10.761,-269100,-355949,-427.616666667,-203.100
10.937,-265765,-355949,-427.616666667,-210.899
11.118,-262563,-355949,-427.616666667,-218.387
11.270,-260069,-355949,-427.616666667,-224.220
11.415,-257631,-355949,-427.616666667,-229.921
11.580,-254660,-355949,-427.616666667,-236.869
11.718,-251991,-355949,-427.616666667,-243.110
11.783,-251120,-355949,-427.616666667,-245.147
11.945,-248209,-355949,-427.616666667,-251.955
12.126,-244931,-355949,-427.616666667,-259.620
12.311,-241231,-355949,-427.616666667,-268.273
12.491,-237530,-355949,-427.616666667,-276.928
12.695,-234097,-355949,-427.616666667,-284.956
12.858,-230754,-355949,-427.616666667,-292.774
13.046,-227816,-355949,-427.616666667,-299.645
13.217,-224628,-355949,-427.616666667,-307.100
13.399,-220954,-355949,-427.616666667,-315.692
13.593,-217745,-355949,-427.616666667,-323.196
13.784,-214150,-355949,-427.616666667,-331.603
13.840,-212827,-355949,-427.616666667,-334.697
14.020,-209188,-355949,-427.616666667,-343.207
14.196,-206063,-355949,-427.616666667,-350.515
14.399,-201514,-355949,-427.616666667,-361.153
14.588,-197946,-355949,-427.616666667,-369.497
14.765,-194570,-355949,-427.616666667,-377.392
14.952,-190848,-355949,-427.616666667,-386.096
15.144,-187252,-355949,-427.616666667,-394.505
15.320,-183717,-355949,-427.616666667,-402.772
15.527,-179426,-355949,-427.616666667,-412.807
15.792,-174742,-355949,-427.616666667,-423.760
15.956,-171298,-355949,-427.616666667,-431.814
16.128,-167981,-355949,-427.616666667,-439.571
16.283,-165411,-355949,-427.616666667,-445.581
16.450,-162338,-355949,-427.616666667,-452.768
16.601,-158944,-355949,-427.616666667,-460.705
16.749,-156781,-355949,-427.616666667,-465.763
16.927,-153258,-355949,-427.616666667,-474.002
17.090,-150528,-355949,-427.616666667,-480.386
17.288,-146710,-355949,-427.616666667,-489.314
17.467,-143488,-355949,-427.616666667,-496.849
17.655,-140342,-355949,-427.616666667,-504.206
17.857,-136545,-355949,-427.616666667,-513.086
18.045,-133202,-355949,-427.616666667,-520.903
18.224,-129851,-355949,-427.616666667,-528.740
18.408,-126920,-355949,-427.616666667,-535.594
18.580,-124057,-355949,-427.616666667,-542.289
18.743,-120997,-355949,-427.616666667,-549.445
18.909,-118455,-355949,-427.616666667,-555.390
19.075,-115370,-355949,-427.616666667,-562.604
19.260,-112068,-355949,-427.616666667,-570.326
19.459,-108193,-355949,-427.616666667,-579.388
19.651,-104904,-355949,-427.616666667,-587.080
19.852,-101272,-355949,-427.616666667,-595.573
20.038,-98085,-355949,-427.616666667,-603.026
20.213,-95119,-355949,-427.616666667,-609.962
20.387,-91353,-355949,-427.616666667,-618.769
20.565,-89050,-355949,-427.616666667,-624.155
20.739,-85884,-355949,-427.616666667,-631.559
20.911,-82616,-355949,-427.616666667,-639.201
21.072,-79814,-355949,-427.616666667,-645.754
21.258,-76437,-355949,-427.616666667,-653.651
21.436,-72901,-355949,-427.616666667,-661.920
21.603,-69960,-355949,-427.616666667,-668.798
21.777,-66885,-355949,-427.616666667,-675.989
21.938,-63944,-355949,-427.616666667,-682.866
22.106,-60525,-355949,-427.616666667,-690.862
22.284,-57746,-355949,-427.616666667,-697.361
22.452,-54446,-355949,-427.616666667,-705.078
22.630,-51374,-355949,-427.616666667,-712.262
22.805,-48010,-355949,-427.616666667,-720.129
22.999,-44757,-355949,-427.616666667,-727.736
23.158,-41806,-355949,-427.616666667,-734.637
23.327,-38675,-355949,-427.616666667,-741.959
23.504,-35119,-355949,-427.616666667,-750.275
23.681,-31969,-355949,-427.616666667,-757.641
23.862,-28766,-355949,-427.616666667,-765.132
24.022,-25774,-355949,-427.616666667,-772.128
24.204,-22889,-355949,-427.616666667,-778.875
24.377,-20031,-355949,-427.616666667,-785.559
24.560,-16769,-355949,-427.616666667,-793.187
24.738,-13765,-355949,-427.616666667,-800.212
24.913,-10766,-355949,-427.616666667,-807.225
25.078,-7357,-355949,-427.616666667,-815.197
25.260,-4810,-355949,-427.616666667,-821.154
25.434,-1360,-355949,-427.616666667,-829.222
25.627,1227,-355949,-427.616666667,-835.271
25.789,4222,-355949,-427.616666667,-842.275
25.945,6652,-355949,-427.616666667,-847.958
26.105,9305,-355949,-427.616666667,-854.162
26.250,11675,-355949,-427.616666667,-859.705
26.420,14593,-355949,-427.616666667,-866.528
26.568,17057,-355949,-427.616666667,-872.291
26.727,19998,-355949,-427.616666667,-879.168
26.893,22380,-355949,-427.616666667,-884.739
27.028,25179,-355949,-427.616666667,-891.284
27.184,27320,-355949,-427.616666667,-896.291
27.340,30008,-355949,-427.616666667,-902.577
27.498,32200,-355949,-427.616666667,-907.703
27.644,35022,-355949,-427.616666667,-914.303
27.801,37143,-355949,-427.616666667,-919.263
27.969,40198,-355949,-427.616666667,-926.407
28.133,42518,-355949,-427.616666667,-931.832
28.395,47523,-355949,-427.616666667,-943.537
28.554,49565,-355949,-427.616666667,-948.312
28.714,51997,-355949,-427.616666667,-953.999
28.883,55246,-355949,-427.616666667,-961.597
29.056,57859,-355949,-427.616666667,-967.708
29.219,60430,-355949,-427.616666667,-973.720
29.383,62841,-355949,-427.616666667,-979.358
29.548,65734,-355949,-427.616666667,-986.124
29.729,68414,-355949,-427.616666667,-992.391
29.896,71235,-355949,-427.616666667,-998.988
30.057,73312,-355949,-427.616666667,-1003.845
30.214,76008,-355949,-427.616666667,-1010.150
30.368,78948,-355949,-427.616666667,-1017.025
30.567,81802,-355949,-427.616666667,-1023.700
30.719,84562,-355949,-427.616666667,-1030.154
30.897,86906,-355949,-427.616666667,-1035.635
31.050,89754,-355949,-427.616666667,-1042.296
31.236,92436,-355949,-427.616666667,-1048.568
31.415,95606,-355949,-427.616666667,-1055.981
31.562,97890,-355949,-427.616666667,-1061.322
31.729,100761,-355949,-427.616666667,-1068.036
31.893,103261,-355949,-427.616666667,-1073.882
32.069,105934,-355949,-427.616666667,-1080.133
32.224,108409,-355949,-427.616666667,-1085.921
32.409,111053,-355949,-427.616666667,-1092.104
32.579,113485,-355949,-427.616666667,-1097.792
32.750,116004,-355949,-427.616666667,-1103.682
32.930,118135,-355949,-427.616666667,-1108.666
33.123,120873,-355949,-427.616666667,-1115.069
33.290,122821,-355949,-427.616666667,-1119.624
33.445,124847,-355949,-427.616666667,-1124.362
33.610,126605,-355949,-427.616666667,-1128.473
33.778,128486,-355949,-427.616666667,-1132.872
33.959,130724,-355949,-427.616666667,-1138.106
34.134,132365,-355949,-427.616666667,-1141.943
34.323,134802,-355949,-427.616666667,-1147.642
34.494,136252,-355949,-427.616666667,-1151.033
34.691,138225,-355949,-427.616666667,-1155.647
34.869,140075,-355949,-427.616666667,-1159.973
35.051,141756,-355949,-427.616666667,-1163.905
35.253,143733,-355949,-427.616666667,-1168.528
35.424,145096,-355949,-427.616666667,-1171.715
35.616,146975,-355949,-427.616666667,-1176.109
35.774,148635,-355949,-427.616666667,-1179.991
35.955,150062,-355949,-427.616666667,-1183.329
36.143,152216,-355949,-427.616666667,-1188.366
36.326,153302,-355949,-427.616666667,-1190.905
36.511,155437,-355949,-427.616666667,-1195.898
36.675,156664,-355949,-427.616666667,-1198.768
36.847,158254,-355949,-427.616666667,-1202.486
37.028,159882,-355949,-427.616666667,-1206.293
37.197,161345,-355949,-427.616666667,-1209.714
37.380,163060,-355949,-427.616666667,-1213.725
37.537,164590,-355949,-427.616666667,-1217.303
37.683,165480,-355949,-427.616666667,-1219.384
37.839,167080,-355949,-427.616666667,-1223.126
37.986,168495,-355949,-427.616666667,-1226.435
38.152,169581,-355949,-427.616666667,-1228.975
38.325,171009,-355949,-427.616666667,-1232.314
38.474,172611,-355949,-427.616666667,-1236.060
38.630,173744,-355949,-427.616666667,-1238.710
38.821,175297,-355949,-427.616666667,-1242.342
38.972,176449,-355949,-427.616666667,-1245.036
39.130,177351,-355949,-427.616666667,-1247.145
39.320,179140,-355949,-427.616666667,-1251.329
39.492,180573,-355949,-427.616666667,-1254.680
39.672,181828,-355949,-427.616666667,-1257.615
39.849,183497,-355949,-427.616666667,-1261.518
40.017,184816,-355949,-427.616666667,-1264.602
40.196,186203,-355949,-427.616666667,-1267.846
40.376,187744,-355949,-427.616666667,-1271.450
40.534,188867,-355949,-427.616666667,-1274.076
40.704,189998,-355949,-427.616666667,-1276.721
40.868,191479,-355949,-427.616666667,-1280.184
41.022,192468,-355949,-427.616666667,-1282.497
41.174,193729,-355949,-427.616666667,-1285.446
41.334,194944,-355949,-427.616666667,-1288.287
41.487,195741,-355949,-427.616666667,-1290.151
41.628,196971,-355949,-427.616666667,-1293.027
41.801,198195,-355949,-427.616666667,-1295.890
41.978,199353,-355949,-427.616666667,-1298.598
42.133,200306,-355949,-427.616666667,-1300.826
42.287,201268,-355949,-427.616666667,-1303.076
42.440,202746,-355949,-427.616666667,-1306.532
42.603,203332,-355949,-427.616666667,-1307.903
42.773,202631,-355949,-427.616666667,-1306.263
42.924,201898,-355949,-427.616666667,-1304.549
43.139,200797,-355949,-427.616666667,-1301.975
43.330,200402,-355949,-427.616666667,-1301.051
43.528,199746,-355949,-427.616666667,-1299.517
43.685,199500,-355949,-427.616666667,-1298.941
43.848,199169,-355949,-427.616666667,-1298.167
44.018,198757,-355949,-427.616666667,-1297.204
44.183,198652,-355949,-427.616666667,-1296.958
44.363,197919,-355949,-427.616666667,-1295.244
44.539,197837,-355949,-427.616666667,-1295.052
44.692,197896,-355949,-427.616666667,-1295.190
44.860,197656,-355949,-427.616666667,-1294.629
45.034,197202,-355949,-427.616666667,-1293.567
45.187,197185,-355949,-427.616666667,-1293.528
45.357,196900,-355949,-427.616666667,-1292.861
45.518,196415,-355949,-427.616666667,-1291.727
45.686,196829,-355949,-427.616666667,-1292.695
45.846,196457,-355949,-427.616666667,-1291.825
46.004,196379,-355949,-427.616666667,-1291.643
46.156,196281,-355949,-427.616666667,-1291.414
46.326,196217,-355949,-427.616666667,-1291.264
46.500,193300,-355949,-427.616666667,-1284.442
46.652,189330,-355949,-427.616666667,-1275.158
46.810,185896,-355949,-427.616666667,-1267.128
46.963,182463,-355949,-427.616666667,-1259.100
47.131,178856,-355949,-427.616666667,-1250.665
47.279,174701,-355949,-427.616666667,-1240.948
47.424,171300,-355949,-427.616666667,-1232.995
47.619,166934,-355949,-427.616666667,-1222.784
47.792,162688,-355949,-427.616666667,-1212.855
47.970,158477,-355949,-427.616666667,-1203.007
48.186,153609,-355949,-427.616666667,-1191.623
48.409,148034,-355949,-427.616666667,-1178.586
48.598,143636,-355949,-427.616666667,-1168.301
48.794,138441,-355949,-427.616666667,-1156.152
48.992,134443,-355949,-427.616666667,-1146.803
