Load/kN 2t{111} 2t{200} 2t{311}
0.137 3.90477 4.50522 7.48024
0.251 3.90413 4.50397 7.47856
0.368 3.90358 4.50294 7.47717
0.512 3.90299 4.50176 7.47568
0.638 3.90235 4.50043 7.47397
0.765 3.90173 4.49922 7.47241
0.765 3.90103 4.49786 7.47060
0.994 3.90043 4.49666 7.46910
1.103 3.89974 4.49546 7.46751
1.254 3.89904 4.49414 7.46579
1.274 3.89865 4.49344 7.46486
1.373 3.89831 4.49264 7.46397
1.651 3.89673 4.48958 7.46014
1.647 3.89669 4.48944 7.46007
1.966 3.89541 4.48633 7.45644
2.128 3.89448 4.48381 7.45378
2.271 3.89387 4.48167 7.45145
2.397 3.89340 4.47976 7.44959
